id,test_prefix,test_name
net_left_27_1,"private void connect_1_oe() throws Exception
    {
        pop3Client.connect(InetAddress.getByName(mailhost));
        assertTrue(pop3Client.isConnected());
}
",POP3ClientCommandsTest::connect_1_oe
net_left_27_2,"private void connect_2_oe() throws Exception
    {
        pop3Client.connect(InetAddress.getByName(mailhost));
        // removed other assertion
        assertEquals(POP3.AUTHORIZATION_STATE, pop3Client.getState());
}
",POP3ClientCommandsTest::connect_2_oe
net_left_28_1,"private void login_1_oe() throws Exception
    {
        assertTrue(pop3Client.login(user, password));
}
",POP3ClientCommandsTest::login_1_oe
net_left_28_2,"private void login_2_oe() throws Exception
    {
        // removed other assertion
        assertEquals(POP3.TRANSACTION_STATE, pop3Client.getState());
}
",POP3ClientCommandsTest::login_2_oe
net_left_49_1,"private void connect_1_oe() throws Exception
    {
        p.connect(InetAddress.getByName(mailhost));
        assertTrue(p.isConnected());
}
",POP3ClientTest::connect_1_oe
net_left_49_2,"private void connect_2_oe() throws Exception
    {
        p.connect(InetAddress.getByName(mailhost));
        // removed other assertion
        assertEquals(POP3.AUTHORIZATION_STATE, p.getState());
}
",POP3ClientTest::connect_2_oe
net_left_50_1,"private void login_1_oe() throws Exception
    {
        assertTrue(p.login(user, password));
}
",POP3ClientTest::login_1_oe
net_left_50_2,"private void login_2_oe() throws Exception
    {
        // removed other assertion
        assertEquals(POP3.TRANSACTION_STATE, p.getState());
}
",POP3ClientTest::login_2_oe
net_left_67_1,"private void byteTest_1_oe(final boolean byByte, final String input, final String expect) throws IOException {
        final byte[] data = input.getBytes(StandardCharsets.US_ASCII);
        final byte[] expected = expect.getBytes(StandardCharsets.US_ASCII);
        final InputStream source = new ByteArrayInputStream(data);
        try (final ToNetASCIIInputStream toNetASCII = new ToNetASCIIInputStream(source)) {
            final byte[] output = new byte[data.length * 2]; // cannot be longer than twice the input

            final int length = byByte ? getSingleBytes(toNetASCII, output) : getBuffer(toNetASCII, output);

            final byte[] result = new byte[length];
            System.arraycopy(output, 0, result, 0, length);
            Assert.assertArrayEquals(""Failed converting "" + input, expected, result);
}
}
",ToNetASCIIInputStreamTest::byteTest_1_oe
net_left_68_1,"private Properties scanClasses_1_oe() throws IOException {
        final CodeSource codeSource = Main.class.getProtectionDomain().getCodeSource();
        // ensure special characters are decoded OK by uing the charset
        final String sourceFile = URLDecoder.decode(codeSource.getLocation().getFile(),""UTF-8"");
        final Properties p = new Properties();
        if (sourceFile.endsWith("".jar"")) {
            try (final JarFile jf = new JarFile(sourceFile)) {
                final Enumeration<JarEntry> e = jf.entries();
                while (e.hasMoreElements()) {
                    final JarEntry je = e.nextElement();
                    final String name = je.getName();
                    processFileName(name, p);
                }
            }
        } else {
            final File examples = new File(sourceFile, ""org/apache/commons/net/examples""); // must match top level examples package name
            if (examples.exists()) {
                scanForClasses(sourceFile.length(), examples, p);
            } else {
                fail(""Could not find examples classes: "" + examples.getCanonicalPath());
}
}
}
",MainTest::scanClasses_1_oe
net_left_84_1,"private synchronized static void setUpClass_1_oe(final boolean implicit) throws FtpException {
        if (EmbeddedFtpServer != null) {
            return;
        }
        // Use an ephemeral port.
        SocketPort = 0;
        final FtpServerFactory serverFactory = new FtpServerFactory();
        final PropertiesUserManagerFactory propertiesUserManagerFactory = new PropertiesUserManagerFactory();
        final URL userPropsResource = ClassLoader.getSystemClassLoader().getResource(USER_PROPS_RES);
        Assert.assertNotNull(USER_PROPS_RES, userPropsResource);
}
",FTPSClientTest::setUpClass_1_oe
net_left_84_2,"private synchronized static void setUpClass_2_oe(final boolean implicit) throws FtpException {
        if (EmbeddedFtpServer != null) {
            return;
        }
        // Use an ephemeral port.
        SocketPort = 0;
        final FtpServerFactory serverFactory = new FtpServerFactory();
        final PropertiesUserManagerFactory propertiesUserManagerFactory = new PropertiesUserManagerFactory();
        final URL userPropsResource = ClassLoader.getSystemClassLoader().getResource(USER_PROPS_RES);
        // removed other assertion
        propertiesUserManagerFactory.setUrl(userPropsResource);
        final UserManager userManager = propertiesUserManagerFactory.createUserManager();
        final BaseUser user = (BaseUser) userManager.getUserByName(""test"");
        // Pickup the home dir value at runtime even though we have it set in the user
        // prop file
        // The user prop file requires the ""homedirectory"" to be set
        user.setHomeDirectory(getTestHomeDirectory());
        serverFactory.setUserManager(userManager);
        final ListenerFactory factory = new ListenerFactory();
        // set the port of the listener
        factory.setPort(SocketPort);

        // define SSL configuration
        final URL serverJksResource = ClassLoader.getSystemClassLoader().getResource(SERVER_JKS_RES);
        Assert.assertNotNull(SERVER_JKS_RES, serverJksResource);
}
",FTPSClientTest::setUpClass_2_oe
