id,test_prefix,test_name
geom_41_1_1,"    @Test
    void testParseErrors_1_oe_1_oe() {
        // act/assert
                final String content = ""soli test\n"" + ""facet normal 1 2 3 "" + ""outer loop "" + ""vertex 4 5 6 "" + ""vertex 7 8 9 "" + ""vertex 10 11 12 "" + ""endloop "" + ""endfacet "" + ""endsolid test"";
        GeometryTestUtils.assertThrowsWithMessage( () -> EuclideanIOTestUtils.readAll(facetReader(content)), IllegalStateException.class, Pattern.compile(""^Parsing failed.*""));
    }
",TextStlFacetDefinitionReaderTest::testParseErrors_1_oe_1_oe
geom_41_2_1,"    @Test
    void testParseErrors_2_oe_1_oe() {
        // act/assert
        // removed other assertion
                final String content = ""solid test\n"" + ""facet normal 1 2 3 "" + ""outer loop "" + ""vertex abc 5 6 "" + ""vertex 7 8 9 "" + ""vertex 10 11 12 "" + ""endloop "" + ""endfacet "" + ""endsolid test"";
        GeometryTestUtils.assertThrowsWithMessage( () -> EuclideanIOTestUtils.readAll(facetReader(content)), IllegalStateException.class, Pattern.compile(""^Parsing failed.*""));
    }
",TextStlFacetDefinitionReaderTest::testParseErrors_2_oe_1_oe
geom_95_2_1,"    @Test
    void testWriteHeader_nullHeaderContent_2_oe_1_oe() {
        // act
        try (BinaryStlWriter writer = new BinaryStlWriter(out)) {
            writer.writeHeader(null, Short.MAX_VALUE);
        }

        // assert
        final byte[] bytes = out.toByteArray();
        // removed other assertion

                final int expected = 0;
        final byte[] actual = bytes;
        final int offset = 0;
        final int len = StlConstants.BINARY_HEADER_BYTES;
        for (int i = 0; i < len; ++i) {
                    Assertions.assertEquals(expected, actual[i + offset]);
    }
    }
",BinaryStlWriterTest::testWriteHeader_nullHeaderContent_2_oe_1_oe
geom_96_2_1,"    @Test
    void testWriteHeader_givenHeaderContent_2_oe_1_oe() {
        // arrange
        final byte[] headerContent = new byte[StlConstants.BINARY_HEADER_BYTES];
        Arrays.fill(headerContent, (byte) 1);

        // act
        try (BinaryStlWriter writer = new BinaryStlWriter(out)) {
            writer.writeHeader(headerContent, 1);
        }

        // assert
        final byte[] bytes = out.toByteArray();
        // removed other assertion

                final int expected = 1;
        final byte[] actual = bytes;
        final int offset = 0;
        final int len = StlConstants.BINARY_HEADER_BYTES;
        for (int i = 0; i < len; ++i) {
                    Assertions.assertEquals(expected, actual[i + offset]);
    }
    }
",BinaryStlWriterTest::testWriteHeader_givenHeaderContent_2_oe_1_oe
geom_97_2_1,"    @Test
    void testWriteHeader_givenHeaderContentExceedsMaxLength_2_oe_1_oe() {
        // arrange
        final byte[] headerContent = new byte[2 * StlConstants.BINARY_HEADER_BYTES];
        Arrays.fill(headerContent, (byte) 1);

        // act
        try (BinaryStlWriter writer = new BinaryStlWriter(out)) {
            writer.writeHeader(headerContent, 0);
        }

        // assert
        final byte[] bytes = out.toByteArray();
        // removed other assertion

                final int expected = 1;
        final byte[] actual = bytes;
        final int offset = 0;
        final int len = StlConstants.BINARY_HEADER_BYTES;
        for (int i = 0; i < len; ++i) {
                    Assertions.assertEquals(expected, actual[i + offset]);
    }
    }
",BinaryStlWriterTest::testWriteHeader_givenHeaderContentExceedsMaxLength_2_oe_1_oe
geom_98_2_1,"    @Test
    void testWriteFacet_2_oe_1_oe() {
        // arrange
        try (BinaryStlWriter writer = new BinaryStlWriter(out)) {
            writer.writeHeader(null, 2);

            // act
            writer.writeTriangle(
                    Vector3D.of(1, 2, 3),
                    Vector3D.of(4, 5, 6),
                    Vector3D.of(7, 8, 9),
                    Vector3D.of(10, 11, 12));

            writer.writeTriangle(
                    Vector3D.of(-1, -2, -3),
                    Vector3D.of(-4, -5, -6),
                    Vector3D.of(-7, -8, -9),
                    Vector3D.of(-10, -11, -12),
                    512);
        }

        // assert
        final byte[] bytes = out.toByteArray();

        // removed other assertion

                final int expected = 0;
        final byte[] actual = bytes;
        final int offset = 0;
        final int len = StlConstants.BINARY_HEADER_BYTES;
        for (int i = 0; i < len; ++i) {
                    Assertions.assertEquals(expected, actual[i + offset]);
    }
    }
",BinaryStlWriterTest::testWriteFacet_2_oe_1_oe
geom_99_2_1,"    @Test
    void testWriteFacet_ordersFacetCounterClockwise_2_oe_1_oe() {
        // arrange
        try (BinaryStlWriter writer = new BinaryStlWriter(out)) {
            writer.writeHeader(null, 2);

            // act
            writer.writeTriangle(
                    Vector3D.ZERO,
                    Vector3D.of(1, 0, 0),
                    Vector3D.of(0, 1, 0),
                    Vector3D.of(0, 0, 1));

            writer.writeTriangle(
                    Vector3D.ZERO,
                    Vector3D.of(0, 1, 0),
                    Vector3D.of(1, 0, 0),
                    Vector3D.of(0, 0, 1));
        }

        // assert
        final byte[] bytes = out.toByteArray();

        // removed other assertion

                final int expected = 0;
        final byte[] actual = bytes;
        final int offset = 0;
        final int len = StlConstants.BINARY_HEADER_BYTES;
        for (int i = 0; i < len; ++i) {
                    Assertions.assertEquals(expected, actual[i + offset]);
    }
    }
",BinaryStlWriterTest::testWriteFacet_ordersFacetCounterClockwise_2_oe_1_oe
geom_100_2_1,"    @Test
    void testWriteFacet_invalidNormalGiven_2_oe_1_oe() {
        // arrange
        try (BinaryStlWriter writer = new BinaryStlWriter(out)) {
            writer.writeHeader(null, 3);

            // act
            writer.writeTriangle(
                    Vector3D.ZERO,
                    Vector3D.of(1, 0, 0),
                    Vector3D.of(0, 1, 0),
                    Vector3D.ZERO);

            writer.writeTriangle(
                    Vector3D.ZERO,
                    Vector3D.of(0, 1, 0),
                    Vector3D.of(1, 0, 0),
                    null,
                    512);

            writer.writeTriangle(
                    Vector3D.ZERO,
                    Vector3D.ZERO,
                    Vector3D.of(1, 1, 1),
                    null);
        }

        // assert
        final byte[] bytes = out.toByteArray();

        // removed other assertion

                final int expected = 0;
        final byte[] actual = bytes;
        final int offset = 0;
        final int len = StlConstants.BINARY_HEADER_BYTES;
        for (int i = 0; i < len; ++i) {
                    Assertions.assertEquals(expected, actual[i + offset]);
    }
    }
",BinaryStlWriterTest::testWriteFacet_invalidNormalGiven_2_oe_1_oe
geom_147_1_1,"    @Test
    void testNextKeyword_1_oe_1_oe() {
        // arrange
        final PolygonObjParser p = parser(lines(
                ""#comment"",
                """",
                ""  \t"",
                ""o test"",
                ""v"",
                ""v 1 0 0 1"",
                ""v 0 1 0"",
                ""# comment"",
                "" "",
                ""g triangle-\\"",
                ""group"",
                ""f 1 2 3"",
                """",
                ""curv2"",
                ""# end""
        ));

        // act/assert
                final String expected = ""o"";
        final PolygonObjParser parser = p;
        Assertions.assertEquals(expected != null, parser.nextKeyword());
    }
",PolygonObjParserTest::testNextKeyword_1_oe_1_oe
geom_147_1_2,"    @Test
    void testNextKeyword_1_oe_2_oe() {
        // arrange
        final PolygonObjParser p = parser(lines(
                ""#comment"",
                """",
                ""  \t"",
                ""o test"",
                ""v"",
                ""v 1 0 0 1"",
                ""v 0 1 0"",
                ""# comment"",
                "" "",
                ""g triangle-\\"",
                ""group"",
                ""f 1 2 3"",
                """",
                ""curv2"",
                ""# end""
        ));

        // act/assert
                final String expected = ""o"";
        final PolygonObjParser parser = p;
        // removed other assertion
                Assertions.assertEquals(expected, parser.getCurrentKeyword());
    }
",PolygonObjParserTest::testNextKeyword_1_oe_2_oe
