id,test_prefix,test_name
geom_6_1,"    @Test
    void testToPolygon_failure_1_oe() {
        // arrange
        final SimpleFacetDefinition f = new SimpleFacetDefinition(Arrays.asList(
                Vector3D.ZERO, Vector3D.ZERO, Vector3D.ZERO));

        // act/assert
        Assertions.assertThrows(IllegalArgumentException.class, () -> FacetDefinitions.toPolygon(f, TEST_PRECISION));
    }
",FacetDefinitionsTest::testToPolygon_failure_1_oe
geom_13_6,"    @Test
    void testFacetIterator_6_oe() {
        // arrange
        final StubFacetDefinitionReader reader = new StubFacetDefinitionReader(Arrays.asList(FACET_1, FACET_2));
        final FacetDefinitionReaderIterator it = new FacetDefinitionReaderIterator(reader);

        // act/assert
        // removed other assertion
        // removed other assertion

        // removed other assertion
        // removed other assertion

        // removed other assertion
        Assertions.assertThrows(NoSuchElementException.class, it::next);
    }
",AbstractBoundaryReadHandler3DTest::testFacetIterator_6_oe
geom_15_3,"    @Test
    void testProperties_verticesOnly_3_oe() {
        // act
        final SimpleFacetDefinition f = new SimpleFacetDefinition(new ArrayList<>(FACET_PTS));

        // assert
        // removed other assertion
        // removed other assertion

        final List<Vector3D> vertices = f.getVertices();
        final Vector3D toAdd = FACET_PTS.get(0);
        Assertions.assertThrows(UnsupportedOperationException.class, () -> vertices.add(toAdd));
    }
",SimpleFacetDefinitionTest::testProperties_verticesOnly_3_oe
geom_16_3,"    @Test
    void testProperties_verticesAndNormal_3_oe() {
        // arrange
        final Vector3D normal = Vector3D.ZERO; // invalid normal is accepted

        // act
        final SimpleFacetDefinition f = new SimpleFacetDefinition(new ArrayList<>(FACET_PTS), normal);

        // assert
        // removed other assertion
        // removed other assertion

        final List<Vector3D> vertices = f.getVertices();
        final Vector3D toAdd = FACET_PTS.get(0);
        Assertions.assertThrows(UnsupportedOperationException.class, () -> vertices.add(toAdd));
    }
",SimpleFacetDefinitionTest::testProperties_verticesAndNormal_3_oe
geom_48_1,"    @Test
    void testRead_notEnoughBytes_1_oe() {
        // arrange
        final ByteArrayInputStream in = new ByteArrayInputStream(new byte[1]);
        final GeometryInput input = new StreamGeometryInput(in);

        // act/assert
        Assertions.assertThrows(IllegalStateException.class, () -> handler.facetDefinitionReader(input));
    }
",StlBoundaryReadHandler3DTest::testRead_notEnoughBytes_1_oe
geom_49_1,"    @Test
    void testRead_closesInputOnReaderCreationFailure_1_oe() {
        // arrange
        final CloseCountInputStream in = new CloseCountInputStream(new ByteArrayInputStream(new byte[1]));
        final GeometryInput input = new StreamGeometryInput(in);

        // act/assert
        Assertions.assertThrows(IllegalStateException.class, () -> handler.facetDefinitionReader(input));
    }
",StlBoundaryReadHandler3DTest::testRead_closesInputOnReaderCreationFailure_1_oe
geom_243_1,"    @Test
    void testRead_handlerNotFound_1_oe() {
        // arrange
        final StubReadHandler r1 = new StubReadHandler(FMT_A);
        manager.registerReadHandler(r1);

        final StubGeometryInput inputA = new StubGeometryInput(""file.a"");
        final StubGeometryInput inputB = new StubGeometryInput(""file.b"");
        final StubGeometryInput inputNull = new StubGeometryInput(null);

        final Precision.DoubleEquivalence precision = Precision.doubleEquivalenceOfEpsilon(1e-4);

        // act/assert
        Assertions.assertThrows(IllegalArgumentException.class, () -> manager.read(inputA, FMT_B, precision));
    }
",BoundaryIOManagerTest::testRead_handlerNotFound_1_oe
geom_243_2,"    @Test
    void testRead_handlerNotFound_2_oe() {
        // arrange
        final StubReadHandler r1 = new StubReadHandler(FMT_A);
        manager.registerReadHandler(r1);

        final StubGeometryInput inputA = new StubGeometryInput(""file.a"");
        final StubGeometryInput inputB = new StubGeometryInput(""file.b"");
        final StubGeometryInput inputNull = new StubGeometryInput(null);

        final Precision.DoubleEquivalence precision = Precision.doubleEquivalenceOfEpsilon(1e-4);

        // act/assert
        // removed other assertion
        Assertions.assertThrows(IllegalArgumentException.class, () -> manager.read(inputB, null, precision));
    }
",BoundaryIOManagerTest::testRead_handlerNotFound_2_oe
geom_243_3,"    @Test
    void testRead_handlerNotFound_3_oe() {
        // arrange
        final StubReadHandler r1 = new StubReadHandler(FMT_A);
        manager.registerReadHandler(r1);

        final StubGeometryInput inputA = new StubGeometryInput(""file.a"");
        final StubGeometryInput inputB = new StubGeometryInput(""file.b"");
        final StubGeometryInput inputNull = new StubGeometryInput(null);

        final Precision.DoubleEquivalence precision = Precision.doubleEquivalenceOfEpsilon(1e-4);

        // act/assert
        // removed other assertion
        // removed other assertion
        Assertions.assertThrows(IllegalArgumentException.class, () -> manager.read(inputNull, null, precision));
    }
",BoundaryIOManagerTest::testRead_handlerNotFound_3_oe
geom_246_1,"    @Test
    void testBoundaries_handlerNotFound_1_oe() {
        // arrange
        final StubReadHandler r1 = new StubReadHandler(FMT_A);
        manager.registerReadHandler(r1);

        final StubGeometryInput inputA = new StubGeometryInput(""file.a"");
        final StubGeometryInput inputB = new StubGeometryInput(""file.b"");
        final StubGeometryInput inputNull = new StubGeometryInput(null);

        final Precision.DoubleEquivalence precision = Precision.doubleEquivalenceOfEpsilon(1e-4);

        // act/assert
        Assertions.assertThrows(IllegalArgumentException.class, () -> manager.boundaries(inputA, FMT_B, precision));
    }
",BoundaryIOManagerTest::testBoundaries_handlerNotFound_1_oe
