id,test_prefix,test_name
JSON-java_1,"@Test
    public void shouldHandleNullProperties_oe() {
        Properties properties = null;
        JSONObject jsonObject = Property.toJSONObject(properties);
        assertTrue(""jsonObject should be empty"", jsonObject.isEmpty());
    }",PropertyTest::shouldHandleNullProperties_oe
JSON-java_2,"@Test
    public void shouldHandleEmptyProperties_oe() {
        Properties properties = new Properties();
        JSONObject jsonObject = Property.toJSONObject(properties);
        assertTrue(""jsonObject should be empty"", jsonObject.isEmpty());
    }",PropertyTest::shouldHandleEmptyProperties_oe
JSON-java_3,"@Test
    public void shouldHandleProperties_oe() {
        Properties properties = new Properties();
        
        properties.put(""Illinois"", ""Springfield"");
        properties.put(""Missouri"", ""Jefferson City"");
        properties.put(""Washington"", ""Olympia"");
        properties.put(""California"", ""Sacramento"");
        properties.put(""Indiana"", ""Indianapolis"");

        JSONObject jsonObject = Property.toJSONObject(properties);

        assertTrue(""jsonObject should contain 5 items"", jsonObject.length() == 5);
        assertTrue(""jsonObject should contain Illinois property"",""Springfield"".equals(jsonObject.get(""Illinois"")));
        assertTrue(""jsonObject should contain Missouri property"",""Jefferson City"".equals(jsonObject.get(""Missouri"")));
        assertTrue(""jsonObject should contain Washington property"",""Olympia"".equals(jsonObject.get(""Washington"")));
        assertTrue(""jsonObject should contain California property"",""Sacramento"".equals(jsonObject.get(""California"")));
        assertTrue(""jsonObject should contain Indiana property"",""Indianapolis"".equals(jsonObject.get(""Indiana"")));
    }",PropertyTest::shouldHandleProperties_oe
JSON-java_4,"@Test
    public void shouldHandleNullJSONProperty_oe() {
        JSONObject jsonObject= null;
        Properties properties = Property.toProperties(jsonObject);
        assertTrue(""properties should be empty"",properties.size()== 0);
    }",PropertyTest::shouldHandleNullJSONProperty_oe
JSON-java_5,"@Test
    public void shouldHandleJSONProperty_oe() {
        Properties properties = new Properties();
        
        properties.put(""Illinois"", ""Springfield"");
        properties.put(""Missouri"", ""Jefferson City"");
        properties.put(""Washington"", ""Olympia"");
        properties.put(""California"", ""Sacramento"");
        properties.put(""Indiana"", ""Indianapolis"");

        JSONObject jsonObject = Property.toJSONObject(properties);
        Properties jsonProperties = Property.toProperties(jsonObject);

        assertTrue(""property objects should match"",properties.equals(jsonProperties));
    }",PropertyTest::shouldHandleJSONProperty_oe
JSON-java_6,"@Test
    public void malFormedNameValueException_oe() {
        String cookieStr = ""thisCookieHasNoEqualsChar"";
        try {
            Cookie.toJSONObject(cookieStr);
            fail(""Expecting an exception"");
        } catch (JSONException e) {
            assertEquals(""Expecting an exception message"",""Expected '=' and instead saw '' at 25 [character 26 line 1]"",e.getMessage());
        }
    }",CookieTest::malFormedNameValueException_oe
JSON-java_7,"@Test
    public void booleanAttribute_oe() {
        String cookieStr = ""this=Cookie;myAttribute"";
            JSONObject jo = Cookie.toJSONObject(cookieStr);
            assertTrue(""has key 'name'"", jo.has(""name""));
            assertTrue(""has key 'value'"", jo.has(""value""));
            assertTrue(""has key 'myAttribute'"", jo.has(""myattribute""));
    }",CookieTest::booleanAttribute_oe
JSON-java_8,"@Test
    public void emptyStringCookieException_oe() {
        String cookieStr = """";
        try {
            Cookie.toJSONObject(cookieStr);
            fail(""Expecting an exception"");
        } catch (JSONException e) {
            assertEquals(""Expecting an exception message"",""Cookies must have a 'name'"",e.getMessage());
        }
    }",CookieTest::emptyStringCookieException_oe
JSON-java_9,"@Test
    public void emptyNameCookieException_oe() {
        String cookieStr = "" = value "";
        try {
            Cookie.toJSONObject(cookieStr);
            fail(""Expecting an exception"");
        } catch (JSONException e) {
            assertEquals(""Expecting an exception message"",""Cookies must have a 'name'"",e.getMessage());
        }
    }",CookieTest::emptyNameCookieException_oe
JSON-java_10,"@Test
    public void escapeString_oe() {
        String str = ""   +%\r\n\t\b%=;;;   "";
        String expectedStr = ""%2b%25%0d%0a%09%08%25%3d%3b%3b%3b"";
        String actualStr = Cookie.escape(str);
        assertTrue(""expect escape()to encode correctly. Actual: "" +actualStr+ "" expected: "" +expectedStr,expectedStr.equals(actualStr));
    }",CookieTest::escapeString_oe
