id,test_prefix,test_name
bcel_left_1_1,"public void testRegularClassIsNotAnonymous_1_oe() throws ClassNotFoundException
    {
        final JavaClass clazz = getTestClass(PACKAGE_BASE_NAME+"".data.AnonymousClassTest"");
        assertFalse(""regular outer classes are not anonymous"", clazz .isAnonymous());
}
",AnonymousClassTestCase::testRegularClassIsNotAnonymous_1_oe
bcel_left_1_2,"public void testRegularClassIsNotAnonymous_2_oe() throws ClassNotFoundException
    {
        final JavaClass clazz = getTestClass(PACKAGE_BASE_NAME+"".data.AnonymousClassTest"");
        // removed other assertion
        assertFalse(""regular outer classes are not nested"", clazz.isNested());
}
",AnonymousClassTestCase::testRegularClassIsNotAnonymous_2_oe
bcel_left_2_1,"public void testNamedInnerClassIsNotAnonymous_1_oe()
            throws ClassNotFoundException
    {
        final JavaClass clazz = getTestClass(PACKAGE_BASE_NAME+"".data.AnonymousClassTest$X"");
        assertFalse(""regular inner classes are not anonymous"", clazz .isAnonymous());
}
",AnonymousClassTestCase::testNamedInnerClassIsNotAnonymous_1_oe
bcel_left_2_2,"public void testNamedInnerClassIsNotAnonymous_2_oe()
            throws ClassNotFoundException
    {
        final JavaClass clazz = getTestClass(PACKAGE_BASE_NAME+"".data.AnonymousClassTest$X"");
        // removed other assertion
        assertTrue(""regular inner classes are nested"", clazz.isNested());
}
",AnonymousClassTestCase::testNamedInnerClassIsNotAnonymous_2_oe
bcel_left_3_1,"public void testStaticInnerClassIsNotAnonymous_1_oe()
            throws ClassNotFoundException
    {
        final JavaClass clazz = getTestClass(PACKAGE_BASE_NAME+"".data.AnonymousClassTest$Y"");
        assertFalse(""regular static inner classes are not anonymous"", clazz .isAnonymous());
}
",AnonymousClassTestCase::testStaticInnerClassIsNotAnonymous_1_oe
bcel_left_3_2,"public void testStaticInnerClassIsNotAnonymous_2_oe()
            throws ClassNotFoundException
    {
        final JavaClass clazz = getTestClass(PACKAGE_BASE_NAME+"".data.AnonymousClassTest$Y"");
        // removed other assertion
        assertTrue(""regular static inner classes are nested"", clazz.isNested());
}
",AnonymousClassTestCase::testStaticInnerClassIsNotAnonymous_2_oe
bcel_left_4_1,"public void testAnonymousInnerClassIsAnonymous_1_oe()
            throws ClassNotFoundException
    {
        final JavaClass clazz = getTestClass(PACKAGE_BASE_NAME+"".data.AnonymousClassTest$1"");
        assertTrue(""anonymous inner classes are anonymous"", clazz.isAnonymous());
}
",AnonymousClassTestCase::testAnonymousInnerClassIsAnonymous_1_oe
bcel_left_4_2,"public void testAnonymousInnerClassIsAnonymous_2_oe()
            throws ClassNotFoundException
    {
        final JavaClass clazz = getTestClass(PACKAGE_BASE_NAME+"".data.AnonymousClassTest$1"");
        // removed other assertion
        assertTrue(""anonymous inner classes are anonymous"", clazz.isNested());
}
",AnonymousClassTestCase::testAnonymousInnerClassIsAnonymous_2_oe
bcel_left_5_1,"public void testB79_1_oe() throws ClassNotFoundException
    {
        final JavaClass clazz = getTestClass(PACKAGE_BASE_NAME+"".data.PLSETestClass"");
        final ClassGen gen = new ClassGen(clazz);
        final ConstantPoolGen pool = gen.getConstantPool();
        final Method m = gen.getMethodAt(2);
        final LocalVariableTable lvt = m.getLocalVariableTable();
        //System.out.println(lvt);
        //System.out.println(lvt.getTableLength());
        final MethodGen mg = new MethodGen(m, gen.getClassName(), pool);
        final LocalVariableTable new_lvt = mg.getLocalVariableTable(mg.getConstantPool());
        //System.out.println(new_lvt);
        assertEquals(""number of locals"", lvt.getTableLength(), new_lvt.getTableLength());
}
",PLSETestCase::testB79_1_oe
bcel_left_6_1,"public void testB262_1_oe() throws ClassNotFoundException
    {
        final JavaClass clazz = getTestClass(PACKAGE_BASE_NAME+"".data.PLSETestEnum"");
        final ClassGen gen = new ClassGen(clazz);
        final ConstantPoolGen pool = gen.getConstantPool();
        // get the values() method
        final Method m = gen.getMethodAt(0);
        final MethodGen mg = new MethodGen(m, gen.getClassName(), pool);
        final InstructionList il = mg.getInstructionList();
        // get the invokevirtual instruction
        final InstructionHandle ih = il.findHandle(3);
        final InvokeInstruction ii = (InvokeInstruction)(ih.getInstruction());
        // without fix, the getClassName() will throw:
        //   java.lang.IllegalArgumentException: Cannot be used on an array type
        final String cn = ii.getClassName(pool);
        assertEquals(""[Lorg.apache.bcel.data.PLSETestEnum;"", cn);
}
",PLSETestCase::testB262_1_oe
