id,test_prefix,test_name
commons-numbers_1,"@Test
    void testDigammaLargeArgs_oe() {
        double eps = 1e-8;
        Assertions.assertEquals(4.6001618527380874002, Digamma.value(100), eps);
        Assertions.assertEquals(3.9019896734278921970, Digamma.value(50), eps);
        Assertions.assertEquals(2.9705239922421490509, Digamma.value(20), eps);
        Assertions.assertEquals(2.9958363947076465821, Digamma.value(20.5), eps);
        Assertions.assertEquals(2.2622143570941481605, Digamma.value(10.1), eps);
        Assertions.assertEquals(2.1168588189004379233, Digamma.value(8.8), eps);
        Assertions.assertEquals(1.8727843350984671394, Digamma.value(7), eps);
        Assertions.assertEquals(0.42278433509846713939, Digamma.value(2), eps);
        Assertions.assertEquals(-100.56088545786867450, Digamma.value(0.01), eps);
        Assertions.assertEquals(-4.0390398965921882955, Digamma.value(-0.8), eps);
        Assertions.assertEquals(4.2003210041401844726, Digamma.value(-6.3), eps);
        Assertions.assertEquals(-3.110625123035E-5, Digamma.value(1.4616), eps);
    }",DigammaTest::testDigammaLargeArgs_oe
commons-numbers_2,"@Test
    void testDigammaZero_oe() {
        // webMathematica states Complexinfinity.
        // The value computed is Double.NEGATIVE_INFINITY but we leave this as a test for infinity
        // since the next value down -Double.MIN_VALUE is Double.POSITIVE_INFINITY indicating
        // a branch-but in the complex plane around 0.
        Assertions.assertTrue(Double.isInfinite(Digamma.value(0.0)));
    }",DigammaTest::testDigammaZero_oe
commons-numbers_3,"@Test
    void testDigammaNonRealArgs_oe() {
        Assertions.assertTrue(Double.isNaN(Digamma.value(Double.NaN)));
        Assertions.assertTrue(Double.isInfinite(Digamma.value(Double.POSITIVE_INFINITY)));
        Assertions.assertTrue(Double.isInfinite(Digamma.value(Double.NEGATIVE_INFINITY)));
    }",DigammaTest::testDigammaNonRealArgs_oe
commons-numbers_4,"@Test
    void testRegularizedBetaTinyArgument_oe() {
        double actual = RegularizedBeta.value(1e-17, 1.0, 1e12);
        // This value is from R: pbeta(1e-17,1,1e12)
        Assertions.assertEquals(9.999950000166648e-6, actual, 1e-16);
    }",RegularizedBetaTest::testRegularizedBetaTinyArgument_oe
commons-numbers_5,"@Test
    void testMath1067_oe() {
        final double x = 0.22580645161290325;
        final double a = 64.33333333333334;
        final double b = 223;

        try {
            RegularizedBeta.value(x, a, b, 1e-14, 10000);
        } catch (StackOverflowError error) {
            Assertions.fail(""Infinite recursion"");
        }
    }",RegularizedBetaTest::testMath1067_oe
commons-numbers_6,"private void testRegularizedBeta_oe(double expected,
                                     double x,
                                     double a,
                                     double b) {
        final double actual = RegularizedBeta.value(x, a, b);
        Assertions.assertEquals(expected, actual, 1e-15);
    }",RegularizedBetaTest::testRegularizedBeta_oe
commons-numbers_7,"@Test
    void testLogGammaSum_oe() {
        final int ulps = 2;
        for (int i = 0; i < LOG_GAMMA_SUM_REF.length; i++) {
            final double[] ref = LOG_GAMMA_SUM_REF[i];
            final double a = ref[0];
            final double b = ref[1];
            final double expected = ref[2];
            final double actual = LogGammaSum.value(a, b);
            final double tol = ulps * Math.ulp(expected);
            final StringBuilder builder = new StringBuilder();
            builder.append(a).append("", "").append(b);
            Assertions.assertEquals(expected, actual, tol, builder.toString());
        }
    }",LogGammaSumTest::testLogGammaSum_oe
commons-numbers_8,"@Test
    void testLogGammaSumPrecondition1_oe() {
        Assertions.assertThrows(IllegalArgumentException.class,
            () -> LogGammaSum.value(0, 1)
        );
    }",LogGammaSumTest::testLogGammaSumPrecondition1_oe
commons-numbers_9,"@Test
    void testLogGammaSumPrecondition2_oe() {
        Assertions.assertThrows(IllegalArgumentException.class,
            () -> LogGammaSum.value(3, 1)
        );
    }",LogGammaSumTest::testLogGammaSumPrecondition2_oe
commons-numbers_10,"@Test
    void testLogGammaSumPrecondition3_oe() {
        Assertions.assertThrows(IllegalArgumentException.class,
            () -> LogGammaSum.value(1, 0)
        );
    }",LogGammaSumTest::testLogGammaSumPrecondition3_oe
commons-numbers_11,"@Test
    void testLogGammaSumPrecondition4_oe() {
        Assertions.assertThrows(IllegalArgumentException.class,
            () -> LogGammaSum.value(1, 3)
        );
    }",LogGammaSumTest::testLogGammaSumPrecondition4_oe
commons-numbers_12,"@Test
    void testGamma_oe() {
        for (int i = 0; i < GAMMA_REF.length; i++) {
            final double[] ref = GAMMA_REF[i];
            final double x = ref[0];
            final double expected = ref[1];
            final double actual = Gamma.value(x);
            final double absX = Math.abs(x);
            final int ulps;
            if (absX <= 8.0) {
                ulps = 3;
            } else if (absX <= 20.0) {
                ulps = 5;
            } else if (absX <= 30.0) {
                ulps = 50;
            } else if (absX <= 50.0) {
                ulps = 180;
            } else {
                ulps = 500;
            }
            final double tol = ulps * Math.ulp(expected);
            Assertions.assertEquals(expected, actual, tol, Double.toString(x));
        }
    }",GammaTest::testGamma_oe
commons-numbers_13,"@Test
    void testGammaNegativeInteger_oe() {
        for (int i = -100; i <= 0; i++) {
            Assertions.assertTrue(Double.isNaN(Gamma.value(i)), Integer.toString(i));
        }
    }",GammaTest::testGammaNegativeInteger_oe
commons-numbers_14,"@Test
    void testGammaNegativeDouble_oe() {
        // check that the gamma function properly switches sign
        // see: https://en.wikipedia.org/wiki/Gamma_function

        double previousGamma = Gamma.value(-18.5);
        for (double x = -19.5; x > -25; x -= 1.0) {
            double gamma = Gamma.value(x);
            Assertions.assertEquals((int) Math.signum(previousGamma), -(int) Math.signum(gamma));

            previousGamma = gamma;
        }
    }",GammaTest::testGammaNegativeDouble_oe
commons-numbers_15,"private void testRegularizedGamma_oe(double expected, double a, double x) {
        double actualP = RegularizedGamma.P.value(a, x);
        double actualQ = RegularizedGamma.Q.value(a, x);
        Assertions.assertEquals(expected, actualP, 1e-15);
        Assertions.assertEquals(actualP, 1 - actualQ, 1e-15);
    }",RegularizedGammaTest::testRegularizedGamma_oe
commons-numbers_16,"@Test
    void testRegularizedGammaMaxIterationsExceededThrows_oe() {
        final double a = 1.0;
        final double x = 1.0;
        // OK without
        Assertions.assertEquals(0.632120558828558, RegularizedGamma.P.value(a, x), 1e-15);

        final int maxIterations = 3;
        Assertions.assertThrows(ArithmeticException.class, () ->
            RegularizedGamma.P.value(a, x, 1e-15, maxIterations));
    }",RegularizedGammaTest::testRegularizedGammaMaxIterationsExceededThrows_oe
commons-numbers_17,"@Test
    void testTrigamma_oe() {
        final double eps = 1e-9; // Allowed relative error.
        // computed using webMathematica.  For example, to compute trigamma($i) = Polygamma(1, $i), use
        //
        // http://functions.wolfram.com/webMathematica/Evaluated.jsp?name=PolyGamma2&plottype=0&vars={%221%22,%22$i%22}&digits=20
        final double[] data = {
            -98765.4321, 10.332673372988805424,
            -100.5, 9.8597034918700861520,
            -50.5, 9.8499971860824842274,
            -20.5, 9.8219943446498794821,
            -10.5, 9.7787577398148123845,
            -5.5, 9.7033198653394003812,
            -2.5, 9.5392466449891237539,
            -0.5, 8.9348022005446793094,
            -1e-1, 101.92253995947720352,
            -1e-2, 10001.669304101071825,
            -1e-3, 1.0000016473414317771e6,
            -1e-4, 1.0000000164517451070e8,
            -1e-5, 1.0000000001644958108e10,
            1e-11, 1e22,
            1e-10, 1e20,
            1e-9, 1.0000000000000000016e18,
            1e-8, 1.0000000000000001645e16,
            1e-7, 1.0000000000000164493e14,
            1e-6, 1.0000000000016449317e12,
            1e-5, 1.0000000001644910026e10,
            1e-4, 1.0000000164469368793e8,
            1e-3, 1.0000016425331958690e6,
            1e-2, 10001.621213528313220,
            1e-1, 101.43329915079275882,
            1, 1.6449340668482264365,
            1.5, 0.93480220054467930942,
            2, 0.64493406684822643647,
            2.5, 0.49035775610023486497,
            3, 0.39493406684822643647,
            3.5, 0.33035775610023486497,
            4, 0.28382295573711532536,
            4.5, 0.24872510303901037518,
            5, 0.22132295573711532536,
            7.5, 0.14261589669670379977,
            10, 0.10516633568168574612,
            20, 0.051270822935203119832,
            50, 0.020201333226697125806,
            100, 0.010050166663333571395,
            12345.6789, 0.000081003281325733214110
        };
        for (int i = data.length - 2; i >= 0; i -= 2) {
            final double value = data[i];
            final double expected = data[i + 1];
            Assertions.assertEquals(1, Trigamma.value(value) / expected, eps, () -> ""trigamma "" + value);
        }
    }",TrigammaTest::testTrigamma_oe
commons-numbers_18,"@Test
    void testTrigammaZero_oe() {
        Assertions.assertEquals(Double.POSITIVE_INFINITY, Trigamma.value(0), 0d);
    }",TrigammaTest::testTrigammaZero_oe
commons-numbers_19,"@Test
    void testTrigammaNonRealArgs_oe() {
        Assertions.assertTrue(Double.isNaN(Trigamma.value(Double.NaN)));
        Assertions.assertTrue(Double.isInfinite(Trigamma.value(Double.POSITIVE_INFINITY)));
        Assertions.assertTrue(Double.isInfinite(Trigamma.value(Double.NEGATIVE_INFINITY)));
    }",TrigammaTest::testTrigammaNonRealArgs_oe
commons-numbers_20,"@Test
    void testG_oe() {
        Assertions.assertEquals(607d / 128d, LanczosApproximation.g());
    }",LanczosApproximationTest::testG_oe
commons-numbers_21,"@Test
    void testSomeValues_oe() {
        // Given that few values are checked, this test would only serve
        // as early warning of unexpected changes to the current code.
        Assertions.assertEquals(29.020294557631818d, LanczosApproximation.value(0.1d));
        Assertions.assertEquals(13.14778027539684d, LanczosApproximation.value(1.0d));
        Assertions.assertEquals(7.897828855157814d, LanczosApproximation.value(2.0d));
    }",LanczosApproximationTest::testSomeValues_oe
commons-numbers_22,"@Test
    void testInvGamma1pm1_oe() {
        final int ulps = 3;
        for (int i = 0; i < INV_GAMMA1P_M1_REF.length; i++) {
            final double[] ref = INV_GAMMA1P_M1_REF[i];
            final double x = ref[0];
            final double expected = ref[1];
            final double actual = InvGamma1pm1.value(x);
            final double tol = ulps * Math.ulp(expected);
            Assertions.assertEquals(expected, actual, tol, Double.toString(x));
        }
    }",InvGamma1pm1Test::testInvGamma1pm1_oe
commons-numbers_23,"@Test
    void testInvGamma1pm1Precondition1_oe() {
        Assertions.assertThrows(GammaException.class,
            () -> InvGamma1pm1.value(-0.51)
        );
    }",InvGamma1pm1Test::testInvGamma1pm1Precondition1_oe
commons-numbers_24,"@Test
    void testInvGamma1pm1Precondition2_oe() {
        Assertions.assertThrows(GammaException.class,
            () -> InvGamma1pm1.value(1.51)
        );
    }",InvGamma1pm1Test::testInvGamma1pm1Precondition2_oe
commons-numbers_25,"@Test
    void testErfInvNaN_oe() {
        Assertions.assertTrue(Double.isNaN(InverseErf.value(-1.001)));
        Assertions.assertTrue(Double.isNaN(InverseErf.value(+1.001)));
        Assertions.assertTrue(Double.isNaN(InverseErf.value(Double.NaN)));
    }",InverseErfTest::testErfInvNaN_oe
commons-numbers_26,"@Test
    void testErfInvInfinite_oe() {
        Assertions.assertTrue(Double.isInfinite(InverseErf.value(-1)));
        Assertions.assertTrue(InverseErf.value(-1) < 0);
        Assertions.assertTrue(Double.isInfinite(InverseErf.value(+1)));
        Assertions.assertTrue(InverseErf.value(+1) > 0);
    }",InverseErfTest::testErfInvInfinite_oe
commons-numbers_27,"@Test
    void testErfInv_oe() {
        for (double x = -5.9; x < 5.9; x += 0.01) {
            final double y = Erf.value(x);
            final double dydx = 2 * Math.exp(-x * x) / Math.sqrt(Math.PI);
            Assertions.assertEquals(x, InverseErf.value(y), 1.0e-15 / dydx);
        }
    }",InverseErfTest::testErfInv_oe
commons-numbers_28,"@Test
    void testTwoArgumentErf_oe() {
        final double[] xi = new double[] {-2, -1, -0.9, -0.1, 0, 0.1, 0.9, 1, 2};
        for (double x1 : xi) {
            for (double x2 : xi) {
                double a = ErfDifference.value(x1, x2);
                double b = Erf.value(x2) - Erf.value(x1);
                double c = Erfc.value(x1) - Erfc.value(x2);
                Assertions.assertEquals(a, b, 1e-15);
                Assertions.assertEquals(a, c, 1e-15);
            }
        }
    }",ErfDifferenceTest::testTwoArgumentErf_oe
commons-numbers_29,"@Test
    void testLogBeta_oe() {
        final int ulps = 3;
        for (int i = 0; i < LOG_BETA_REF.length; i++) {
            final double[] ref = LOG_BETA_REF[i];
            final double a = ref[0];
            final double b = ref[1];
            final double expected = ref[2];
            final double actual = LogBeta.value(a, b);
            final double tol = ulps * Math.ulp(expected);
            final StringBuilder builder = new StringBuilder();
            builder.append(a).append("", "").append(b);
            Assertions.assertEquals(expected, actual, tol, builder.toString());
        }
    }",LogBetaTest::testLogBeta_oe
commons-numbers_30,"private void testLogBeta_oe(double expected,
                             double a,
                             double b) {
        double actual = LogBeta.value(a, b);
        Assertions.assertEquals(expected, actual, 1e-15);
    }",LogBetaTest::testLogBeta_oe
commons-numbers_31,"@Test
    void testLogGammaMinusLogGammaSum_oe() {
        final int ulps = 4;
        for (int i = 0; i < LOG_GAMMA_MINUS_LOG_GAMMA_SUM_REF.length; i++) {
            final double[] ref = LOG_GAMMA_MINUS_LOG_GAMMA_SUM_REF[i];
            final double a = ref[0];
            final double b = ref[1];
            final double expected = ref[2];
            final double actual = logGammaMinusLogGammaSum(a, b);
            final double tol = ulps * Math.ulp(expected);
            final StringBuilder builder = new StringBuilder();
            builder.append(a).append("", "").append(b);
            Assertions.assertEquals(expected, actual, tol, builder.toString());
        }
    }",LogBetaTest::testLogGammaMinusLogGammaSum_oe
commons-numbers_32,"@Test
    void testLogGammaMinusLogGammaSumPrecondition1_oe() {
        Assertions.assertThrows(IllegalArgumentException.class,
            () -> logGammaMinusLogGammaSum(-1, 8)
        );
    }",LogBetaTest::testLogGammaMinusLogGammaSumPrecondition1_oe
commons-numbers_33,"@Test
    void testLogGammaMinusLogGammaSumPrecondition2_oe() {
        Assertions.assertThrows(IllegalArgumentException.class,
            () -> logGammaMinusLogGammaSum(1, 7)
        );
    }",LogBetaTest::testLogGammaMinusLogGammaSumPrecondition2_oe
commons-numbers_34,"@Test
    void testSumDeltaMinusDeltaSum_oe() {
        final int ulps = 3;
        for (int i = 0; i < SUM_DELTA_MINUS_DELTA_SUM_REF.length; i++) {
            final double[] ref = SUM_DELTA_MINUS_DELTA_SUM_REF[i];
            final double a = ref[0];
            final double b = ref[1];
            final double expected = ref[2];
            final double actual = sumDeltaMinusDeltaSum(a, b);
            final double tol = ulps * Math.ulp(expected);
            final StringBuilder builder = new StringBuilder();
            builder.append(a).append("", "").append(b);
            Assertions.assertEquals(expected, actual, tol, builder.toString());
        }
    }",LogBetaTest::testSumDeltaMinusDeltaSum_oe
commons-numbers_35,"@Test
    void testSumDeltaMinusDeltaSumPrecondition1_oe() {
        Assertions.assertThrows(IllegalArgumentException.class,
            () -> sumDeltaMinusDeltaSum(9, 10)
        );
    }",LogBetaTest::testSumDeltaMinusDeltaSumPrecondition1_oe
commons-numbers_36,"@Test
    void testSumDeltaMinusDeltaSumPrecondition2_oe() {
        Assertions.assertThrows(IllegalArgumentException.class,
            () -> sumDeltaMinusDeltaSum(10, 9)
        );
    }",LogBetaTest::testSumDeltaMinusDeltaSumPrecondition2_oe
commons-numbers_37,"@Test
    void testLogGamma1p_oe() {
        final int ulps = 3;
        for (int i = 0; i < LOG_GAMMA1P_REF.length; i++) {
            final double[] ref = LOG_GAMMA1P_REF[i];
            final double x = ref[0];
            final double expected = ref[1];
            final double actual = LogGamma1p.value(x);
            final double tol = ulps * Math.ulp(expected);
            Assertions.assertEquals(expected, actual, tol, Double.toString(x));
        }
    }",LogGamma1pTest::testLogGamma1p_oe
commons-numbers_38,"@Test
    void testLogGamma1pPrecondition1_oe() {
        Assertions.assertThrows(GammaException.class,
            () -> LogGamma1p.value(-0.51)
        );
    }",LogGamma1pTest::testLogGamma1pPrecondition1_oe
commons-numbers_39,"@Test
    void testLogGamma1pPrecondition2_oe() {
        Assertions.assertThrows(GammaException.class,
            () -> LogGamma1p.value(1.51)
        );
    }",LogGamma1pTest::testLogGamma1pPrecondition2_oe
commons-numbers_40,"@Test
    void testLogGamma_oe() {
        final int ulps = 3;
        for (int i = 0; i < LOG_GAMMA_REF.length; i++) {
            final double[] data = LOG_GAMMA_REF[i];
            final double x = data[0];
            final double expected = data[1];
            final double actual = LogGamma.value(x);
            final double tol;
            if (expected == 0.0) {
                tol = 1E-15;
            } else {
                tol = ulps * Math.ulp(expected);
            }
            Assertions.assertEquals(expected, actual, tol, Double.toString(x));
        }
    }",LogGammaTest::testLogGamma_oe
commons-numbers_41,"@Test
    void testLogGammaPrecondition1_oe() {
        Assertions.assertTrue(Double.isNaN(LogGamma.value(0.0)));
    }",LogGammaTest::testLogGammaPrecondition1_oe
commons-numbers_42,"@Test
    void testLogGammaPrecondition2_oe() {
        Assertions.assertTrue(Double.isNaN(LogGamma.value(-1.0)));
    }",LogGammaTest::testLogGammaPrecondition2_oe
commons-numbers_43,"private void testLogGamma_oe(double expected, double x) {
        double actual = LogGamma.value(x);
        Assertions.assertEquals(expected, actual, 1e-15);
    }",LogGammaTest::testLogGamma_oe
commons-numbers_44,"@Test
    void testErfcInvNaN_oe() {
        Assertions.assertTrue(Double.isNaN(InverseErfc.value(-0.001)));
        Assertions.assertTrue(Double.isNaN(InverseErfc.value(+2.001)));
    }",InverseErfcTest::testErfcInvNaN_oe
commons-numbers_45,"@Test
    void testErfcInvInfinite_oe() {
        Assertions.assertTrue(Double.isInfinite(InverseErfc.value(-0)));
        Assertions.assertTrue(InverseErfc.value(0) > 0);
        Assertions.assertTrue(Double.isInfinite(InverseErfc.value(+2)));
        Assertions.assertTrue(InverseErfc.value(+2) < 0);
    }",InverseErfcTest::testErfcInvInfinite_oe
commons-numbers_46,"@Test
    void testErfcInv_oe() {
        for (double x = -5.85; x < 5.9; x += 0.01) {
            final double y = Erfc.value(x);
            final double dydxAbs = 2 * Math.exp(-x * x) / Math.sqrt(Math.PI);
            Assertions.assertEquals(x, InverseErfc.value(y), 1.0e-15 / dydxAbs);
        }
    }",InverseErfcTest::testErfcInv_oe
commons-numbers_47,"@Test
    void testErfcGnu_oe() {
        final double tol = 1e-15;
        final double[] gnuValues = new double[] {
            2,  2,  2,  2,  2,
            2,  2,  2, 1.9999999999999999785,
            1.9999999999999926422, 1.9999999999984625402, 1.9999999998033839558, 1.9999999845827420998,
            1.9999992569016276586, 1.9999779095030014146, 1.9995930479825550411, 1.9953222650189527342,
            1.9661051464753107271, 1.8427007929497148695, 1.5204998778130465381,  1,
            0.47950012218695346194, 0.15729920705028513051, 0.033894853524689272893, 0.0046777349810472658333,
            0.00040695201744495893941, 2.2090496998585441366E-05, 7.4309837234141274516E-07, 1.5417257900280018858E-08,
            1.966160441542887477E-10, 1.5374597944280348501E-12, 7.3578479179743980661E-15, 2.1519736712498913103E-17,
            3.8421483271206474691E-20, 4.1838256077794144006E-23, 2.7766493860305691016E-26, 1.1224297172982927079E-29,
            2.7623240713337714448E-33, 4.1370317465138102353E-37, 3.7692144856548799402E-41, 2.0884875837625447567E-45
        };

        double x = -10;
        for (int i = 0; i < 41; i++) {
            Assertions.assertEquals(gnuValues[i], Erfc.value(x), tol);
            x += 0.5d;
        }
    }",ErfcTest::testErfcGnu_oe
commons-numbers_48,"@Test
    void testErfcMaple_oe() {
        double[][] ref = new double[][] {
            {0.1, 4.60172162722971e-01},
            {1.2, 1.15069670221708e-01},
            {2.3, 1.07241100216758e-02},
            {3.4, 3.36929265676881e-04},
            {4.5, 3.39767312473006e-06},
            {5.6, 1.07175902583109e-08},
            {6.7, 1.04209769879652e-11},
            {7.8, 3.09535877195870e-15},
            {8.9, 2.79233437493966e-19},
            {10.0, 7.61985302416053e-24},
            {11.1, 6.27219439321703e-29},
            {12.2, 1.55411978638959e-34},
            {13.3, 1.15734162836904e-40},
            {14.4, 2.58717592540226e-47},
            {15.5, 1.73446079179387e-54},
            {16.6, 3.48454651995041e-62}
        };

        for (int i = 0; i < 15; i++) {
            final double result = 0.5 * Erfc.value(ref[i][0] / Math.sqrt(2));
            Assertions.assertEquals(ref[i][1], result, 1e-15);
            Assertions.assertEquals(1, ref[i][1] / result, 1e-13);
        }
    }",ErfcTest::testErfcMaple_oe
commons-numbers_49,"@ParameterizedTest
    @CsvSource_oe({
        ""0, 0"",
        ""1.960, 0.95"",
        ""2.576, 0.99"",
        ""2.807, 0.995"",
        ""3.291, 0.999"",
    })
    void testErf(double x, double expected) {
        // Input must be divided by root(2)
        x /= Math.sqrt(2);

        double actual = Erf.value(x);
        Assertions.assertEquals(expected, actual, 1e-5);
        Assertions.assertEquals(1 - expected, Erfc.value(x), 1e-5);

        actual = Erf.value(-x);
        expected = -expected;
        Assertions.assertEquals(expected, actual, 1e-5);
        Assertions.assertEquals(1 - expected, Erfc.value(-x), 1e-5);
    }",ErfTest::CsvSource_oe
commons-numbers_50,"@Test
    void testLargeValues_oe() {
        for (int i = 1; i < 200; i *= 10) {
            double result = Erf.value(i);
            Assertions.assertFalse(Double.isNaN(result));
            Assertions.assertTrue(result > 0 && result <= 1);
            result = Erf.value(-i);
            Assertions.assertFalse(Double.isNaN(result));
            Assertions.assertTrue(result >= -1 && result < 0);
            result = Erfc.value(i);
            Assertions.assertFalse(Double.isNaN(result));
            Assertions.assertTrue(result >= 0 && result < 1);
            result = Erfc.value(-i);
            Assertions.assertFalse(Double.isNaN(result));
            Assertions.assertTrue(result >= 1 && result <= 2);
        }
        Assertions.assertEquals(-1, Erf.value(Double.NEGATIVE_INFINITY));
        Assertions.assertEquals(1, Erf.value(Double.POSITIVE_INFINITY));
        Assertions.assertEquals(2, Erfc.value(Double.NEGATIVE_INFINITY));
        Assertions.assertEquals(0, Erfc.value(Double.POSITIVE_INFINITY));
    }",ErfTest::testLargeValues_oe
