classname,method,docstring,annotations,method_definition
org.apache.commons.beanutils.FluentIntrospectionTestBean,getStringProperty(),,,"public String getStringProperty() {
        return stringProperty;
    }"
org.apache.commons.beanutils.FluentIntrospectionTestBean,void setStringProperty(final String stringProperty),,,"public void setStringProperty(final String stringProperty) {
        this.stringProperty = stringProperty;
    }"
org.apache.commons.beanutils.FluentIntrospectionTestBean,setFluentProperty(final String value),,,"public FluentIntrospectionTestBean setFluentProperty(final String value) {
        setStringProperty(value);
        return this;
    }"
org.apache.commons.beanutils.FluentIntrospectionTestBean,getFluentGetProperty(),,,"public String getFluentGetProperty() {
        return fluentGetProperty;
    }"
org.apache.commons.beanutils.FluentIntrospectionTestBean,"setFluentGetProperty(
            final String fluentGetProperty)",,,"public FluentIntrospectionTestBean setFluentGetProperty(
            final String fluentGetProperty) {
        this.fluentGetProperty = fluentGetProperty;
        return this;
    }"
org.apache.commons.beanutils.LazyDynaClassTestCase,void main(final String[] args),"/**
     * Run this Test
     */",,"public static void main(final String[] args) {
      junit.textui.TestRunner.run(suite());
    }"
org.apache.commons.beanutils.LazyDynaClassTestCase,void setUp(),"/**
     * Set up instance variables required by this test case.
     */",,"@Override
    public void setUp() throws Exception {
        dynaClass = new LazyDynaClass();
    }"
org.apache.commons.beanutils.LazyDynaClassTestCase,suite(),"/**
     * Return the tests included in this test suite.
     */",,"public static Test suite() {
        return (new TestSuite(LazyDynaClassTestCase.class));
    }"
org.apache.commons.beanutils.LazyDynaClassTestCase,void tearDown(),"/**
     * Tear down instance variables required by this test case.
     */",,"@Override
    public void tearDown() {
        dynaClass = null;
    }"
org.apache.commons.beanutils.LazyDynaClassTestCase,void testAddProperty1(),"/**
     * Test add(name) method
     */",,"public void testAddProperty1() {
        dynaClass.add(testProperty);
        final DynaProperty dynaProperty = dynaClass.getDynaProperty(testProperty);
        assertEquals(""name is correct"", testProperty, dynaProperty.getName());
        assertEquals(""type is correct"", Object.class, dynaProperty.getType());
    }"
org.apache.commons.beanutils.LazyDynaClassTestCase,void testAddProperty2(),"/**
     * Test add(name, type) method
     */",,"public void testAddProperty2() {
        dynaClass.add(testProperty, String.class);
        final DynaProperty dynaProperty = dynaClass.getDynaProperty(testProperty);
        assertEquals(""name is correct"", testProperty, dynaProperty.getName());
        assertEquals(""type is correct"", String.class, dynaProperty.getType());
    }"
org.apache.commons.beanutils.LazyDynaClassTestCase,void testAddProperty3(),"/**
     * Test add(name, type, readable, writable) method
     */",,"public void testAddProperty3() {
        try {
            dynaClass.add(testProperty, String.class, true, true);
            fail(""add(name, type, readable, writable) did not throw UnsupportedOperationException"");
        } catch (final UnsupportedOperationException expected) {
            // expected result
        }
    }"
org.apache.commons.beanutils.LazyDynaClassTestCase,void testAddPropertyNullName1(),"/**
     * Test add(name) method with 'null' name
     */",,"public void testAddPropertyNullName1() {
        try {
            dynaClass.add((String)null);
            fail(""null property name not prevented"");
        } catch (final IllegalArgumentException expected) {
            // expected result
        }
    }"
org.apache.commons.beanutils.LazyDynaClassTestCase,void testAddPropertyNullName2(),"/**
     * Test add(name, type) method with 'null' name
     */",,"public void testAddPropertyNullName2() {
        try {
            dynaClass.add(null, String.class);
            fail(""null property name not prevented"");
        } catch (final IllegalArgumentException expected) {
            // expected result
        }
    }"
org.apache.commons.beanutils.LazyDynaClassTestCase,void testAddPropertyNullName3(),"/**
     * Test add(name, type, readable, writable) method with 'null' name
     */",,"public void testAddPropertyNullName3() {
        try {
            dynaClass.add(null, String.class, true, true);
            fail(""add(name, type, readable, writable) did not throw UnsupportedOperationException"");
        } catch (final UnsupportedOperationException expected) {
            // expected result
        }
    }"
org.apache.commons.beanutils.LazyDynaClassTestCase,void testAddPropertyRestricted1(),"/**
     * Test add(name) method when restricted is set to 'true'
     */",,"public void testAddPropertyRestricted1() {
        dynaClass.setRestricted(true);
        assertTrue(""MutableDynaClass is restricted"", dynaClass.isRestricted());
        try {
            dynaClass.add(testProperty);
            fail(""add(name) did not throw IllegalStateException"");
        } catch (final IllegalStateException expected) {
            // expected result
        }
    }"
org.apache.commons.beanutils.LazyDynaClassTestCase,void testAddPropertyRestricted2(),"/**
     * Test add(name, type) method when restricted is set to 'true'
     */",,"public void testAddPropertyRestricted2() {
        dynaClass.setRestricted(true);
        assertTrue(""MutableDynaClass is restricted"", dynaClass.isRestricted());
        try {
            dynaClass.add(testProperty, String.class);
            fail(""add(name, type) did not throw IllegalStateException"");
        } catch (final IllegalStateException expected) {
            // expected result
        }
    }"
org.apache.commons.beanutils.LazyDynaClassTestCase,void testAddPropertyRestricted3(),"/**
     * Test add(name, type, readable, writable) method when restricted is set to 'true'
     */",,"public void testAddPropertyRestricted3() {
        dynaClass.setRestricted(true);
        assertTrue(""MutableDynaClass is restricted"", dynaClass.isRestricted());
        try {
            dynaClass.add(testProperty, String.class, true, true);
            fail(""add(name, type, readable, writable) did not throw UnsupportedOperationException"");
        } catch (final UnsupportedOperationException t) {
            // expected result
        }
    }"
org.apache.commons.beanutils.LazyDynaClassTestCase,void testGetPropertyDoesntExist1(),"/**
     * Test retrieving a property which doesn't exist (returnNull is 'false')
     */",,"public void testGetPropertyDoesntExist1() {
        dynaClass.setReturnNull(false);
        assertFalse(""returnNull is 'false'"", dynaClass.isReturnNull());
        final DynaProperty dynaProperty = dynaClass.getDynaProperty(testProperty);
        assertEquals(""name is correct"", testProperty, dynaProperty.getName());
        assertEquals(""type is correct"", Object.class, dynaProperty.getType());
        assertFalse(""property doesnt exist"", dynaClass.isDynaProperty(testProperty));
    }"
org.apache.commons.beanutils.LazyDynaClassTestCase,void testGetPropertyDoesntExist2(),"/**
     * Test retrieving a property which doesn't exist (returnNull is 'true')
     */",,"public void testGetPropertyDoesntExist2() {
        dynaClass.setReturnNull(true);
        assertTrue(""returnNull is 'true'"", dynaClass.isReturnNull());
        assertNull(""property is null"", dynaClass.getDynaProperty(testProperty));
    }"
org.apache.commons.beanutils.LazyDynaClassTestCase,void testRemoveProperty(),"/**
     * Test removing a property
     */",,"public void testRemoveProperty() {
        dynaClass.setReturnNull(true);
        dynaClass.add(testProperty);
        assertTrue(""Property exists"", dynaClass.isDynaProperty(testProperty));
        assertNotNull(""property is Not null"", dynaClass.getDynaProperty(testProperty));
        dynaClass.remove(testProperty);
        assertFalse(""Property doesn't exist"", dynaClass.isDynaProperty(testProperty));
        assertNull(""property is null"", dynaClass.getDynaProperty(testProperty));
    }"
