id,test_prefix,test_name
vali_1_1,"   public void testManualObject_1_oe() {
        //     property name of the method we are validating
        String property = ""date"";
        // name of ValidatorAction
        String action = ""date"";
        ValidatorResources resources = setupDateResources(property, action);

      TestBean bean = new TestBean();  
      bean.setDate(""2/3/1999"");
      
      Validator validator = new Validator(resources, ""testForm"");
      validator.setParameter(Validator.BEAN_PARAM, bean);

      try {
         ValidatorResults results = validator.validate();
         
         assertNotNull(""Results are null."", results);
   }
   }
",ValidatorTest::testManualObject_1_oe
vali_1_2,"   public void testManualObject_2_oe() {
        //     property name of the method we are validating
        String property = ""date"";
        // name of ValidatorAction
        String action = ""date"";
        ValidatorResources resources = setupDateResources(property, action);

      TestBean bean = new TestBean();  
      bean.setDate(""2/3/1999"");
      
      Validator validator = new Validator(resources, ""testForm"");
      validator.setParameter(Validator.BEAN_PARAM, bean);

      try {
         ValidatorResults results = validator.validate();
         
         // removed other assertion
         
         ValidatorResult result = results.getValidatorResult(property);
         
         assertNotNull(""Results are null."", results);
   }
   }
",ValidatorTest::testManualObject_2_oe
vali_1_3,"   public void testManualObject_3_oe() {
        //     property name of the method we are validating
        String property = ""date"";
        // name of ValidatorAction
        String action = ""date"";
        ValidatorResources resources = setupDateResources(property, action);

      TestBean bean = new TestBean();  
      bean.setDate(""2/3/1999"");
      
      Validator validator = new Validator(resources, ""testForm"");
      validator.setParameter(Validator.BEAN_PARAM, bean);

      try {
         ValidatorResults results = validator.validate();
         
         // removed other assertion
         
         ValidatorResult result = results.getValidatorResult(property);
         
         // removed other assertion
         
         assertTrue(""ValidatorResult does not contain '"" + action + ""' validator result."", result.containsAction(action));
   }
   }
",ValidatorTest::testManualObject_3_oe
vali_1_4,"   public void testManualObject_4_oe() {
        //     property name of the method we are validating
        String property = ""date"";
        // name of ValidatorAction
        String action = ""date"";
        ValidatorResources resources = setupDateResources(property, action);

      TestBean bean = new TestBean();  
      bean.setDate(""2/3/1999"");
      
      Validator validator = new Validator(resources, ""testForm"");
      validator.setParameter(Validator.BEAN_PARAM, bean);

      try {
         ValidatorResults results = validator.validate();
         
         // removed other assertion
         
         ValidatorResult result = results.getValidatorResult(property);
         
         // removed other assertion
         
         // removed other assertion
         
         assertTrue(""Validation of the date formatting has failed."", result.isValid(action));
   }
   }
",ValidatorTest::testManualObject_4_oe
vali_1_5,"   public void testManualObject_5_oe() {
        //     property name of the method we are validating
        String property = ""date"";
        // name of ValidatorAction
        String action = ""date"";
        ValidatorResources resources = setupDateResources(property, action);

      TestBean bean = new TestBean();  
      bean.setDate(""2/3/1999"");
      
      Validator validator = new Validator(resources, ""testForm"");
      validator.setParameter(Validator.BEAN_PARAM, bean);

      try {
         ValidatorResults results = validator.validate();
         
         // removed other assertion
         
         ValidatorResult result = results.getValidatorResult(property);
         
         // removed other assertion
         
         // removed other assertion
         
         // removed other assertion
      } catch (Exception e) {
         fail(""An exception was thrown while calling Validator.validate()"");
   }
   }
",ValidatorTest::testManualObject_5_oe
vali_1_6,"   public void testManualObject_6_oe() {
        //     property name of the method we are validating
        String property = ""date"";
        // name of ValidatorAction
        String action = ""date"";
        ValidatorResources resources = setupDateResources(property, action);

      TestBean bean = new TestBean();  
      bean.setDate(""2/3/1999"");
      
      Validator validator = new Validator(resources, ""testForm"");
      validator.setParameter(Validator.BEAN_PARAM, bean);

      try {
         ValidatorResults results = validator.validate();
         
         // removed other assertion
         
         ValidatorResult result = results.getValidatorResult(property);
         
         // removed other assertion
         
         // removed other assertion
         
         // removed other assertion
      } catch (Exception e) {
         // removed other assertion
      }

      bean.setDate(""2/30/1999"");
      
      try {
         ValidatorResults results = validator.validate();
         
         assertNotNull(""Results are null."", results);
   }
   }
",ValidatorTest::testManualObject_6_oe
vali_1_7,"   public void testManualObject_7_oe() {
        //     property name of the method we are validating
        String property = ""date"";
        // name of ValidatorAction
        String action = ""date"";
        ValidatorResources resources = setupDateResources(property, action);

      TestBean bean = new TestBean();  
      bean.setDate(""2/3/1999"");
      
      Validator validator = new Validator(resources, ""testForm"");
      validator.setParameter(Validator.BEAN_PARAM, bean);

      try {
         ValidatorResults results = validator.validate();
         
         // removed other assertion
         
         ValidatorResult result = results.getValidatorResult(property);
         
         // removed other assertion
         
         // removed other assertion
         
         // removed other assertion
      } catch (Exception e) {
         // removed other assertion
      }

      bean.setDate(""2/30/1999"");
      
      try {
         ValidatorResults results = validator.validate();
         
         // removed other assertion
         
         ValidatorResult result = results.getValidatorResult(property);
         
         assertNotNull(""Results are null."", results);
   }
   }
",ValidatorTest::testManualObject_7_oe
vali_1_8,"   public void testManualObject_8_oe() {
        //     property name of the method we are validating
        String property = ""date"";
        // name of ValidatorAction
        String action = ""date"";
        ValidatorResources resources = setupDateResources(property, action);

      TestBean bean = new TestBean();  
      bean.setDate(""2/3/1999"");
      
      Validator validator = new Validator(resources, ""testForm"");
      validator.setParameter(Validator.BEAN_PARAM, bean);

      try {
         ValidatorResults results = validator.validate();
         
         // removed other assertion
         
         ValidatorResult result = results.getValidatorResult(property);
         
         // removed other assertion
         
         // removed other assertion
         
         // removed other assertion
      } catch (Exception e) {
         // removed other assertion
      }

      bean.setDate(""2/30/1999"");
      
      try {
         ValidatorResults results = validator.validate();
         
         // removed other assertion
         
         ValidatorResult result = results.getValidatorResult(property);
         
         // removed other assertion
         
         assertTrue(""ValidatorResult does not contain '"" + action + ""' validator result."", result.containsAction(action));
   }
   }
",ValidatorTest::testManualObject_8_oe
vali_1_9,"   public void testManualObject_9_oe() {
        //     property name of the method we are validating
        String property = ""date"";
        // name of ValidatorAction
        String action = ""date"";
        ValidatorResources resources = setupDateResources(property, action);

      TestBean bean = new TestBean();  
      bean.setDate(""2/3/1999"");
      
      Validator validator = new Validator(resources, ""testForm"");
      validator.setParameter(Validator.BEAN_PARAM, bean);

      try {
         ValidatorResults results = validator.validate();
         
         // removed other assertion
         
         ValidatorResult result = results.getValidatorResult(property);
         
         // removed other assertion
         
         // removed other assertion
         
         // removed other assertion
      } catch (Exception e) {
         // removed other assertion
      }

      bean.setDate(""2/30/1999"");
      
      try {
         ValidatorResults results = validator.validate();
         
         // removed other assertion
         
         ValidatorResult result = results.getValidatorResult(property);
         
         // removed other assertion
         
         // removed other assertion
         
         assertTrue(""Validation of the date formatting has passed when it should have failed."", !result.isValid(action));
   }
   }
",ValidatorTest::testManualObject_9_oe
vali_1_10,"   public void testManualObject_10_oe() {
        //     property name of the method we are validating
        String property = ""date"";
        // name of ValidatorAction
        String action = ""date"";
        ValidatorResources resources = setupDateResources(property, action);

      TestBean bean = new TestBean();  
      bean.setDate(""2/3/1999"");
      
      Validator validator = new Validator(resources, ""testForm"");
      validator.setParameter(Validator.BEAN_PARAM, bean);

      try {
         ValidatorResults results = validator.validate();
         
         // removed other assertion
         
         ValidatorResult result = results.getValidatorResult(property);
         
         // removed other assertion
         
         // removed other assertion
         
         // removed other assertion
      } catch (Exception e) {
         // removed other assertion
      }

      bean.setDate(""2/30/1999"");
      
      try {
         ValidatorResults results = validator.validate();
         
         // removed other assertion
         
         ValidatorResult result = results.getValidatorResult(property);
         
         // removed other assertion
         
         // removed other assertion
         
         // removed other assertion
      } catch (Exception e) {
         fail(""An exception was thrown while calling Validator.validate()"");
   }
   }
",ValidatorTest::testManualObject_10_oe
vali_2_1,"   public void testOnlyReturnErrors_1_oe() throws ValidatorException {
        //     property name of the method we are validating
        String property = ""date"";
        // name of ValidatorAction
        String action = ""date"";
        ValidatorResources resources = setupDateResources(property, action);
    
        TestBean bean = new TestBean();
        bean.setDate(""2/3/1999"");
    
        Validator validator = new Validator(resources, ""testForm"");
        validator.setParameter(Validator.BEAN_PARAM, bean);
    
        ValidatorResults results = validator.validate();
    
        assertNotNull(results);
   }
",ValidatorTest::testOnlyReturnErrors_1_oe
vali_2_2,"   public void testOnlyReturnErrors_2_oe() throws ValidatorException {
        //     property name of the method we are validating
        String property = ""date"";
        // name of ValidatorAction
        String action = ""date"";
        ValidatorResources resources = setupDateResources(property, action);
    
        TestBean bean = new TestBean();
        bean.setDate(""2/3/1999"");
    
        Validator validator = new Validator(resources, ""testForm"");
        validator.setParameter(Validator.BEAN_PARAM, bean);
    
        ValidatorResults results = validator.validate();
    
        // removed other assertion
    
        // Field passed and should be in results
        assertTrue(results.getPropertyNames().contains(property));
   }
",ValidatorTest::testOnlyReturnErrors_2_oe
vali_2_3,"   public void testOnlyReturnErrors_3_oe() throws ValidatorException {
        //     property name of the method we are validating
        String property = ""date"";
        // name of ValidatorAction
        String action = ""date"";
        ValidatorResources resources = setupDateResources(property, action);
    
        TestBean bean = new TestBean();
        bean.setDate(""2/3/1999"");
    
        Validator validator = new Validator(resources, ""testForm"");
        validator.setParameter(Validator.BEAN_PARAM, bean);
    
        ValidatorResults results = validator.validate();
    
        // removed other assertion
    
        // Field passed and should be in results
        // removed other assertion
        
        // Field passed but should not be in results
        validator.setOnlyReturnErrors(true);
        results = validator.validate();
        assertFalse(results.getPropertyNames().contains(property));
   }
",ValidatorTest::testOnlyReturnErrors_3_oe
vali_3_1,"   public void testOnlyValidateField_1_oe() throws ValidatorException {
        //     property name of the method we are validating
        String property = ""date"";
        // name of ValidatorAction
        String action = ""date"";
        ValidatorResources resources = setupDateResources(property, action);
    
        TestBean bean = new TestBean();
        bean.setDate(""2/3/1999"");
    
        Validator validator = new Validator(resources, ""testForm"", property);
        validator.setParameter(Validator.BEAN_PARAM, bean);
    
        ValidatorResults results = validator.validate();
    
        assertNotNull(results);
   }
",ValidatorTest::testOnlyValidateField_1_oe
vali_3_2,"   public void testOnlyValidateField_2_oe() throws ValidatorException {
        //     property name of the method we are validating
        String property = ""date"";
        // name of ValidatorAction
        String action = ""date"";
        ValidatorResources resources = setupDateResources(property, action);
    
        TestBean bean = new TestBean();
        bean.setDate(""2/3/1999"");
    
        Validator validator = new Validator(resources, ""testForm"", property);
        validator.setParameter(Validator.BEAN_PARAM, bean);
    
        ValidatorResults results = validator.validate();
    
        // removed other assertion
    
        // Field passed and should be in results
        assertTrue(results.getPropertyNames().contains(property));
   }
",ValidatorTest::testOnlyValidateField_2_oe
vali_4_1,"   public void testManualBoolean_1_oe() {
      ValidatorResources resources = new ValidatorResources();

      ValidatorAction va = new ValidatorAction();
      va.setName(""capLetter"");
      va.setClassname(""org.apache.commons.validator.ValidatorTest"");
      va.setMethod(""isCapLetter"");
      va.setMethodParams(""java.lang.Object,org.apache.commons.validator.Field,java.util.List"");
      
      FormSet fs = new FormSet();
      Form form = new Form();
      form.setName(""testForm"");
      Field field = new Field();
      field.setProperty(""letter"");
      field.setDepends(""capLetter"");
      form.addField(field);
      fs.addForm(form);
      
      resources.addValidatorAction(va);
      resources.addFormSet(fs);
      resources.process();

      List<?> l = new ArrayList<Object>();

      TestBean bean = new TestBean();  
      bean.setLetter(""A"");
      
      Validator validator = new Validator(resources, ""testForm"");
      validator.setParameter(Validator.BEAN_PARAM, bean);
      validator.setParameter(""java.util.List"", l);

      try {
         validator.validate();
      } catch (Exception e) {
         fail(""An exception was thrown while calling Validator.validate()"");
   }
   }
",ValidatorTest::testManualBoolean_1_oe
vali_4_2,"   public void testManualBoolean_2_oe() {
      ValidatorResources resources = new ValidatorResources();

      ValidatorAction va = new ValidatorAction();
      va.setName(""capLetter"");
      va.setClassname(""org.apache.commons.validator.ValidatorTest"");
      va.setMethod(""isCapLetter"");
      va.setMethodParams(""java.lang.Object,org.apache.commons.validator.Field,java.util.List"");
      
      FormSet fs = new FormSet();
      Form form = new Form();
      form.setName(""testForm"");
      Field field = new Field();
      field.setProperty(""letter"");
      field.setDepends(""capLetter"");
      form.addField(field);
      fs.addForm(form);
      
      resources.addValidatorAction(va);
      resources.addFormSet(fs);
      resources.process();

      List<?> l = new ArrayList<Object>();

      TestBean bean = new TestBean();  
      bean.setLetter(""A"");
      
      Validator validator = new Validator(resources, ""testForm"");
      validator.setParameter(Validator.BEAN_PARAM, bean);
      validator.setParameter(""java.util.List"", l);

      try {
         validator.validate();
      } catch (Exception e) {
         // removed other assertion
      }

      assertEquals(""Validation of the letter 'A'."", 0, l.size());
   }
",ValidatorTest::testManualBoolean_2_oe
