id,test_prefix,test_name
net_127_1,"    public void testParseFieldsOnFileJapaneseTime_1_oe()
    {
        final FTPFile f = getParser().parseFTPEntry(""-rwxr-xr-x 2 user group 4096 3\u6708 2\u65e5 15:13 zxbox"");
        assertNotNull(""Could not parse entry."", f);
    }
",UnixFTPEntryParserTest::testParseFieldsOnFileJapaneseTime_1_oe
net_127_2,"    public void testParseFieldsOnFileJapaneseTime_2_oe()
    {
        final FTPFile f = getParser().parseFTPEntry(""-rwxr-xr-x 2 user group 4096 3\u6708 2\u65e5 15:13 zxbox"");
        // removed other assertion
        assertTrue(""Should have been a file."", f.isFile());
    }
",UnixFTPEntryParserTest::testParseFieldsOnFileJapaneseTime_2_oe
net_127_3,"    public void testParseFieldsOnFileJapaneseTime_3_oe()
    {
        final FTPFile f = getParser().parseFTPEntry(""-rwxr-xr-x 2 user group 4096 3\u6708 2\u65e5 15:13 zxbox"");
        // removed other assertion
        // removed other assertion
        checkPermissions(f);
        assertEquals(2, f.getHardLinkCount());
    }
",UnixFTPEntryParserTest::testParseFieldsOnFileJapaneseTime_3_oe
net_127_4,"    public void testParseFieldsOnFileJapaneseTime_4_oe()
    {
        final FTPFile f = getParser().parseFTPEntry(""-rwxr-xr-x 2 user group 4096 3\u6708 2\u65e5 15:13 zxbox"");
        // removed other assertion
        // removed other assertion
        checkPermissions(f);
        // removed other assertion
        assertEquals(""user"", f.getUser());
    }
",UnixFTPEntryParserTest::testParseFieldsOnFileJapaneseTime_4_oe
net_127_5,"    public void testParseFieldsOnFileJapaneseTime_5_oe()
    {
        final FTPFile f = getParser().parseFTPEntry(""-rwxr-xr-x 2 user group 4096 3\u6708 2\u65e5 15:13 zxbox"");
        // removed other assertion
        // removed other assertion
        checkPermissions(f);
        // removed other assertion
        // removed other assertion
        assertEquals(""group"", f.getGroup());
    }
",UnixFTPEntryParserTest::testParseFieldsOnFileJapaneseTime_5_oe
net_127_6,"    public void testParseFieldsOnFileJapaneseTime_6_oe()
    {
        final FTPFile f = getParser().parseFTPEntry(""-rwxr-xr-x 2 user group 4096 3\u6708 2\u65e5 15:13 zxbox"");
        // removed other assertion
        // removed other assertion
        checkPermissions(f);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEquals(""zxbox"", f.getName());
    }
",UnixFTPEntryParserTest::testParseFieldsOnFileJapaneseTime_6_oe
net_127_7,"    public void testParseFieldsOnFileJapaneseTime_7_oe()
    {
        final FTPFile f = getParser().parseFTPEntry(""-rwxr-xr-x 2 user group 4096 3\u6708 2\u65e5 15:13 zxbox"");
        // removed other assertion
        // removed other assertion
        checkPermissions(f);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        assertEquals(4096, f.getSize());
    }
",UnixFTPEntryParserTest::testParseFieldsOnFileJapaneseTime_7_oe
net_127_8,"    public void testParseFieldsOnFileJapaneseTime_8_oe()
    {
        final FTPFile f = getParser().parseFTPEntry(""-rwxr-xr-x 2 user group 4096 3\u6708 2\u65e5 15:13 zxbox"");
        // removed other assertion
        // removed other assertion
        checkPermissions(f);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        assertNotNull(""Timestamp not null"", f.getTimestamp());
    }
",UnixFTPEntryParserTest::testParseFieldsOnFileJapaneseTime_8_oe
net_127_9,"    public void testParseFieldsOnFileJapaneseTime_9_oe()
    {
        final FTPFile f = getParser().parseFTPEntry(""-rwxr-xr-x 2 user group 4096 3\u6708 2\u65e5 15:13 zxbox"");
        // removed other assertion
        // removed other assertion
        checkPermissions(f);
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // removed other assertion

        // removed other assertion
        final Calendar cal = Calendar.getInstance();
        cal.set(Calendar.MONTH, Calendar.MARCH);
        cal.set(Calendar.DATE,1);
        cal.set(Calendar.HOUR_OF_DAY, 0);
        cal.set(Calendar.MINUTE, 0);
        cal.set(Calendar.SECOND, 0);
        if (f.getTimestamp().getTime().before(cal.getTime())) {
            cal.add(Calendar.YEAR, -1);
        }
        cal.set(Calendar.DATE,2);
        cal.set(Calendar.HOUR_OF_DAY, 15);
        cal.set(Calendar.MINUTE, 13);
        assertEquals(df.format(cal.getTime()), df.format(f.getTimestamp().getTime()));
    }
",UnixFTPEntryParserTest::testParseFieldsOnFileJapaneseTime_9_oe
net_128_1,"    public void testParseFieldsOnFileJapaneseYear_1_oe() {
        final FTPFile f = getParser().parseFTPEntry(
                ""-rwxr-xr-x 2 user group 4096 3\u6708 2\u65e5 2003\u5e74 \u8a66\u9a13\u30d5\u30a1\u30a4\u30eb.csv"");
        assertNotNull(""Could not parse entry."", f);
    }
",UnixFTPEntryParserTest::testParseFieldsOnFileJapaneseYear_1_oe
net_128_2,"    public void testParseFieldsOnFileJapaneseYear_2_oe() {
        final FTPFile f = getParser().parseFTPEntry(
                ""-rwxr-xr-x 2 user group 4096 3\u6708 2\u65e5 2003\u5e74 \u8a66\u9a13\u30d5\u30a1\u30a4\u30eb.csv"");
        // removed other assertion
        assertTrue(""Should have been a file."", f.isFile());
    }
",UnixFTPEntryParserTest::testParseFieldsOnFileJapaneseYear_2_oe
