id,test_prefix,test_name
bean_left_48_1,"private static void assertMethod_1_oe(final Method method, final String methodName) { assertNotNull(method);
}
",MethodUtilsTestCase::assertMethod_1_oe
bean_left_48_2,"// removed other assertion
        assertEquals(""Method is not named correctly"",methodName,method.getName());
",MethodUtilsTestCase::assertMethod_2_oe
bean_left_48_3,"// removed other assertion
        // removed other assertion
        assertTrue(""Method is not public"",Modifier.isPublic(method.getModifiers()));
",MethodUtilsTestCase::assertMethod_3_oe
bean_left_106_1,"private void checkIntegerArray_1_oe(final Object value, final int intArray[]) {

        assertNotNull(""Returned value is not null"", value);
}
",ConvertUtilsTestCase::checkIntegerArray_1_oe
bean_left_106_2,"private void checkIntegerArray_2_oe(final Object value, final int intArray[]) {

        // removed other assertion
        assertEquals(""Returned value is int[]"",intArray.getClass(),value.getClass());
}
",ConvertUtilsTestCase::checkIntegerArray_2_oe
bean_left_106_3,"private void checkIntegerArray_3_oe(final Object value, final int intArray[]) {

        // removed other assertion
        // removed other assertion
        final int results[] = (int[]) value;
        assertEquals(""Returned array length"", intArray.length, results.length);
}
",ConvertUtilsTestCase::checkIntegerArray_3_oe
bean_left_106_4,"private void checkIntegerArray_4_oe(final Object value, final int intArray[]) {

        // removed other assertion
        // removed other assertion
        final int results[] = (int[]) value;
        // removed other assertion
        for (int i = 0; i < intArray.length; i++) {
            assertEquals(""Returned array value "" + i,intArray[i],results[i]);
}
}
",ConvertUtilsTestCase::checkIntegerArray_4_oe
bean_left_107_1,"private void checkStringArray_1_oe(final Object value, final String stringArray[]) {

        assertNotNull(""Returned value is not null"", value);
}
",ConvertUtilsTestCase::checkStringArray_1_oe
bean_left_107_2,"private void checkStringArray_2_oe(final Object value, final String stringArray[]) {

        // removed other assertion
        assertEquals(""Returned value is String[]"",stringArray.getClass(),value.getClass());
}
",ConvertUtilsTestCase::checkStringArray_2_oe
bean_left_107_3,"private void checkStringArray_3_oe(final Object value, final String stringArray[]) {

        // removed other assertion
        // removed other assertion
        final String results[] = (String[]) value;
        assertEquals(""Returned array length"",stringArray.length,results.length);
}
",ConvertUtilsTestCase::checkStringArray_3_oe
bean_left_107_4,"private void checkStringArray_4_oe(final Object value, final String stringArray[]) {

        // removed other assertion
        // removed other assertion
        final String results[] = (String[]) value;
        // removed other assertion
        for (int i = 0; i < stringArray.length; i++) {
            assertEquals(""Returned array value "" + i,stringArray[i],results[i]);
}
}
",ConvertUtilsTestCase::checkStringArray_4_oe
bean_left_190_1,"protected void testGetDescriptorBase_1_oe(final String name, final Class<?> type) {

        try {
            final DynaProperty descriptor =
                    bean.getDynaClass().getDynaProperty(name);
            assertNotNull(""Got descriptor"", descriptor);
}
}
",BasicDynaBeanTestCase::testGetDescriptorBase_1_oe
bean_left_190_2,"protected void testGetDescriptorBase_2_oe(final String name, final Class<?> type) {

        try {
            final DynaProperty descriptor =
                    bean.getDynaClass().getDynaProperty(name);
            // removed other assertion
            assertEquals(""Got correct type"", type, descriptor.getType());
}
}
",BasicDynaBeanTestCase::testGetDescriptorBase_2_oe
bean_left_190_3,"protected void testGetDescriptorBase_3_oe(final String name, final Class<?> type) {

        try {
            final DynaProperty descriptor =
                    bean.getDynaClass().getDynaProperty(name);
            // removed other assertion
            // removed other assertion
        } catch (final Throwable t) {
            fail(""Threw an exception: "" + t);
}
}
",BasicDynaBeanTestCase::testGetDescriptorBase_3_oe
bean_left_218_1,"protected void checkIntArray_1_oe(final int actual[], final int expected[]) {
        assertNotNull(""actual array not null"", actual);
}
",DynaBeanUtilsTestCase::checkIntArray_1_oe
bean_left_218_2,"protected void checkIntArray_2_oe(final int actual[], final int expected[]) {
        // removed other assertion
        assertEquals(""actual array length"", expected.length, actual.length);
}
",DynaBeanUtilsTestCase::checkIntArray_2_oe
bean_left_218_3,"protected void checkIntArray_3_oe(final int actual[], final int expected[]) {
        // removed other assertion
        // removed other assertion
        for (int i = 0; i < actual.length; i++) {
            assertEquals(""actual array value["" + i + ""]"",expected[i],actual[i]);
}
}
",DynaBeanUtilsTestCase::checkIntArray_3_oe
bean_left_219_1,"protected void checkMap_1_oe(final Map<?, ?> actual, final Map<?, ?> expected) {
        assertNotNull(""actual map not null"", actual);
}
",DynaBeanUtilsTestCase::checkMap_1_oe
bean_left_219_2,"protected void checkMap_2_oe(final Map<?, ?> actual, final Map<?, ?> expected) {
        // removed other assertion
        assertEquals(""actual map size"", expected.size(), actual.size());
}
",DynaBeanUtilsTestCase::checkMap_2_oe
bean_left_219_3,"protected void checkMap_3_oe(final Map<?, ?> actual, final Map<?, ?> expected) {
        // removed other assertion
        // removed other assertion
        final Iterator<?> keys = expected.keySet().iterator();
        while (keys.hasNext()) {
            final Object key = keys.next();
            assertEquals(""actual map value("" + key + "")"",expected.get(key),actual.get(key));
}
}
",DynaBeanUtilsTestCase::checkMap_3_oe
bean_left_232_1,"private static PropertyDescriptor fetchDescriptor_1_oe(
            final Map<String, PropertyDescriptor> props, final String name) {
        assertTrue(""Property not found: "" + name, props.containsKey(name));
}
",FluentPropertyBeanIntrospectorTestCase::fetchDescriptor_1_oe
bean_left_279_1,"private <E> void checkUnmodifiable_1_oe(final String desc, final Collection<E> collection, final E addElem) {
        // Check can't add()
        try {
            collection.add(addElem);
            fail(desc + "".add()"");
}
}
",DynaBeanMapDecoratorTestCase::checkUnmodifiable_1_oe
bean_left_279_2,"private <E> void checkUnmodifiable_2_oe(final String desc, final Collection<E> collection, final E addElem) {
        // Check can't add()
        try {
            collection.add(addElem);
            // removed other assertion
        } catch(final UnsupportedOperationException ignore) {
            // expected result
        }

        // Check can't addAll()
        final List<E> list = new ArrayList<E>(1);
        list.add(addElem);
        try {
            collection.addAll(list);
            fail(desc + "".addAll()"");
}
}
",DynaBeanMapDecoratorTestCase::checkUnmodifiable_2_oe
bean_left_279_3,"private <E> void checkUnmodifiable_3_oe(final String desc, final Collection<E> collection, final E addElem) {
        // Check can't add()
        try {
            collection.add(addElem);
            // removed other assertion
        } catch(final UnsupportedOperationException ignore) {
            // expected result
        }

        // Check can't addAll()
        final List<E> list = new ArrayList<E>(1);
        list.add(addElem);
        try {
            collection.addAll(list);
            // removed other assertion
        } catch(final UnsupportedOperationException ignore) {
            // expected result
        }

        // Check can't clear()
        try {
            collection.clear();
            fail(desc + "".clear()"");
}
}
",DynaBeanMapDecoratorTestCase::checkUnmodifiable_3_oe
bean_left_279_4,"private <E> void checkUnmodifiable_4_oe(final String desc, final Collection<E> collection, final E addElem) {
        // Check can't add()
        try {
            collection.add(addElem);
            // removed other assertion
        } catch(final UnsupportedOperationException ignore) {
            // expected result
        }

        // Check can't addAll()
        final List<E> list = new ArrayList<E>(1);
        list.add(addElem);
        try {
            collection.addAll(list);
            // removed other assertion
        } catch(final UnsupportedOperationException ignore) {
            // expected result
        }

        // Check can't clear()
        try {
            collection.clear();
            // removed other assertion
        } catch(final UnsupportedOperationException ignore) {
            // expected result
        }

        // Check can't remove()
        try {
            collection.remove(""abc"");
            fail(desc + "".remove()"");
}
}
",DynaBeanMapDecoratorTestCase::checkUnmodifiable_4_oe
