id,test_prefix,test_name
rng_78_1,"    @ParameterizedTest
    @MethodSource(""getList"")
    void testRestoreForeignState_1_oe(RestorableUniformRandomProvider generator) {
        Assertions.assertThrows(IllegalArgumentException.class, () -> generator.restoreState(new Ran));
    }
",ProvidersCommonParametricTest::testRestoreForeignState_1_oe
rng_11_1_1,"    @ParameterizedTest
    @MethodSource(""getProvidersTestData"")
    void testUnrestorable_1_oe_1_oe(ProvidersList.Data data) {
        final RandomSource originalSource = data.getSource();
        final Object originalSeed = data.getSeed();
        final Object[] originalArgs = data.getArgs();
        // Create two generators of the same type as the one being tested.
        final UniformRandomProvider rng1 = originalSource.create(originalSeed, originalArgs);
        final UniformRandomProvider rng2 = RandomSource.unrestorable(originalSource.create(originalSeed, originalArgs));

        // Ensure that they generate the same values.
        RandomAssert.        final UniformRandomProvider rng10 = rng1;
        final UniformRandomProvider rng20 = rng2;
        for (int i0 = 0; i0 < 54; i0++) {
                    Assertions.assertEquals(rng10.nextBoolean(), rng20.nextBoolean());
    }
    }
",ProvidersCommonParametricTest::testUnrestorable_1_oe_1_oe
rng_11_1_2,"    @ParameterizedTest
    @MethodSource(""getProvidersTestData"")
    void testUnrestorable_1_oe_2_oe(ProvidersList.Data data) {
        final RandomSource originalSource = data.getSource();
        final Object originalSeed = data.getSeed();
        final Object[] originalArgs = data.getArgs();
        // Create two generators of the same type as the one being tested.
        final UniformRandomProvider rng1 = originalSource.create(originalSeed, originalArgs);
        final UniformRandomProvider rng2 = RandomSource.unrestorable(originalSource.create(originalSeed, originalArgs));

        // Ensure that they generate the same values.
        RandomAssert.        final UniformRandomProvider rng10 = rng1;
        final UniformRandomProvider rng20 = rng2;
        for (int i0 = 0; i0 < 54; i0++) {
                    // removed other assertion
                }
                for (int i0 = 0; i0 < 23; i0++) {
                    Assertions.assertEquals(rng10.nextInt(), rng20.nextInt());
    }
    }
",ProvidersCommonParametricTest::testUnrestorable_1_oe_2_oe
rng_11_1_3,"    @ParameterizedTest
    @MethodSource(""getProvidersTestData"")
    void testUnrestorable_1_oe_3_oe(ProvidersList.Data data) {
        final RandomSource originalSource = data.getSource();
        final Object originalSeed = data.getSeed();
        final Object[] originalArgs = data.getArgs();
        // Create two generators of the same type as the one being tested.
        final UniformRandomProvider rng1 = originalSource.create(originalSeed, originalArgs);
        final UniformRandomProvider rng2 = RandomSource.unrestorable(originalSource.create(originalSeed, originalArgs));

        // Ensure that they generate the same values.
        RandomAssert.        final UniformRandomProvider rng10 = rng1;
        final UniformRandomProvider rng20 = rng2;
        for (int i0 = 0; i0 < 54; i0++) {
                    // removed other assertion
                }
                for (int i0 = 0; i0 < 23; i0++) {
                    // removed other assertion
                }
                for (int i0 = 0; i0 < 4; i0++) {
                    for (int j0 = 0; j0 < 5; j0++) {
                        final int max0 = 107 * i0 + 374 * j0 + 11;
                        Assertions.assertEquals(rng10.nextInt(max0), rng20.nextInt(max0));
    }
    }
    }
",ProvidersCommonParametricTest::testUnrestorable_1_oe_3_oe
rng_11_1_4,"    @ParameterizedTest
    @MethodSource(""getProvidersTestData"")
    void testUnrestorable_1_oe_4_oe(ProvidersList.Data data) {
        final RandomSource originalSource = data.getSource();
        final Object originalSeed = data.getSeed();
        final Object[] originalArgs = data.getArgs();
        // Create two generators of the same type as the one being tested.
        final UniformRandomProvider rng1 = originalSource.create(originalSeed, originalArgs);
        final UniformRandomProvider rng2 = RandomSource.unrestorable(originalSource.create(originalSeed, originalArgs));

        // Ensure that they generate the same values.
        RandomAssert.        final UniformRandomProvider rng10 = rng1;
        final UniformRandomProvider rng20 = rng2;
        for (int i0 = 0; i0 < 54; i0++) {
                    // removed other assertion
                }
                for (int i0 = 0; i0 < 23; i0++) {
                    // removed other assertion
                }
                for (int i0 = 0; i0 < 4; i0++) {
                    for (int j0 = 0; j0 < 5; j0++) {
                        final int max0 = 107 * i0 + 374 * j0 + 11;
                        // removed other assertion
                    }
                }
                for (int i0 = 0; i0 < 23; i0++) {
                    Assertions.assertEquals(rng10.nextLong(), rng20.nextLong());
    }
    }
",ProvidersCommonParametricTest::testUnrestorable_1_oe_4_oe
rng_11_1_5,"    @ParameterizedTest
    @MethodSource(""getProvidersTestData"")
    void testUnrestorable_1_oe_5_oe(ProvidersList.Data data) {
        final RandomSource originalSource = data.getSource();
        final Object originalSeed = data.getSeed();
        final Object[] originalArgs = data.getArgs();
        // Create two generators of the same type as the one being tested.
        final UniformRandomProvider rng1 = originalSource.create(originalSeed, originalArgs);
        final UniformRandomProvider rng2 = RandomSource.unrestorable(originalSource.create(originalSeed, originalArgs));

        // Ensure that they generate the same values.
        RandomAssert.        final UniformRandomProvider rng10 = rng1;
        final UniformRandomProvider rng20 = rng2;
        for (int i0 = 0; i0 < 54; i0++) {
                    // removed other assertion
                }
                for (int i0 = 0; i0 < 23; i0++) {
                    // removed other assertion
                }
                for (int i0 = 0; i0 < 4; i0++) {
                    for (int j0 = 0; j0 < 5; j0++) {
                        final int max0 = 107 * i0 + 374 * j0 + 11;
                        // removed other assertion
                    }
                }
                for (int i0 = 0; i0 < 23; i0++) {
                    // removed other assertion
                }
                for (int i0 = 0; i0 < 4; i0++) {
                    for (int j0 = 0; j0 < 5; j0++) {
                        final long max0 = (Long.MAX_VALUE << 2) + 107 * i0 + 374 * j0 + 11;
                        Assertions.assertEquals(rng10.nextLong(max0), rng20.nextLong(max0));
    }
    }
    }
",ProvidersCommonParametricTest::testUnrestorable_1_oe_5_oe
rng_11_1_6,"    @ParameterizedTest
    @MethodSource(""getProvidersTestData"")
    void testUnrestorable_1_oe_6_oe(ProvidersList.Data data) {
        final RandomSource originalSource = data.getSource();
        final Object originalSeed = data.getSeed();
        final Object[] originalArgs = data.getArgs();
        // Create two generators of the same type as the one being tested.
        final UniformRandomProvider rng1 = originalSource.create(originalSeed, originalArgs);
        final UniformRandomProvider rng2 = RandomSource.unrestorable(originalSource.create(originalSeed, originalArgs));

        // Ensure that they generate the same values.
        RandomAssert.        final UniformRandomProvider rng10 = rng1;
        final UniformRandomProvider rng20 = rng2;
        for (int i0 = 0; i0 < 54; i0++) {
                    // removed other assertion
                }
                for (int i0 = 0; i0 < 23; i0++) {
                    // removed other assertion
                }
                for (int i0 = 0; i0 < 4; i0++) {
                    for (int j0 = 0; j0 < 5; j0++) {
                        final int max0 = 107 * i0 + 374 * j0 + 11;
                        // removed other assertion
                    }
                }
                for (int i0 = 0; i0 < 23; i0++) {
                    // removed other assertion
                }
                for (int i0 = 0; i0 < 4; i0++) {
                    for (int j0 = 0; j0 < 5; j0++) {
                        final long max0 = (Long.MAX_VALUE << 2) + 107 * i0 + 374 * j0 + 11;
                        // removed other assertion
                    }
                }
                for (int i0 = 0; i0 < 103; i0++) {
                    Assertions.assertEquals(rng10.nextFloat(), rng20.nextFloat());
    }
    }
",ProvidersCommonParametricTest::testUnrestorable_1_oe_6_oe
rng_11_1_7,"    @ParameterizedTest
    @MethodSource(""getProvidersTestData"")
    void testUnrestorable_1_oe_7_oe(ProvidersList.Data data) {
        final RandomSource originalSource = data.getSource();
        final Object originalSeed = data.getSeed();
        final Object[] originalArgs = data.getArgs();
        // Create two generators of the same type as the one being tested.
        final UniformRandomProvider rng1 = originalSource.create(originalSeed, originalArgs);
        final UniformRandomProvider rng2 = RandomSource.unrestorable(originalSource.create(originalSeed, originalArgs));

        // Ensure that they generate the same values.
        RandomAssert.        final UniformRandomProvider rng10 = rng1;
        final UniformRandomProvider rng20 = rng2;
        for (int i0 = 0; i0 < 54; i0++) {
                    // removed other assertion
                }
                for (int i0 = 0; i0 < 23; i0++) {
                    // removed other assertion
                }
                for (int i0 = 0; i0 < 4; i0++) {
                    for (int j0 = 0; j0 < 5; j0++) {
                        final int max0 = 107 * i0 + 374 * j0 + 11;
                        // removed other assertion
                    }
                }
                for (int i0 = 0; i0 < 23; i0++) {
                    // removed other assertion
                }
                for (int i0 = 0; i0 < 4; i0++) {
                    for (int j0 = 0; j0 < 5; j0++) {
                        final long max0 = (Long.MAX_VALUE << 2) + 107 * i0 + 374 * j0 + 11;
                        // removed other assertion
                    }
                }
                for (int i0 = 0; i0 < 103; i0++) {
                    // removed other assertion
                }
                for (int i0 = 0; i0 < 79; i0++) {
                    Assertions.assertEquals(rng10.nextDouble(), rng20.nextDouble());
    }
    }
",ProvidersCommonParametricTest::testUnrestorable_1_oe_7_oe
rng_11_1_8,"    @ParameterizedTest
    @MethodSource(""getProvidersTestData"")
    void testUnrestorable_1_oe_8_oe(ProvidersList.Data data) {
        final RandomSource originalSource = data.getSource();
        final Object originalSeed = data.getSeed();
        final Object[] originalArgs = data.getArgs();
        // Create two generators of the same type as the one being tested.
        final UniformRandomProvider rng1 = originalSource.create(originalSeed, originalArgs);
        final UniformRandomProvider rng2 = RandomSource.unrestorable(originalSource.create(originalSeed, originalArgs));

        // Ensure that they generate the same values.
        RandomAssert.        final UniformRandomProvider rng10 = rng1;
        final UniformRandomProvider rng20 = rng2;
        for (int i0 = 0; i0 < 54; i0++) {
                    // removed other assertion
                }
                for (int i0 = 0; i0 < 23; i0++) {
                    // removed other assertion
                }
                for (int i0 = 0; i0 < 4; i0++) {
                    for (int j0 = 0; j0 < 5; j0++) {
                        final int max0 = 107 * i0 + 374 * j0 + 11;
                        // removed other assertion
                    }
                }
                for (int i0 = 0; i0 < 23; i0++) {
                    // removed other assertion
                }
                for (int i0 = 0; i0 < 4; i0++) {
                    for (int j0 = 0; j0 < 5; j0++) {
                        final long max0 = (Long.MAX_VALUE << 2) + 107 * i0 + 374 * j0 + 11;
                        // removed other assertion
                    }
                }
                for (int i0 = 0; i0 < 103; i0++) {
                    // removed other assertion
                }
                for (int i0 = 0; i0 < 79; i0++) {
                    // removed other assertion
                }
        
                final int size0 = 345;
                final byte[] a10 = new byte[size0];
                final byte[] a20 = new byte[size0];
        
                for (int i0 = 0; i0 < 3; i0++) {
                    rng10.nextBytes(a10);
                    rng20.nextBytes(a20);
                    Assertions.assertArrayEquals(a10, a20);
    }
    }
",ProvidersCommonParametricTest::testUnrestorable_1_oe_8_oe
rng_11_1_9,"    @ParameterizedTest
    @MethodSource(""getProvidersTestData"")
    void testUnrestorable_1_oe_9_oe(ProvidersList.Data data) {
        final RandomSource originalSource = data.getSource();
        final Object originalSeed = data.getSeed();
        final Object[] originalArgs = data.getArgs();
        // Create two generators of the same type as the one being tested.
        final UniformRandomProvider rng1 = originalSource.create(originalSeed, originalArgs);
        final UniformRandomProvider rng2 = RandomSource.unrestorable(originalSource.create(originalSeed, originalArgs));

        // Ensure that they generate the same values.
        RandomAssert.        final UniformRandomProvider rng10 = rng1;
        final UniformRandomProvider rng20 = rng2;
        for (int i0 = 0; i0 < 54; i0++) {
                    // removed other assertion
                }
                for (int i0 = 0; i0 < 23; i0++) {
                    // removed other assertion
                }
                for (int i0 = 0; i0 < 4; i0++) {
                    for (int j0 = 0; j0 < 5; j0++) {
                        final int max0 = 107 * i0 + 374 * j0 + 11;
                        // removed other assertion
                    }
                }
                for (int i0 = 0; i0 < 23; i0++) {
                    // removed other assertion
                }
                for (int i0 = 0; i0 < 4; i0++) {
                    for (int j0 = 0; j0 < 5; j0++) {
                        final long max0 = (Long.MAX_VALUE << 2) + 107 * i0 + 374 * j0 + 11;
                        // removed other assertion
                    }
                }
                for (int i0 = 0; i0 < 103; i0++) {
                    // removed other assertion
                }
                for (int i0 = 0; i0 < 79; i0++) {
                    // removed other assertion
                }
        
                final int size0 = 345;
                final byte[] a10 = new byte[size0];
                final byte[] a20 = new byte[size0];
        
                for (int i0 = 0; i0 < 3; i0++) {
                    rng10.nextBytes(a10);
                    rng20.nextBytes(a20);
                    // removed other assertion
                }
        
                for (int i0 = 0; i0 < 5; i0++) {
                    final int offset0 = 200 + i0;
                    final int n0 = 23 + i0;
                    rng10.nextBytes(a10, offset0, n0);
                    rng20.nextBytes(a20, offset0, n0);
                    Assertions.assertArrayEquals(a10, a20);
    }
    }
",ProvidersCommonParametricTest::testUnrestorable_1_oe_9_oe
rng_46_1_1,"    @Test
    void testCreateLong_1_oe_1_oe() {
        final Map<Long, Integer> values = new HashMap<>();

        final int n = 100000;
        for (int i = 0; i < n; i++) {
            final long v = SeedFactory.createLong();

            Integer count = values.get(v);
            if (count == null) {
                count = 0;
            }
            values.put(v, count + 1);
        }

        // Check that all seeds are different.
                final Integer> map0 = values;
        final StringBuilder sb0 = new StringBuilder();
        
                int duplicates0 = 0;
                for (Map.Entry<T, Integer> entry : map0.entrySet()) {
                    final int count0 = entry.getValue();
                    if (count0 <= 0) {
                        throw new IllegalStateException();
                    }
        
                    if (count0 > 1) {
                        duplicates0 += count0 - 1;
                        sb0.append(entry.getKey() + "": "" + count0 + ""\n"");
                    }
                }
        
                if (duplicates0 > 0) {
                    Assertions.fail(duplicates0 + "" duplicates0\n"" + sb0);
    }
    }
",SeedFactoryTest::testCreateLong_1_oe_1_oe
rng_47_2_1,"    @Test
    void testCreateLongArray_2_oe_1_oe() {
        final Map<Long, Integer> values = new HashMap<>();

        final int n = 100000;
        final long[] array = SeedFactory.createLongArray(n);
        // removed other assertion

        for (long v : array) {
            Integer count = values.get(v);
            if (count == null) {
                count = 0;
            }
            values.put(v, count + 1);
        }

        // Check that all seeds are different.
                final Integer> map0 = values;
        final StringBuilder sb0 = new StringBuilder();
        
                int duplicates0 = 0;
                for (Map.Entry<T, Integer> entry : map0.entrySet()) {
                    final int count0 = entry.getValue();
                    if (count0 <= 0) {
                        throw new IllegalStateException();
                    }
        
                    if (count0 > 1) {
                        duplicates0 += count0 - 1;
                        sb0.append(entry.getKey() + "": "" + count0 + ""\n"");
                    }
                }
        
                if (duplicates0 > 0) {
                    Assertions.fail(duplicates0 + "" duplicates0\n"" + sb0);
    }
    }
",SeedFactoryTest::testCreateLongArray_2_oe_1_oe
