id,test_prefix,test_name
numb_left_52_1,"@ParameterizedTest
    @CsvSource({
        ""0, 0"",
        ""1.960, 0.95"",
        ""2.576, 0.99"",
        ""2.807, 0.995"",
        ""3.291, 0.999"",
    })
    void testErf_1_oe(double x, double expected) {
        // Input must be divided by root(2)
        x /= Math.sqrt(2);

        double actual = Erf.value(x);
        Assertions.assertEquals(expected, actual, 1e-5);
        }
",ErfTest::testErf_1_oe
numb_left_52_2,"@ParameterizedTest
    @CsvSource({
        ""0, 0"",
        ""1.960, 0.95"",
        ""2.576, 0.99"",
        ""2.807, 0.995"",
        ""3.291, 0.999"",
    })
    void testErf_2_oe(double x, double expected) {
        // Input must be divided by root(2)
        x /= Math.sqrt(2);

        double actual = Erf.value(x);
        // removed other assertion
        Assertions.assertEquals(1 - expected, Erfc.value(x), 1e-5);
        }
",ErfTest::testErf_2_oe
numb_left_52_3,"@ParameterizedTest
    @CsvSource({
        ""0, 0"",
        ""1.960, 0.95"",
        ""2.576, 0.99"",
        ""2.807, 0.995"",
        ""3.291, 0.999"",
    })
    void testErf_3_oe(double x, double expected) {
        // Input must be divided by root(2)
        x /= Math.sqrt(2);

        double actual = Erf.value(x);
        // removed other assertion
        // removed other assertion

        actual = Erf.value(-x);
        expected = -expected;
        Assertions.assertEquals(expected, actual, 1e-5);
        }
",ErfTest::testErf_3_oe
numb_left_52_4,"@ParameterizedTest
    @CsvSource({
        ""0, 0"",
        ""1.960, 0.95"",
        ""2.576, 0.99"",
        ""2.807, 0.995"",
        ""3.291, 0.999"",
    })
    void testErf_4_oe(double x, double expected) {
        // Input must be divided by root(2)
        x /= Math.sqrt(2);

        double actual = Erf.value(x);
        // removed other assertion
        // removed other assertion

        actual = Erf.value(-x);
        expected = -expected;
        // removed other assertion
        Assertions.assertEquals(1 - expected, Erfc.value(-x), 1e-5);
        }
",ErfTest::testErf_4_oe
numb_left_150_11,"@Test
    void testAbs_11_oe() {
        // removed other assertion
        // removed other assertion
        final UniformRandomProvider rng = RandomSource.create(RandomSource.XO_RO_SHI_RO_128_PP);
        for (int i = 0; i < 10; i++) {
            final double x = next(rng);
            final double y = next(rng);
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
        }

        // Test verses Math.hypot due to the use of a custom implementation.
        // First test edge cases. Use negatives to test the sign is correctly removed.
        final double[] parts = {-0.0, -Double.MIN_VALUE, -Double.MIN_NORMAL, -Double.MAX_VALUE,
            Double.NEGATIVE_INFINITY, Double.NaN};
        for (final double x : parts) {
            for (final double y : parts) {
                // removed other assertion
            }
        }

        // The reference fdlibm hypot implementation orders using the upper 32-bits of the double.
        // Tests using random numbers that differ in only the lower 32-bits
        // show a frequency of <1e-9 that the computation is not commutative: f(x, y) != f(y, x)
        // Test known cases where ordering is required on the lower 32-bits to ensure |z| == |iz|.
        // These cases would fail a direct fdlibm conversion of this:
        // https://www.netlib.org/fdlibm/e_hypot.c
        for (final double[] pair : new double[][] {
                {1.3122561682406755, 1.3122565442732959},
                {1.40905821964671, 1.4090583434236112},
                {1.912164268932753, 1.9121638616231227}}) {
            final Complex z = complex(pair[0], pair[1]);
            // removed other assertion
        }

        // Test with a range of numbers.
        // Sub-normals require special handling so we use different variations of these to
        // ensure they are handled correctly.
        // Note:
        // 1 ULP differences with Math.hypot can be observed due to the different implementations.
        // For normal numbers observable differences require billions of numbers to show a
        // few hundred cases of lower ULPs and a magnitude smaller count of higher ULPs.
        // For sub-normal numbers a few thousand examples can demonstrate
        // a larger count of 1 ULP improvements than 1 ULP errors verses Math.hypot.
        // A formal statistical test to demonstrate differences are significant is not implemented.
        // This test simply asserts the answer is either the same as Math.hypot or else is within
        // 1 ULP of a high precision computation.
        final int samples = 100;
        assertAbs(rng, r -> createSubNormalNumber(r, 0), r -> createSubNormalNumber(r, 0), samples);
    }
",CStandardTest::testAbs_11_oe
numb_left_150_12,"@Test
    void testAbs_12_oe() {
        // removed other assertion
        // removed other assertion
        final UniformRandomProvider rng = RandomSource.create(RandomSource.XO_RO_SHI_RO_128_PP);
        for (int i = 0; i < 10; i++) {
            final double x = next(rng);
            final double y = next(rng);
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
        }

        // Test verses Math.hypot due to the use of a custom implementation.
        // First test edge cases. Use negatives to test the sign is correctly removed.
        final double[] parts = {-0.0, -Double.MIN_VALUE, -Double.MIN_NORMAL, -Double.MAX_VALUE,
            Double.NEGATIVE_INFINITY, Double.NaN};
        for (final double x : parts) {
            for (final double y : parts) {
                // removed other assertion
            }
        }

        // The reference fdlibm hypot implementation orders using the upper 32-bits of the double.
        // Tests using random numbers that differ in only the lower 32-bits
        // show a frequency of <1e-9 that the computation is not commutative: f(x, y) != f(y, x)
        // Test known cases where ordering is required on the lower 32-bits to ensure |z| == |iz|.
        // These cases would fail a direct fdlibm conversion of this:
        // https://www.netlib.org/fdlibm/e_hypot.c
        for (final double[] pair : new double[][] {
                {1.3122561682406755, 1.3122565442732959},
                {1.40905821964671, 1.4090583434236112},
                {1.912164268932753, 1.9121638616231227}}) {
            final Complex z = complex(pair[0], pair[1]);
            // removed other assertion
        }

        // Test with a range of numbers.
        // Sub-normals require special handling so we use different variations of these to
        // ensure they are handled correctly.
        // Note:
        // 1 ULP differences with Math.hypot can be observed due to the different implementations.
        // For normal numbers observable differences require billions of numbers to show a
        // few hundred cases of lower ULPs and a magnitude smaller count of higher ULPs.
        // For sub-normal numbers a few thousand examples can demonstrate
        // a larger count of 1 ULP improvements than 1 ULP errors verses Math.hypot.
        // A formal statistical test to demonstrate differences are significant is not implemented.
        // This test simply asserts the answer is either the same as Math.hypot or else is within
        // 1 ULP of a high precision computation.
        final int samples = 100;
        // removed other assertion
        assertAbs(rng, r -> createSubNormalNumber(r, 0), r -> createSubNormalNumber(r, 1), samples);
    }
",CStandardTest::testAbs_12_oe
numb_left_150_13,"@Test
    void testAbs_13_oe() {
        // removed other assertion
        // removed other assertion
        final UniformRandomProvider rng = RandomSource.create(RandomSource.XO_RO_SHI_RO_128_PP);
        for (int i = 0; i < 10; i++) {
            final double x = next(rng);
            final double y = next(rng);
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
        }

        // Test verses Math.hypot due to the use of a custom implementation.
        // First test edge cases. Use negatives to test the sign is correctly removed.
        final double[] parts = {-0.0, -Double.MIN_VALUE, -Double.MIN_NORMAL, -Double.MAX_VALUE,
            Double.NEGATIVE_INFINITY, Double.NaN};
        for (final double x : parts) {
            for (final double y : parts) {
                // removed other assertion
            }
        }

        // The reference fdlibm hypot implementation orders using the upper 32-bits of the double.
        // Tests using random numbers that differ in only the lower 32-bits
        // show a frequency of <1e-9 that the computation is not commutative: f(x, y) != f(y, x)
        // Test known cases where ordering is required on the lower 32-bits to ensure |z| == |iz|.
        // These cases would fail a direct fdlibm conversion of this:
        // https://www.netlib.org/fdlibm/e_hypot.c
        for (final double[] pair : new double[][] {
                {1.3122561682406755, 1.3122565442732959},
                {1.40905821964671, 1.4090583434236112},
                {1.912164268932753, 1.9121638616231227}}) {
            final Complex z = complex(pair[0], pair[1]);
            // removed other assertion
        }

        // Test with a range of numbers.
        // Sub-normals require special handling so we use different variations of these to
        // ensure they are handled correctly.
        // Note:
        // 1 ULP differences with Math.hypot can be observed due to the different implementations.
        // For normal numbers observable differences require billions of numbers to show a
        // few hundred cases of lower ULPs and a magnitude smaller count of higher ULPs.
        // For sub-normal numbers a few thousand examples can demonstrate
        // a larger count of 1 ULP improvements than 1 ULP errors verses Math.hypot.
        // A formal statistical test to demonstrate differences are significant is not implemented.
        // This test simply asserts the answer is either the same as Math.hypot or else is within
        // 1 ULP of a high precision computation.
        final int samples = 100;
        // removed other assertion
        // removed other assertion
        assertAbs(rng, r -> createSubNormalNumber(r, 0), r -> createSubNormalNumber(r, 2), samples);
    }
",CStandardTest::testAbs_13_oe
numb_left_150_14,"@Test
    void testAbs_14_oe() {
        // removed other assertion
        // removed other assertion
        final UniformRandomProvider rng = RandomSource.create(RandomSource.XO_RO_SHI_RO_128_PP);
        for (int i = 0; i < 10; i++) {
            final double x = next(rng);
            final double y = next(rng);
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
        }

        // Test verses Math.hypot due to the use of a custom implementation.
        // First test edge cases. Use negatives to test the sign is correctly removed.
        final double[] parts = {-0.0, -Double.MIN_VALUE, -Double.MIN_NORMAL, -Double.MAX_VALUE,
            Double.NEGATIVE_INFINITY, Double.NaN};
        for (final double x : parts) {
            for (final double y : parts) {
                // removed other assertion
            }
        }

        // The reference fdlibm hypot implementation orders using the upper 32-bits of the double.
        // Tests using random numbers that differ in only the lower 32-bits
        // show a frequency of <1e-9 that the computation is not commutative: f(x, y) != f(y, x)
        // Test known cases where ordering is required on the lower 32-bits to ensure |z| == |iz|.
        // These cases would fail a direct fdlibm conversion of this:
        // https://www.netlib.org/fdlibm/e_hypot.c
        for (final double[] pair : new double[][] {
                {1.3122561682406755, 1.3122565442732959},
                {1.40905821964671, 1.4090583434236112},
                {1.912164268932753, 1.9121638616231227}}) {
            final Complex z = complex(pair[0], pair[1]);
            // removed other assertion
        }

        // Test with a range of numbers.
        // Sub-normals require special handling so we use different variations of these to
        // ensure they are handled correctly.
        // Note:
        // 1 ULP differences with Math.hypot can be observed due to the different implementations.
        // For normal numbers observable differences require billions of numbers to show a
        // few hundred cases of lower ULPs and a magnitude smaller count of higher ULPs.
        // For sub-normal numbers a few thousand examples can demonstrate
        // a larger count of 1 ULP improvements than 1 ULP errors verses Math.hypot.
        // A formal statistical test to demonstrate differences are significant is not implemented.
        // This test simply asserts the answer is either the same as Math.hypot or else is within
        // 1 ULP of a high precision computation.
        final int samples = 100;
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // Numbers on the same scale (fixed exponent)
        assertAbs(rng, r -> createFixedExponentNumber(r, 0), r -> createFixedExponentNumber(r, 0), samples);
    }
",CStandardTest::testAbs_14_oe
numb_left_150_15,"@Test
    void testAbs_15_oe() {
        // removed other assertion
        // removed other assertion
        final UniformRandomProvider rng = RandomSource.create(RandomSource.XO_RO_SHI_RO_128_PP);
        for (int i = 0; i < 10; i++) {
            final double x = next(rng);
            final double y = next(rng);
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
        }

        // Test verses Math.hypot due to the use of a custom implementation.
        // First test edge cases. Use negatives to test the sign is correctly removed.
        final double[] parts = {-0.0, -Double.MIN_VALUE, -Double.MIN_NORMAL, -Double.MAX_VALUE,
            Double.NEGATIVE_INFINITY, Double.NaN};
        for (final double x : parts) {
            for (final double y : parts) {
                // removed other assertion
            }
        }

        // The reference fdlibm hypot implementation orders using the upper 32-bits of the double.
        // Tests using random numbers that differ in only the lower 32-bits
        // show a frequency of <1e-9 that the computation is not commutative: f(x, y) != f(y, x)
        // Test known cases where ordering is required on the lower 32-bits to ensure |z| == |iz|.
        // These cases would fail a direct fdlibm conversion of this:
        // https://www.netlib.org/fdlibm/e_hypot.c
        for (final double[] pair : new double[][] {
                {1.3122561682406755, 1.3122565442732959},
                {1.40905821964671, 1.4090583434236112},
                {1.912164268932753, 1.9121638616231227}}) {
            final Complex z = complex(pair[0], pair[1]);
            // removed other assertion
        }

        // Test with a range of numbers.
        // Sub-normals require special handling so we use different variations of these to
        // ensure they are handled correctly.
        // Note:
        // 1 ULP differences with Math.hypot can be observed due to the different implementations.
        // For normal numbers observable differences require billions of numbers to show a
        // few hundred cases of lower ULPs and a magnitude smaller count of higher ULPs.
        // For sub-normal numbers a few thousand examples can demonstrate
        // a larger count of 1 ULP improvements than 1 ULP errors verses Math.hypot.
        // A formal statistical test to demonstrate differences are significant is not implemented.
        // This test simply asserts the answer is either the same as Math.hypot or else is within
        // 1 ULP of a high precision computation.
        final int samples = 100;
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // Numbers on the same scale (fixed exponent)
        // removed other assertion
        // Numbers on different scales
        assertAbs(rng, r -> createFixedExponentNumber(r, 0), r -> createFixedExponentNumber(r, 1), samples);
    }
",CStandardTest::testAbs_15_oe
numb_left_150_16,"@Test
    void testAbs_16_oe() {
        // removed other assertion
        // removed other assertion
        final UniformRandomProvider rng = RandomSource.create(RandomSource.XO_RO_SHI_RO_128_PP);
        for (int i = 0; i < 10; i++) {
            final double x = next(rng);
            final double y = next(rng);
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
            // removed other assertion
        }

        // Test verses Math.hypot due to the use of a custom implementation.
        // First test edge cases. Use negatives to test the sign is correctly removed.
        final double[] parts = {-0.0, -Double.MIN_VALUE, -Double.MIN_NORMAL, -Double.MAX_VALUE,
            Double.NEGATIVE_INFINITY, Double.NaN};
        for (final double x : parts) {
            for (final double y : parts) {
                // removed other assertion
            }
        }

        // The reference fdlibm hypot implementation orders using the upper 32-bits of the double.
        // Tests using random numbers that differ in only the lower 32-bits
        // show a frequency of <1e-9 that the computation is not commutative: f(x, y) != f(y, x)
        // Test known cases where ordering is required on the lower 32-bits to ensure |z| == |iz|.
        // These cases would fail a direct fdlibm conversion of this:
        // https://www.netlib.org/fdlibm/e_hypot.c
        for (final double[] pair : new double[][] {
                {1.3122561682406755, 1.3122565442732959},
                {1.40905821964671, 1.4090583434236112},
                {1.912164268932753, 1.9121638616231227}}) {
            final Complex z = complex(pair[0], pair[1]);
            // removed other assertion
        }

        // Test with a range of numbers.
        // Sub-normals require special handling so we use different variations of these to
        // ensure they are handled correctly.
        // Note:
        // 1 ULP differences with Math.hypot can be observed due to the different implementations.
        // For normal numbers observable differences require billions of numbers to show a
        // few hundred cases of lower ULPs and a magnitude smaller count of higher ULPs.
        // For sub-normal numbers a few thousand examples can demonstrate
        // a larger count of 1 ULP improvements than 1 ULP errors verses Math.hypot.
        // A formal statistical test to demonstrate differences are significant is not implemented.
        // This test simply asserts the answer is either the same as Math.hypot or else is within
        // 1 ULP of a high precision computation.
        final int samples = 100;
        // removed other assertion
        // removed other assertion
        // removed other assertion
        // Numbers on the same scale (fixed exponent)
        // removed other assertion
        // Numbers on different scales
        // removed other assertion
        assertAbs(rng, r -> createFixedExponentNumber(r, 0), r -> createFixedExponentNumber(r, 2 + r.nextInt(10)), samples);
    }
",CStandardTest::testAbs_16_oe
