id,target,output,match_tc_mut_doc
bean_270_2,"assertEquals(""Not Empty"", a, decoratedMap.size());",exception,0
bean_554_5,assertNotNull(obj);,exception,0
bean_343_18,"assertEquals(""intArray[2]"", 300, intArray[2]);",exception,0
bean_100_48,"assertEquals(((Float)value).floatValue(),(float)123.456,(float)0.005);",exception,0
bean_268_3,"assertEquals(""after putAll"",  newValue,  dynaBean.get(stringProp.getName()));","assertEquals(""java.lang.String"", stringProp.getName());",0
bean_418_7,"assertEquals(""Check First Indexed Value is correct"", testString1, dynaMap.get(testProperty, index));",exception,0
bean_100_11,assertTrue(value instanceof Boolean);,"assertEquals(""true"", value.toString());",0
bean_426_3,"assertEquals(""doubleProperty"",333.0,bean.getDoubleProperty(),0.005);",exception,0
bean_392_1,"assertEquals(""Mapped property set correctly"",""some.dotty.value"",bean.getMapproperty(""this.that.the-other""));",exception,0
bean_547_1,"assertTrue(predicate.evaluate(new TestBean(""foo"")));",exception,0
bean_213_5,"assertEquals(0, ((Integer) bean.get(""intProperty"")).intValue());",exception,0
bean_599_1,"assertEquals(""Wrong value"", NEW_VALUE, bean.getFoo(0));","assertEquals(""[]"", bean.toString());",0
bean_414_1,"assertFalse(""Check Mapped Property doesn't exist"", dynaMap.isDynaProperty(testProperty));",exception,0
bean_418_3,"assertTrue(""Check Property is indexed"", dynaMap.getDynaProperty(testProperty).isIndexed());",exception,0
bean_336_3,"assertEquals(""Check Indexed Property exists"", objectArray.getClass(), dynaClass.getDynaProperty(testProperty).getType());",exception,0
bean_762_1,"assertEquals(""Wrong result"", value.intValue(), result);","assertEquals(20131028, result);",0
bean_90_8,"assertTrue(""containsValue(double)"", a);",exception,0
bean_343_9,"assertNotNull(""dupProperty present"", dupProperty);",exception,0
bean_78_2,"assertTrue(""unknown property returns null"",(dynaProp == null));",exception,0
bean_773_4,"assertNotSame(""ClassLoaders should be different.."", getClass().getClassLoader(), beanClass.getClassLoader());",exception,0
bean_72_10,"assertEquals(""Set value (foo:3)"", ""1111"", bean.getFoo());","assertEquals(""new foo"", bean.getFoo());",0
bean_554_8,"assertEquals(""TEST"",((TestBean)obj).getStringProperty());",exception,0
bean_106_6,"assertEquals(""Value of 'floatProperty'"",new Float((float)123.0),map.get(""floatProperty""));",exception,0
bean_666_3,"assertEquals(""Integer Test"",   new Character('3'), converter.convert(Character.class, new Integer(321)));","assertEquals(false, converter.supports(String.class));",0
bean_707_5,"assertEquals(""result[2]"", ""second"", result[2]);",assertNull(result);,0
bean_426_6,"assertEquals(""longProperty"",444,bean.getLongProperty());",exception,0
bean_265_1,"assertTrue(""Empty"", a);","assertEquals(true, a);",0
bean_411_1,"assertTrue(""Check MutableDynaClass is restricted"", dynaMap.isRestricted());","assertEquals(true, dynaMap.isRestricted());",0
bean_558_2,assertTrue(obj instanceof TestBean);,exception,0
bean_189_6,"assertEquals(""intProperty"",111,((Integer)bean.get(""intProperty"")).int",exception,0
bean_96_17,"assertEquals(((Float)value).floatValue(),(float)0.0,(float)0.005);",exception,0
bean_554_2,assertTrue(obj instanceof TestBean);,exception,0
bean_688_4,"assertEquals(""Entry three is wrong"", ""3"", results[2]);","assertEquals(""[1, 2, 3, 4, 5]"", Arrays.toString(results));",0
bean_777_1,"assertNotNull(""ClassLoader is null"", loader);",exception,0
bean_207_6,"assertEquals(123, ((Double) bean.get(""doubleProperty"")).doubleValue(), 0.005);",exception,0
bean_297_2,"assertEquals(""java.util.Date --> String[]"", testStringDate, bean.getStringArray()[0]);",exception,0
bean_99_7,"assertEquals(results2[1], 200);","assertEquals(""[10, 20, 30]"", Arrays.toString(results1));",0
bean_723_2,"assertEquals(""Boolean.TRUE to Number "",  1, ((Number)converter.convert(getExpectedType(), Boolean.TRUE)).intValue());","assertEquals(false, converter.supports(String.class));",0
bean_100_34,"assertEquals(((Byte) value).byteValue(), (byte) 123);",exception,0
bean_100_31,assertTrue(value instanceof Boolean);,exception,0
bean_373_1,"assertEquals(""length"", 3, strArray.length);",exception,0
bean_88_3,"assertEquals(""Byte.TYPE"",      new Byte((byte)1),   beanMap.getTypeTransformer(Byte.TYPE).transform(""1""));",assertNotNull(beanMap);,0
