id,test_prefix,test_name,mut_class,method_under_test,mut_docstring,mut_method_definition
jexl_6_3,"    @Test
    public void test250_3_oe() throws Exception {
        final MapContext ctx = new MapContext();
        final HashMap<Object, Object> x = new HashMap<Object, Object>();
        x.put(2, ""123456789"");
        ctx.set(""x"", x);
        final JexlEngine engine = new JexlBuilder().strict(true).silent(false).create();
        String stmt = ""x.2.class.name"";
        JexlScript script = engine.createScript(stmt);
        Object result = script.execute(ctx);

        try {
            stmt = ""x.3?.class.name"";
            script = engine.createScript(stmt);
            result = script.execute(ctx);
        } catch (final JexlException xany) {
            Assert.fail(""Should have evaluated to null"");
    }
    }",PropertyAccessTest::test250_3_oe,org.apache.commons.jexl3.JexlScript,execute(JexlContext context),"/**
     * Executes the script with the variables contained in the
     * supplied {@link JexlContext}.
     *
     * @param context A JexlContext containing variables.
     * @return The result of this script, usually the result of
     *         the last statement.
     */",Object execute(JexlContext context);
jexl_6_6,"    @Test
    public void test250_6_oe() throws Exception {
        final MapContext ctx = new MapContext();
        final HashMap<Object, Object> x = new HashMap<Object, Object>();
        x.put(2, ""123456789"");
        ctx.set(""x"", x);
        final JexlEngine engine = new JexlBuilder().strict(true).silent(false).create();
        String stmt = ""x.2.class.name"";
        JexlScript script = engine.createScript(stmt);
        Object result = script.execute(ctx);

        try {
            stmt = ""x.3?.class.name"";
            script = engine.createScript(stmt);
            result = script.execute(ctx);
        } catch (final JexlException xany) {
        }
        try {
            stmt = ""x?.3.class.name"";
            script = engine.createScript(stmt);
            result = script.execute(ctx);
        } catch (final JexlException xany) {
            Assert.assertTrue(xany.detailedMessage().contains(""3""));
    }
    }",PropertyAccessTest::test250_6_oe,org.apache.commons.jexl3.JexlArithmetic,"contains(final Object container, final Object value)","/**
     * Test if left contains right (right matches/in left).
     * <p>Beware that this method arguments are the opposite of the operator arguments.
     * 'x in y' means 'y contains x'.</p>
     *
     * @param container the container
     * @param value the value
     * @return test result or null if there is no arithmetic solution
     */","public Boolean contains(final Object container, final Object value) {
        if (value == null && container == null) {
            //if both are null L == R
            return true;
        }
        if (value == null || container == null) {
            // we know both aren't null, therefore L != R
            return false;
        }
        // use arithmetic / pattern matching ?
        if (container instanceof java.util.regex.Pattern) {
            return ((java.util.regex.Pattern) container).matcher(value.toString()).matches();
        }
        if (container instanceof CharSequence) {
            return value.toString().matches(container.toString());
        }
        // try contains on map key
        if (container instanceof Map<?, ?>) {
            if (value instanceof Map<?, ?>) {
                return ((Map<?, ?>) container).keySet().containsAll(((Map<?, ?>) value).keySet());
            }
            return ((Map<?, ?>) container).containsKey(value);
        }
        // try contains on collection
        if (container instanceof Collection<?>) {
            if (value instanceof Collection<?>) {
                return ((Collection<?>) container).containsAll((Collection<?>) value);
            }
            // left in right ? <=> right.contains(left) ?
            return ((Collection<?>) container).contains(value);
        }
        return null;
    }"
jexl_6_8,"    @Test
    public void test250_8_oe() throws Exception {
        final MapContext ctx = new MapContext();
        final HashMap<Object, Object> x = new HashMap<Object, Object>();
        x.put(2, ""123456789"");
        ctx.set(""x"", x);
        final JexlEngine engine = new JexlBuilder().strict(true).silent(false).create();
        String stmt = ""x.2.class.name"";
        JexlScript script = engine.createScript(stmt);
        Object result = script.execute(ctx);

        try {
            stmt = ""x.3?.class.name"";
            script = engine.createScript(stmt);
            result = script.execute(ctx);
        } catch (final JexlException xany) {
        }
        try {
            stmt = ""x?.3.class.name"";
            script = engine.createScript(stmt);
            result = script.execute(ctx);
        } catch (final JexlException xany) {
        }
        try {
            stmt = ""x?.3?.class.name"";
            script = engine.createScript(stmt);
            result = script.execute(ctx);
        } catch (final JexlException xany) {
            Assert.fail(""Should have evaluated to null"");
    }
    }",PropertyAccessTest::test250_8_oe,org.apache.commons.jexl3.JexlScript,execute(JexlContext context),"/**
     * Executes the script with the variables contained in the
     * supplied {@link JexlContext}.
     *
     * @param context A JexlContext containing variables.
     * @return The result of this script, usually the result of
     *         the last statement.
     */",Object execute(JexlContext context);
jexl_6_10,"    @Test
    public void test250_10_oe() throws Exception {
        final MapContext ctx = new MapContext();
        final HashMap<Object, Object> x = new HashMap<Object, Object>();
        x.put(2, ""123456789"");
        ctx.set(""x"", x);
        final JexlEngine engine = new JexlBuilder().strict(true).silent(false).create();
        String stmt = ""x.2.class.name"";
        JexlScript script = engine.createScript(stmt);
        Object result = script.execute(ctx);

        try {
            stmt = ""x.3?.class.name"";
            script = engine.createScript(stmt);
            result = script.execute(ctx);
        } catch (final JexlException xany) {
        }
        try {
            stmt = ""x?.3.class.name"";
            script = engine.createScript(stmt);
            result = script.execute(ctx);
        } catch (final JexlException xany) {
        }
        try {
            stmt = ""x?.3?.class.name"";
            script = engine.createScript(stmt);
            result = script.execute(ctx);
        } catch (final JexlException xany) {
        }
        try {
            stmt = ""y?.3.class.name"";
            script = engine.createScript(stmt);
            result = script.execute(ctx);
        } catch (final JexlException xany) {
            Assert.fail(""Should have evaluated to null"");
    }
    }",PropertyAccessTest::test250_10_oe,org.apache.commons.jexl3.JexlScript,execute(JexlContext context),"/**
     * Executes the script with the variables contained in the
     * supplied {@link JexlContext}.
     *
     * @param context A JexlContext containing variables.
     * @return The result of this script, usually the result of
     *         the last statement.
     */",Object execute(JexlContext context);
jexl_6_12,"    @Test
    public void test250_12_oe() throws Exception {
        final MapContext ctx = new MapContext();
        final HashMap<Object, Object> x = new HashMap<Object, Object>();
        x.put(2, ""123456789"");
        ctx.set(""x"", x);
        final JexlEngine engine = new JexlBuilder().strict(true).silent(false).create();
        String stmt = ""x.2.class.name"";
        JexlScript script = engine.createScript(stmt);
        Object result = script.execute(ctx);

        try {
            stmt = ""x.3?.class.name"";
            script = engine.createScript(stmt);
            result = script.execute(ctx);
        } catch (final JexlException xany) {
        }
        try {
            stmt = ""x?.3.class.name"";
            script = engine.createScript(stmt);
            result = script.execute(ctx);
        } catch (final JexlException xany) {
        }
        try {
            stmt = ""x?.3?.class.name"";
            script = engine.createScript(stmt);
            result = script.execute(ctx);
        } catch (final JexlException xany) {
        }
        try {
            stmt = ""y?.3.class.name"";
            script = engine.createScript(stmt);
            result = script.execute(ctx);
        } catch (final JexlException xany) {
        }
        try {
            stmt = ""x?.y?.z"";
            script = engine.createScript(stmt);
            result = script.execute(ctx);
        } catch (final JexlException xany) {
            Assert.fail(""Should have evaluated to null"");
    }
    }",PropertyAccessTest::test250_12_oe,org.apache.commons.jexl3.JexlScript,execute(JexlContext context),"/**
     * Executes the script with the variables contained in the
     * supplied {@link JexlContext}.
     *
     * @param context A JexlContext containing variables.
     * @return The result of this script, usually the result of
     *         the last statement.
     */",Object execute(JexlContext context);
jexl_6_14,"    @Test
    public void test250_14_oe() throws Exception {
        final MapContext ctx = new MapContext();
        final HashMap<Object, Object> x = new HashMap<Object, Object>();
        x.put(2, ""123456789"");
        ctx.set(""x"", x);
        final JexlEngine engine = new JexlBuilder().strict(true).silent(false).create();
        String stmt = ""x.2.class.name"";
        JexlScript script = engine.createScript(stmt);
        Object result = script.execute(ctx);

        try {
            stmt = ""x.3?.class.name"";
            script = engine.createScript(stmt);
            result = script.execute(ctx);
        } catch (final JexlException xany) {
        }
        try {
            stmt = ""x?.3.class.name"";
            script = engine.createScript(stmt);
            result = script.execute(ctx);
        } catch (final JexlException xany) {
        }
        try {
            stmt = ""x?.3?.class.name"";
            script = engine.createScript(stmt);
            result = script.execute(ctx);
        } catch (final JexlException xany) {
        }
        try {
            stmt = ""y?.3.class.name"";
            script = engine.createScript(stmt);
            result = script.execute(ctx);
        } catch (final JexlException xany) {
        }
        try {
            stmt = ""x?.y?.z"";
            script = engine.createScript(stmt);
            result = script.execute(ctx);
        } catch (final JexlException xany) {
        }
        try {
            stmt = ""x? (x.y? (x.y.z ?: null) :null) : null"";
            script = engine.createScript(stmt);
            result = script.execute(ctx);
        } catch (final JexlException xany) {
            Assert.fail(""Should have evaluated to null"");
    }
    }",PropertyAccessTest::test250_14_oe,org.apache.commons.jexl3.JexlScript,execute(JexlContext context),"/**
     * Executes the script with the variables contained in the
     * supplied {@link JexlContext}.
     *
     * @param context A JexlContext containing variables.
     * @return The result of this script, usually the result of
     *         the last statement.
     */",Object execute(JexlContext context);
jexl_7_2,"    @Test
    public void test275a_2_oe() throws Exception {
        final JexlEngine jexl = new JexlBuilder().strict(true).safe(false).create();
        final JexlContext ctxt = new MapContext();
        JexlScript script;
        Object result = null;
        final Prompt p0 = new Prompt();
        p0.set(""stuff"", 42);
        ctxt.set(""$in"", p0);

        script = jexl.createScript(""$in[p].intValue()"", ""p"");
        try {
            result = script.execute(ctxt, ""fail"");
        } catch (final JexlException xany) {
            Assert.assertEquals(JexlException.Property.class, xany.getClass());
    }
    }",PropertyAccessTest::test275a_2_oe,org.apache.commons.jexl3.JexlScript,execute(JexlContext context),"/**
     * Executes the script with the variables contained in the
     * supplied {@link JexlContext}.
     *
     * @param context A JexlContext containing variables.
     * @return The result of this script, usually the result of
     *         the last statement.
     */",Object execute(JexlContext context);
jexl_7_3,"    @Test
    public void test275a_3_oe() throws Exception {
        final JexlEngine jexl = new JexlBuilder().strict(true).safe(false).create();
        final JexlContext ctxt = new MapContext();
        JexlScript script;
        Object result = null;
        final Prompt p0 = new Prompt();
        p0.set(""stuff"", 42);
        ctxt.set(""$in"", p0);

        script = jexl.createScript(""$in[p].intValue()"", ""p"");
        try {
            result = script.execute(ctxt, ""fail"");
        } catch (final JexlException xany) {
        }
        Assert.assertNull(result);
    }",PropertyAccessTest::test275a_3_oe,org.apache.commons.jexl3.JexlScript,execute(JexlContext context),"/**
     * Executes the script with the variables contained in the
     * supplied {@link JexlContext}.
     *
     * @param context A JexlContext containing variables.
     * @return The result of this script, usually the result of
     *         the last statement.
     */",Object execute(JexlContext context);
jexl_7_4,"    @Test
    public void test275a_4_oe() throws Exception {
        final JexlEngine jexl = new JexlBuilder().strict(true).safe(false).create();
        final JexlContext ctxt = new MapContext();
        JexlScript script;
        Object result = null;
        final Prompt p0 = new Prompt();
        p0.set(""stuff"", 42);
        ctxt.set(""$in"", p0);

        script = jexl.createScript(""$in[p].intValue()"", ""p"");
        try {
            result = script.execute(ctxt, ""fail"");
        } catch (final JexlException xany) {
        }
        result = script.execute(ctxt, ""stuff"");
        Assert.assertEquals(42, result);
    }",PropertyAccessTest::test275a_4_oe,org.apache.commons.jexl3.JexlScript,execute(JexlContext context),"/**
     * Executes the script with the variables contained in the
     * supplied {@link JexlContext}.
     *
     * @param context A JexlContext containing variables.
     * @return The result of this script, usually the result of
     *         the last statement.
     */",Object execute(JexlContext context);
jexl_7_5,"    @Test
    public void test275a_5_oe() throws Exception {
        final JexlEngine jexl = new JexlBuilder().strict(true).safe(false).create();
        final JexlContext ctxt = new MapContext();
        JexlScript script;
        Object result = null;
        final Prompt p0 = new Prompt();
        p0.set(""stuff"", 42);
        ctxt.set(""$in"", p0);

        script = jexl.createScript(""$in[p].intValue()"", ""p"");
        try {
            result = script.execute(ctxt, ""fail"");
        } catch (final JexlException xany) {
        }
        result = script.execute(ctxt, ""stuff"");

        script = jexl.createScript(""$in[p]?.intValue()"", ""p"");
        result = script.execute(ctxt, ""fail"");
        Assert.assertNull(result);
    }",PropertyAccessTest::test275a_5_oe,org.apache.commons.jexl3.JexlScript,execute(JexlContext context),"/**
     * Executes the script with the variables contained in the
     * supplied {@link JexlContext}.
     *
     * @param context A JexlContext containing variables.
     * @return The result of this script, usually the result of
     *         the last statement.
     */",Object execute(JexlContext context);
