id,test_prefix,test_name,focal_method,docstring
bean_1_1,"    public void testAddProperty1_1_oe() {
        dynaClass.add(testProperty);
        final DynaProperty dynaProperty = dynaClass.getDynaProperty(testProperty);
        assertEquals(""testProperty"", dynaProperty.getName());
    }",LazyDynaClassTestCase::testAddProperty1_1_oe,"public String getName() {
        return (this.name);
    }","/**
     * Get the name of this property.
     * @return the name of the property
     */"
bean_2_1,"    public void testAddProperty2_1_oe() {
        dynaClass.add(testProperty, String.class);
        final DynaProperty dynaProperty = dynaClass.getDynaProperty(testProperty);
        assertEquals(testProperty, dynaProperty.getName());
    }",LazyDynaClassTestCase::testAddProperty2_1_oe,"public String getName() {
        return (this.name);
    }","/**
     * Get the name of this property.
     * @return the name of the property
     */"
bean_7_1,"    public void testAddPropertyRestricted1_1_oe() {
        dynaClass.setRestricted(true);
        assertEquals(true, dynaClass.isRestricted());
    }",LazyDynaClassTestCase::testAddPropertyRestricted1_1_oe,"public boolean isRestricted() {
        return restricted;
    }","/**
     * <p>Is this DynaClass currently restricted.</p>
     * <p>If restricted, no changes to the existing registration of
     *  property names, data types, readability, or writeability are allowed.</p>
     *
     * @return <code>true</code> if this Mutable {@link DynaClass} is restricted,
     * otherwise <code>false</code>
     */"
bean_8_1,"    public void testAddPropertyRestricted2_1_oe() {
        dynaClass.setRestricted(true);
        assertEquals(true, dynaClass.isRestricted());
    }",LazyDynaClassTestCase::testAddPropertyRestricted2_1_oe,"public boolean isRestricted() {
        return restricted;
    }","/**
     * <p>Is this DynaClass currently restricted.</p>
     * <p>If restricted, no changes to the existing registration of
     *  property names, data types, readability, or writeability are allowed.</p>
     *
     * @return <code>true</code> if this Mutable {@link DynaClass} is restricted,
     * otherwise <code>false</code>
     */"
bean_9_1,"    public void testAddPropertyRestricted3_1_oe() {
        dynaClass.setRestricted(true);
        assertEquals(true, dynaClass.isRestricted());
    }",LazyDynaClassTestCase::testAddPropertyRestricted3_1_oe,"public boolean isRestricted() {
        return restricted;
    }","/**
     * <p>Is this DynaClass currently restricted.</p>
     * <p>If restricted, no changes to the existing registration of
     *  property names, data types, readability, or writeability are allowed.</p>
     *
     * @return <code>true</code> if this Mutable {@link DynaClass} is restricted,
     * otherwise <code>false</code>
     */"
bean_10_2,"    public void testGetPropertyDoesntExist1_2_oe() {
        dynaClass.setReturnNull(false);
        final DynaProperty dynaProperty = dynaClass.getDynaProperty(testProperty);
        assertEquals(""testProperty"", dynaProperty.getName());
    }",LazyDynaClassTestCase::testGetPropertyDoesntExist1_2_oe,"public String getName() {
        return (this.name);
    }","/**
     * Get the name of this property.
     * @return the name of the property
     */"
bean_10_4,"    public void testGetPropertyDoesntExist1_4_oe() {
        dynaClass.setReturnNull(false);
        final DynaProperty dynaProperty = dynaClass.getDynaProperty(testProperty);
        assertEquals(false, dynaClass.isDynaProperty(testProperty));
    }",LazyDynaClassTestCase::testGetPropertyDoesntExist1_4_oe,"protected boolean isDynaProperty(final String name) {

        if (name == null) {
            throw new IllegalArgumentException(""No property name specified"");
        }

        // Handle LazyDynaClasses
        if (dynaClass instanceof LazyDynaClass) {
            return ((LazyDynaClass)dynaClass).isDynaProperty(name);
        }

        // Handle other MutableDynaClass
        return dynaClass.getDynaProperty(name) == null ? false : true;

    }","/**
     * Indicates if there is a property with the specified name.
     * @param name The name of the property to check
     * @return <code>true</code> if there is a property of the
     * specified name, otherwise <code>false</code>
     */"
bean_12_1,"    public void testRemoveProperty_1_oe() {
        dynaClass.setReturnNull(true);
        dynaClass.add(testProperty);
        assertEquals(true, dynaClass.isDynaProperty(testProperty.getName()));
    }",LazyDynaClassTestCase::testRemoveProperty_1_oe,"protected boolean isDynaProperty(final String name) {

        if (name == null) {
            throw new IllegalArgumentException(""No property name specified"");
        }

        // Handle LazyDynaClasses
        if (dynaClass instanceof LazyDynaClass) {
            return ((LazyDynaClass)dynaClass).isDynaProperty(name);
        }

        // Handle other MutableDynaClass
        return dynaClass.getDynaProperty(name) == null ? false : true;

    }","/**
     * Indicates if there is a property with the specified name.
     * @param name The name of the property to check
     * @return <code>true</code> if there is a property of the
     * specified name, otherwise <code>false</code>
     */"
bean_12_3,"    public void testRemoveProperty_3_oe() {
        dynaClass.setReturnNull(true);
        dynaClass.add(testProperty);
        dynaClass.remove(testProperty);
        assertEquals(false, dynaClass.isDynaProperty(testProperty.getName()));
    }",LazyDynaClassTestCase::testRemoveProperty_3_oe,"protected boolean isDynaProperty(final String name) {

        if (name == null) {
            throw new IllegalArgumentException(""No property name specified"");
        }

        // Handle LazyDynaClasses
        if (dynaClass instanceof LazyDynaClass) {
            return ((LazyDynaClass)dynaClass).isDynaProperty(name);
        }

        // Handle other MutableDynaClass
        return dynaClass.getDynaProperty(name) == null ? false : true;

    }","/**
     * Indicates if there is a property with the specified name.
     * @param name The name of the property to check
     * @return <code>true</code> if there is a property of the
     * specified name, otherwise <code>false</code>
     */"
bean_14_2,"    public void testRemovePropertyRestricted_2_oe() {
        dynaClass.add(testProperty);
        dynaClass.setRestricted(true);
        assertEquals(true, dynaClass.isRestricted());
    }",LazyDynaClassTestCase::testRemovePropertyRestricted_2_oe,"public boolean isRestricted() {
        return restricted;
    }","/**
     * <p>Is this DynaClass currently restricted.</p>
     * <p>If restricted, no changes to the existing registration of
     *  property names, data types, readability, or writeability are allowed.</p>
     *
     * @return <code>true</code> if this Mutable {@link DynaClass} is restricted,
     * otherwise <code>false</code>
     */"
