id,test_prefix,test_name,focal_methods,docstrings
JSON-java_6,"@Test
    public void malFormedNameValueException_oe() {
        String cookieStr = ""thisCookieHasNoEqualsChar"";
        try {
            Cookie.toJSONObject(cookieStr);
            fail(""Expecting an exception"");
        } catch (JSONException e) {
            assertEquals(""Expecting an exception message"",""Expected '=' and instead saw '' at 25 [character 26 line 1]"",e.getMessage());
        }
    }",CookieTest::malFormedNameValueException_oe,,
JSON-java_8,"@Test
    public void emptyStringCookieException_oe() {
        String cookieStr = """";
        try {
            Cookie.toJSONObject(cookieStr);
            fail(""Expecting an exception"");
        } catch (JSONException e) {
            assertEquals(""Expecting an exception message"",""Cookies must have a 'name'"",e.getMessage());
        }
    }",CookieTest::emptyStringCookieException_oe,,
JSON-java_9,"@Test
    public void emptyNameCookieException_oe() {
        String cookieStr = "" = value "";
        try {
            Cookie.toJSONObject(cookieStr);
            fail(""Expecting an exception"");
        } catch (JSONException e) {
            assertEquals(""Expecting an exception message"",""Cookies must have a 'name'"",e.getMessage());
        }
    }",CookieTest::emptyNameCookieException_oe,,
JSON-java_13,"@Test
    public void emptyXMLException_oe() {
        String xmlStr = """";
        try {
            JSONML.toJSONArray(xmlStr);
            fail(""Expecting an exception"");
        } catch (JSONException e) {
            assertEquals(""Expecting an exception message"",""Bad XML at 0 [character 1 line 1]"",e.getMessage());
        }
    }",JSONMLTest::emptyXMLException_oe,,
JSON-java_15,"@Test
    public void nonXMLException_oe() {
        /**
         * Attempts to transform a nonXML string to JSON
         */
        String xmlStr = ""{ \""this is\"": \""not xml\""}"";
        try {
            JSONML.toJSONArray(xmlStr);
            fail(""Expecting an exception"");
        } catch (JSONException e) {
            assertEquals(""Expecting an exception message"",""Bad XML at 23 [character 24 line 1]"",e.getMessage());
        }
    }",JSONMLTest::nonXMLException_oe,,
JSON-java_18,"@Test
    public void invalidSlashInTagException_oe() {
        /**
         * xmlStr contains XML text which is transformed into a JSONArray.
         * In this case, the XML is invalid because the 'name' element
         * contains an invalid frontslash.
         */
        String xmlStr = 
            ""<?xml version=\""1.0\"" encoding=\""UTF-8\""?>\n""+
            ""<addresses xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\""""+
            ""   xsi:noNamespaceSchemaLocation='test.xsd'>\n""+
            ""    <address>\n""+
            ""       <name/x>\n""+
            ""       <street>abc street</street>\n""+
            ""    </address>\n""+
            ""</addresses>"";
        try {
            JSONML.toJSONArray(xmlStr);
            fail(""Expecting an exception"");
        } catch (JSONException e) {
            assertEquals(""Expecting an exception message"",""Misshaped tag at 176 [character 14 line 4]"",e.getMessage());
        }
    }",JSONMLTest::invalidSlashInTagException_oe,,
JSON-java_19,"@Test
    public void invalidBangInTagException_oe() {
        String xmlStr = 
            ""<?xml version=\""1.0\"" encoding=\""UTF-8\""?>\n""+
            ""<addresses xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\""""+
            ""   xsi:noNamespaceSchemaLocation='test.xsd'>\n""+
            ""    <address>\n""+
            ""       <name/>\n""+
            ""       <!>\n""+
            ""    </address>\n""+
            ""</addresses>"";
        try {
            JSONML.toJSONArray(xmlStr);
            fail(""Expecting an exception"");
        } catch (JSONException e) {
            assertEquals(""Expecting an exception message"",""Misshaped meta tag at 215 [character 12 line 7]"",e.getMessage());
        }
    }",JSONMLTest::invalidBangInTagException_oe,,
JSON-java_20,"@Test
    public void invalidBangNoCloseInTagException_oe() {
        /**
         * xmlStr contains XML text which is transformed into a JSONArray.
         * In this case, the XML is invalid because an element
         * starts with '!' and has no closing tag
         */
        String xmlStr = 
            ""<?xml version=\""1.0\"" encoding=\""UTF-8\""?>\n""+
            ""<addresses xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\""""+
            ""   xsi:noNamespaceSchemaLocation='test.xsd'>\n""+
            ""    <address>\n""+
            ""       <name/>\n""+
            ""       <!\n""+
            ""    </address>\n""+
            ""</addresses>"";
        try {
            JSONML.toJSONArray(xmlStr);
            fail(""Expecting an exception"");
        } catch (JSONException e) {
            assertEquals(""Expecting an exception message"",""Misshaped meta tag at 214 [character 12 line 7]"",e.getMessage());
        }
    }",JSONMLTest::invalidBangNoCloseInTagException_oe,,
JSON-java_21,"@Test
    public void noCloseStartTagException_oe() {
        /**
         * xmlStr contains XML text which is transformed into a JSONArray.
         * In this case, the XML is invalid because an element
         * has no closing '>'.
         */
        String xmlStr = 
            ""<?xml version=\""1.0\"" encoding=\""UTF-8\""?>\n""+
            ""<addresses xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\""""+
            ""   xsi:noNamespaceSchemaLocation='test.xsd'>\n""+
            ""    <address>\n""+
            ""       <name/>\n""+
            ""       <abc\n""+
            ""    </address>\n""+
            ""</addresses>"";
        try {
            JSONML.toJSONArray(xmlStr);
            fail(""Expecting an exception"");
        } catch (JSONException e) {
            assertEquals(""Expecting an exception message"",""Misplaced '<' at 194 [character 5 line 6]"",e.getMessage());
        }
    }",JSONMLTest::noCloseStartTagException_oe,,
JSON-java_23,"@Test
    public void noCloseEndBraceException_oe() {
        /**
         * xmlStr contains XML text which is transformed into a JSONArray.
         * In this case, the XML is invalid because an element
         * has '>' after the closing tag '</' and name.
         */
        String xmlStr = 
            ""<?xml version=\""1.0\"" encoding=\""UTF-8\""?>\n""+
            ""<addresses xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\""""+
            ""   xsi:noNamespaceSchemaLocation=\""test.xsd\"">\n""+
            ""    <address>\n""+
            ""       <name/>\n""+
            ""       <abc/>\n""+
            ""    </address\n""+
            ""</addresses>"";
        try {
            JSONML.toJSONArray(xmlStr);
            fail(""Expecting an exception"");
        } catch (JSONException e) {
            assertEquals(""Expecting an exception message"",""Misplaced '<' at 206 [character 1 line 7]"",e.getMessage());
        }
    }",JSONMLTest::noCloseEndBraceException_oe,,
