id,test_prefix,test_name,focal_method,docstring
joda_1_1,"    public void testTest_1_oe() {
        assertEquals(""2002-06-09T00:00:00.000Z"",new Instant(TEST_TIME_NOW).toString());
    }",TestMutableDateTime_Basics::testTest_1_oe,,
joda_1_2,"    public void testTest_2_oe() {
        assertEquals(""2002-04-05T12:24:00.000Z"",new Instant(TEST_TIME1).toString());
    }",TestMutableDateTime_Basics::testTest_2_oe,,
joda_1_3,"    public void testTest_3_oe() {
        assertEquals(""2003-05-06T14:28:00.000Z"",new Instant(TEST_TIME2).toString());
    }",TestMutableDateTime_Basics::testTest_3_oe,,
joda_179_1,"    public void testTest_1_oe() {
        assertEquals(""2002-06-09T00:00:00.000Z"",new Instant(TEST_TIME_NOW).toString());
    }",TestChronology::testTest_1_oe,,
joda_179_2,"    public void testTest_2_oe() {
        assertEquals(""2002-04-05T12:24:00.000Z"",new Instant(TEST_TIME1).toString());
    }",TestChronology::testTest_2_oe,,
joda_179_3,"    public void testTest_3_oe() {
        assertEquals(""2003-05-06T14:28:00.000Z"",new Instant(TEST_TIME2).toString());
    }",TestChronology::testTest_3_oe,,
joda_186_1,"    public void testTest_1_oe() {
        assertEquals(""2002-06-09T00:00:00.000Z"",new Instant(TEST_TIME_NOW).toString());
    }",TestInterval_Basics::testTest_1_oe,,
joda_186_2,"    public void testTest_2_oe() {
        assertEquals(""2002-04-05T12:24:00.000Z"",new Instant(TEST_TIME1).toString());
    }",TestInterval_Basics::testTest_2_oe,,
joda_186_3,"    public void testTest_3_oe() {
        assertEquals(""2003-05-06T14:28:00.000Z"",new Instant(TEST_TIME2).toString());
    }",TestInterval_Basics::testTest_3_oe,,
joda_197_2,"    public void testContains_long_2_oe() {
        assertEquals(true,interval37.contains(4));
    }",TestInterval_Basics::testContains_long_2_oe,"public boolean contains(long millisInstant) {
        long thisStart = getStartMillis();
        long thisEnd = getEndMillis();
        return (millisInstant >= thisStart && millisInstant < thisEnd);
    }","/**
     * Does this time interval contain the specified millisecond instant.
     * <p>
     * Non-zero duration intervals are inclusive of the start instant and
     * exclusive of the end. A zero duration interval cannot contain anything.
     *
     * @param millisInstant  the instant to compare to,
     *  millisecond instant from 1970-01-01T00:00:00Z
     * @return true if this time interval contains the millisecond
     */"
joda_197_3,"    public void testContains_long_3_oe() {
        assertEquals(true,interval37.contains(5));
    }",TestInterval_Basics::testContains_long_3_oe,"public boolean contains(long millisInstant) {
        long thisStart = getStartMillis();
        long thisEnd = getEndMillis();
        return (millisInstant >= thisStart && millisInstant < thisEnd);
    }","/**
     * Does this time interval contain the specified millisecond instant.
     * <p>
     * Non-zero duration intervals are inclusive of the start instant and
     * exclusive of the end. A zero duration interval cannot contain anything.
     *
     * @param millisInstant  the instant to compare to,
     *  millisecond instant from 1970-01-01T00:00:00Z
     * @return true if this time interval contains the millisecond
     */"
joda_197_4,"    public void testContains_long_4_oe() {
        assertEquals(true,interval37.contains(6));
    }",TestInterval_Basics::testContains_long_4_oe,"public boolean contains(long millisInstant) {
        long thisStart = getStartMillis();
        long thisEnd = getEndMillis();
        return (millisInstant >= thisStart && millisInstant < thisEnd);
    }","/**
     * Does this time interval contain the specified millisecond instant.
     * <p>
     * Non-zero duration intervals are inclusive of the start instant and
     * exclusive of the end. A zero duration interval cannot contain anything.
     *
     * @param millisInstant  the instant to compare to,
     *  millisecond instant from 1970-01-01T00:00:00Z
     * @return true if this time interval contains the millisecond
     */"
