id,test_prefix,test_name,focal_methods,docstrings
commons-configuration2_1,"@Test
    public void testAppend_oe() {
        final AbstractConfiguration config = setUpDestConfig();
        final Configuration srcConfig = setUpSourceConfig();
        config.append(srcConfig);
        for (int i = 0; i < PROP_COUNT; i++) {
            final String key = KEY_PREFIX + i;
            if (srcConfig.containsKey(key)) {
                final List<Object> values = config.getList(key);
                assertEquals(""Value not added: "" + key, 2, values.size());
                assertEquals(""Wrong value 1 for "" + key, ""value"" + i, values.get(0));
                assertEquals(""Wrong value 2 for "" + key, ""src"" + i, values.get(1));
            } else {
                assertEquals(""Value modified: "" + key, ""value"" + i, config.getProperty(key));
            }
        }
    }",TestAbstractConfigurationBasicFeatures::testAppend_oe,"@Override
        public int size() {
            // Ouch. Now _that_ one is expensive...
            int count = 0;
            for (final Iterator<String> iterator = configuration.getKeys(); iterator.hasNext();) {
                iterator.next();
                count++;
            }
            return count;
        }

@Override
    public Object get(final Object key) {
        return configuration.getProperty(String.valueOf(key));
    }

@Override
    public final Object getProperty(final String key) {
        beginRead(false);
        try {
            return getPropertyInternal(key);
        } finally {
            endRead();
        }
    }","/**
         * @see java.util.Collection#size()
         */

/**
     * Returns the value of the specified key. The key is converted to a string and then passed to the underlying
     * configuration.
     *
     * @param key the key
     * @return the value of this key
     * @see java.util.Map#get(java.lang.Object)
     */

/**
     * {@inheritDoc} This implementation ensures proper synchronization. Subclasses have to define the abstract
     * {@code getPropertyInternal()} method which is called from here.
     */"
commons-configuration2_2,"@Test
    public void testAppendDelimiterHandling_oe() {
        final BaseConfiguration srcConfig = new BaseConfiguration();
        final BaseConfiguration dstConfig = new BaseConfiguration();
        dstConfig.setListDelimiterHandler(new DefaultListDelimiterHandler(','));
        srcConfig.setProperty(KEY_PREFIX, ""C:\\Temp\\,D:\\Data"");
        dstConfig.append(srcConfig);
        assertEquals(""Wrong property value"", srcConfig.getString(KEY_PREFIX), dstConfig.getString(KEY_PREFIX));
    }",TestAbstractConfigurationBasicFeatures::testAppendDelimiterHandling_oe,"@Override
    public String getString(final String key, final String defaultValue) {
        return config.getString(makePath(key), defaultValue);
    }",
commons-configuration2_3,"@Test
    public void testAppendNull_oe() {
        final AbstractConfiguration config = setUpDestConfig();
        config.append(null);
        ConfigurationAssert.assertConfigurationEquals(setUpDestConfig(), config);
    }",TestAbstractConfigurationBasicFeatures::testAppendNull_oe,,
commons-configuration2_4,"@Test
    public void testClearIteratorNoRemove_oe() {
        final AbstractConfiguration config = new TestConfigurationImpl(new BaseConfiguration()) {
            @Override
            protected Iterator<String> getKeysInternal() {
                final Collection<String> keyCol = new ArrayList<>();
                ConfigurationAssert.appendKeys(getUnderlyingConfiguration(), keyCol);
                final String[] keys = keyCol.toArray(new String[keyCol.size()]);
                return Arrays.asList(keys).iterator();
            }
        };
        for (int i = 0; i < 20; i++) {
            config.addProperty(""key"" + i, ""value"" + i);
        }
        config.clear();
        assertTrue(""Configuration not empty"", config.isEmpty());
    }",TestAbstractConfigurationBasicFeatures::testClearIteratorNoRemove_oe,"@Override
    public final boolean isEmpty() {
        beginRead(false);
        try {
            return isEmptyInternal();
        } finally {
            endRead();
        }
    }","/**
     * {@inheritDoc} This implementation handles synchronization and delegates to {@code isEmptyInternal()}.
     */"
commons-configuration2_5,"@Test
    public void testCopy_oe() {
        final AbstractConfiguration config = setUpDestConfig();
        final Configuration srcConfig = setUpSourceConfig();
        config.copy(srcConfig);
        for (int i = 0; i < PROP_COUNT; i++) {
            final String key = KEY_PREFIX + i;
            if (srcConfig.containsKey(key)) {
                assertEquals(""Value not replaced: "" + key, srcConfig.getProperty(key), config.getProperty(key));
            } else {
                assertEquals(""Value modified: "" + key, ""value"" + i, config.getProperty(key));
            }
        }
    }",TestAbstractConfigurationBasicFeatures::testCopy_oe,"@Override
    public Object getProperty(final String name) {
        return null;
    }

@Override
    public final Object getProperty(final String key) {
        beginRead(false);
        try {
            return getPropertyInternal(key);
        } finally {
            endRead();
        }
    }","/**
     * Dummy implementation of the interface method. No properties are supported, so this method always returns <b>null</b>.
     *
     * @param name the name of the requested property
     * @return the property value
     */

/**
     * {@inheritDoc} This implementation ensures proper synchronization. Subclasses have to define the abstract
     * {@code getPropertyInternal()} method which is called from here.
     */"
commons-configuration2_6,"@Test
    public void testCopyDelimiterHandling_oe() {
        final BaseConfiguration srcConfig = new BaseConfiguration();
        final BaseConfiguration dstConfig = new BaseConfiguration();
        dstConfig.setListDelimiterHandler(new DefaultListDelimiterHandler(','));
        srcConfig.setProperty(KEY_PREFIX, ""C:\\Temp\\,D:\\Data"");
        dstConfig.copy(srcConfig);
        assertEquals(""Wrong property value"", srcConfig.getString(KEY_PREFIX), dstConfig.getString(KEY_PREFIX));
    }",TestAbstractConfigurationBasicFeatures::testCopyDelimiterHandling_oe,"@Override
    public String getString(final String key, final String defaultValue) {
        return config.getString(makePath(key), defaultValue);
    }",
commons-configuration2_7,"@Test
    public void testCopyNull_oe() {
        final AbstractConfiguration config = setUpDestConfig();
        config.copy(null);
        ConfigurationAssert.assertConfigurationEquals(setUpDestConfig(), config);
    }",TestAbstractConfigurationBasicFeatures::testCopyNull_oe,,
commons-configuration2_8,"@Test
    public void testDefaultConversionHandler_oe() {
        final PropertiesConfiguration config = new PropertiesConfiguration();
        assertEquals(""Wrong default conversion handler"", DefaultConversionHandler.class, config.getConversionHandler().getClass());
    }",TestAbstractConfigurationBasicFeatures::testDefaultConversionHandler_oe,"@Override
    public ConversionHandler getConversionHandler() {
        return dataConversionHandler;
    }","/**
     * {@inheritDoc} This implementation returns the special conversion handler used by this configuration instance.
     */"
commons-configuration2_9,"@Test
    public void testDefaultConversionHandlerSharedInstance_oe() {
        final PropertiesConfiguration config = new PropertiesConfiguration();
        final PropertiesConfiguration config2 = new PropertiesConfiguration();
        assertSame(""Multiple conversion handlers"", config.getConversionHandler(), config2.getConversionHandler());
    }",TestAbstractConfigurationBasicFeatures::testDefaultConversionHandlerSharedInstance_oe,"@Override
    public ConversionHandler getConversionHandler() {
        return dataConversionHandler;
    }","/**
     * {@inheritDoc} This implementation returns the special conversion handler used by this configuration instance.
     */"
commons-configuration2_10,"@Test
    public void testDefaultListDelimiterHandler_oe() {
        final BaseConfiguration config = new BaseConfiguration();
        assertTrue(""Wrong list delimiter handler"", config.getListDelimiterHandler() instanceof DisabledListDelimiterHandler);
    }",TestAbstractConfigurationBasicFeatures::testDefaultListDelimiterHandler_oe,"public ListDelimiterHandler getListDelimiterHandler() {
        return listDelimiterHandler;
    }","/**
     * Returns the {@code ListDelimiterHandler} used by this instance.
     *
     * @return the {@code ListDelimiterHandler}
     * @since 2.0
     */"
