id,test_prefix,test_name
rng_134_2,"    @Test
    void testNextBoolean_2_oe() {
        for (int i = 0; i < Integer.SIZE; i++) {
            // Set only a single bit in the source
            final int value = 1 << i;
            final IntProvider provider = new FlipIntProvider(value);
            // Test the result for a single pass over the long
            for (int j = 0; j < Integer.SIZE; j++) {
                final boolean expected = i == j;
                final int index = j;
                // removed other assertion
            }
            // The second pass should use the opposite bits
            for (int j = 0; j < Integer.SIZE; j++) {
                final boolean expected = i != j;
                final int index = j;
                Assertions.assertEquals(expected, provider.nextBoolean(), () -> ""Pass 2, bit "" + index);
    }
    }
    }
",IntProviderTest::testNextBoolean_2_oe
rng_202_2,"    @Test
    void testNextInt_2_oe() {
        final int max = 5;
        for (int i = 0; i < max; i++) {
            for (int j = 0; j < max; j++) {
                // Pack into upper then lower bits
                final long value = (((long) i) << 32) | (j & 0xffffffffL);
                final LongProvider provider = new FixedLongProvider(value);
                // removed other assertion
                Assertions.assertEquals(j, provider.nextInt(), ""2nd call not the lower 32-bits"");
    }
    }
    }
",LongProviderTest::testNextInt_2_oe
rng_202_4,"    @Test
    void testNextInt_4_oe() {
        final int max = 5;
        for (int i = 0; i < max; i++) {
            for (int j = 0; j < max; j++) {
                // Pack into upper then lower bits
                final long value = (((long) i) << 32) | (j & 0xffffffffL);
                final LongProvider provider = new FixedLongProvider(value);
                // removed other assertion
                // removed other assertion
                // removed other assertion
                Assertions.assertEquals(j, provider.nextInt(), ""4th call not the lower 32-bits"");
    }
    }
    }
",LongProviderTest::testNextInt_4_oe
rng_203_2,"    @Test
    void testNextBoolean_2_oe() {
        for (int i = 0; i < Long.SIZE; i++) {
            // Set only a single bit in the source
            final long value = 1L << i;
            final LongProvider provider = new FlipLongProvider(value);
            // Test the result for a single pass over the long
            for (int j = 0; j < Long.SIZE; j++) {
                final boolean expected = i == j;
                final int index = j;
                // removed other assertion
            }
            // The second pass should use the opposite bits
            for (int j = 0; j < Long.SIZE; j++) {
                final boolean expected = i != j;
                final int index = j;
                Assertions.assertEquals(expected, provider.nextBoolean(), () -> ""Pass 2, bit "" + index);
    }
    }
    }
",LongProviderTest::testNextBoolean_2_oe
rng_261_1,"    @Test
    void testLongToByteArraySignificanceOrder_1_oe() {
        // Start at the least significant bit
        long value = 1;
        for (int i = 0; i < LONG_SIZE; i++) {
            final byte[] b = NumberFactory.makeByteArray(value);
            for (int j = 0; j < LONG_SIZE; j++) {
                // Only one byte should be non zero
                Assertions.assertEquals(b[j] != 0, j == i);
    }
    }
    }
",NumberFactoryTest::testLongToByteArraySignificanceOrder_1_oe
rng_265_1,"    @Test
    void testIntToByteArraySignificanceOrder_1_oe() {
        // Start at the least significant bit
        int value = 1;
        for (int i = 0; i < INT_SIZE; i++) {
            final byte[] b = NumberFactory.makeByteArray(value);
            for (int j = 0; j < INT_SIZE; j++) {
                // Only one byte should be non zero
                Assertions.assertEquals(b[j] != 0, j == i);
    }
    }
    }
",NumberFactoryTest::testIntToByteArraySignificanceOrder_1_oe
rng_337_2,"    @Test
    void testSharedStateObjectSamplerSamplesWithCustomSharedStateDiscreteSamplerFactory_2_oe() {
        final Builder<SharedStateObjectSampler<Integer>> builder = CompositeSamplers
                .newSharedStateObjectSamplerBuilder();
        final AtomicInteger factoryCount = new AtomicInteger();
        builder.setFactory(new DiscreteProbabilitySamplerFactory() {
            @Override
            public DiscreteSampler create(UniformRandomProvider rng, double[] probabilities) {
                factoryCount.incrementAndGet();
                // Use an expanded table with a non-default alpha
                return AliasMethodDiscreteSampler.of(rng, probabilities, 2);
            }
        });
        final UniformRandomProvider rng = RandomSource.XO_SHI_RO_128_PP.create(0xa6b7c9);
        final int n = 7;
        final int min = -610;
        final int max = 745;
        addObjectSamplers(builder, n, min, max, rng);

        // Exercise the shared state interface
        final UniformRandomProvider rng1 = RandomSource.XO_SHI_RO_256_PLUS.create(0x1f2e3d);
        // removed other assertion

        Assertions.assertEquals(1, factoryCount.get(), ""Factory should not be used to create the shared state sampler"");
    }
",CompositeSamplersTest::testSharedStateObjectSamplerSamplesWithCustomSharedStateDiscreteSamplerFactory_2_oe
rng_338_2,"    @Test
    void testSharedStateObjectSamplerSamplesWithCustomDiscreteSamplerFactory_2_oe() {
        final Builder<SharedStateObjectSampler<Integer>> builder = CompositeSamplers
                .newSharedStateObjectSamplerBuilder();
        final AtomicInteger factoryCount = new AtomicInteger();
        builder.setFactory(new DiscreteProbabilitySamplerFactory() {
            @Override
            public DiscreteSampler create(UniformRandomProvider rng, double[] probabilities) {
                factoryCount.incrementAndGet();
                // Wrap so it is not a SharedStateSamplerInstance.
                final DiscreteSampler sampler = GuideTableDiscreteSampler.of(rng, probabilities, 2);
                // Destroy the probabilities to check that custom factories are not trusted.
                Arrays.fill(probabilities, Double.NaN);
                return new DiscreteSampler() {
                    @Override
                    public int sample() {
                        return sampler.sample();
                    }
                };
            }
        });
        final UniformRandomProvider rng = RandomSource.XO_SHI_RO_128_PP.create(0x263478628L);
        final int n = 14;
        final int min = 56;
        final int max = 2033;
        addObjectSamplers(builder, n, min, max, rng);

        // Exercise the shared state interface.
        // This tests the custom factory is used twice.
        final UniformRandomProvider rng1 = RandomSource.XO_SHI_RO_256_PLUS.create(0x8c7b6a);
        // removed other assertion

        Assertions.assertEquals(2, factoryCount.get(), ""Factory should be used to create the shared state sampler"");
    }
",CompositeSamplersTest::testSharedStateObjectSamplerSamplesWithCustomDiscreteSamplerFactory_2_oe
rng_472_1,"    @Test
    void testConstructorThrowsWithNegativeScale_1_oe() {
        final RestorableUniformRandomProvider rng =
            RandomSource.SPLIT_MIX_64.create(0L);
        final double scale = -1e-6;
        final double shape = 1;
        try {
    new BoxMullerLogNormalSampler(rng, scale, shape);
    fail(""IllegalArgumentException"");
} catch (IllegalArgumentException e) {
}
    }
",BoxMullerLogNormalSamplerTest::testConstructorThrowsWithNegativeScale_1_oe
rng_473_1,"    @Test
    void testConstructorThrowsWithZeroShape_1_oe() {
        final RestorableUniformRandomProvider rng =
            RandomSource.SPLIT_MIX_64.create(0L);
        final double scale = 1;
        final double shape = 0;
        try {
    new BoxMullerLogNormalSampler(rng, scale, shape);
    fail(""IllegalArgumentException"");
} catch (IllegalArgumentException e) {
}
    }
",BoxMullerLogNormalSamplerTest::testConstructorThrowsWithZeroShape_1_oe
