id,test_prefix,test_name,focal_method,docstring
coll_1_1,"    @Test
    public void booleanComparator_1_oe() {
        Comparator<Boolean> comp = ComparatorUtils.booleanComparator(true);
        assertEquals(0, comp.compare(true, true));
    }",ComparatorUtilsTest::booleanComparator_1_oe,"@Override
    @SuppressWarnings(""unchecked"")
    public int compare(final K o1, final K o2) {
        if (o1 == null) {
            return o2 == null ? 0 : -1;
        } else if (o2 == null) {
            return 1;
        }

        return ((Comparable<K>) o1).compareTo(o2);
    }",
coll_1_2,"    @Test
    public void booleanComparator_2_oe() {
        Comparator<Boolean> comp = ComparatorUtils.booleanComparator(true);
        assertEquals(0, comp.compare(true, true));
    }",ComparatorUtilsTest::booleanComparator_2_oe,"@Override
    @SuppressWarnings(""unchecked"")
    public int compare(final K o1, final K o2) {
        if (o1 == null) {
            return o2 == null ? 0 : -1;
        } else if (o2 == null) {
            return 1;
        }

        return ((Comparable<K>) o1).compareTo(o2);
    }",
coll_1_3,"    @Test
    public void booleanComparator_3_oe() {
        Comparator<Boolean> comp = ComparatorUtils.booleanComparator(true);
        assertEquals(0, comp.compare(true, true));
    }",ComparatorUtilsTest::booleanComparator_3_oe,"@Override
    @SuppressWarnings(""unchecked"")
    public int compare(final K o1, final K o2) {
        if (o1 == null) {
            return o2 == null ? 0 : -1;
        } else if (o2 == null) {
            return 1;
        }

        return ((Comparable<K>) o1).compareTo(o2);
    }",
coll_1_4,"    @Test
    public void booleanComparator_4_oe() {
        Comparator<Boolean> comp = ComparatorUtils.booleanComparator(true);

        comp = ComparatorUtils.booleanComparator(false);
        assertEquals(0, comp.compare(true, true));
    }",ComparatorUtilsTest::booleanComparator_4_oe,"@Override
    @SuppressWarnings(""unchecked"")
    public int compare(final K o1, final K o2) {
        if (o1 == null) {
            return o2 == null ? 0 : -1;
        } else if (o2 == null) {
            return 1;
        }

        return ((Comparable<K>) o1).compareTo(o2);
    }",
coll_1_5,"    @Test
    public void booleanComparator_5_oe() {
        Comparator<Boolean> comp = ComparatorUtils.booleanComparator(true);

        comp = ComparatorUtils.booleanComparator(false);
        assertEquals(0, comp.compare(true, true));
    }",ComparatorUtilsTest::booleanComparator_5_oe,"@Override
    @SuppressWarnings(""unchecked"")
    public int compare(final K o1, final K o2) {
        if (o1 == null) {
            return o2 == null ? 0 : -1;
        } else if (o2 == null) {
            return 1;
        }

        return ((Comparable<K>) o1).compareTo(o2);
    }",
coll_1_6,"    @Test
    public void booleanComparator_6_oe() {
        Comparator<Boolean> comp = ComparatorUtils.booleanComparator(true);

        comp = ComparatorUtils.booleanComparator(false);
        assertEquals(0, comp.compare(true, true));
    }",ComparatorUtilsTest::booleanComparator_6_oe,"@Override
    @SuppressWarnings(""unchecked"")
    public int compare(final K o1, final K o2) {
        if (o1 == null) {
            return o2 == null ? 0 : -1;
        } else if (o2 == null) {
            return 1;
        }

        return ((Comparable<K>) o1).compareTo(o2);
    }",
coll_2_1,"    @Test
    public void chainedComparator_1_oe() {
        final Comparator<Integer> comp = ComparatorUtils.chainedComparator(ComparatorUtils.<Integer>naturalComparator(),
                                                                     ComparatorUtils.<Integer>naturalComparator());
        assertEquals(0, comp.compare(1, 1));
    }",ComparatorUtilsTest::chainedComparator_1_oe,"@Override
    @SuppressWarnings(""unchecked"")
    public int compare(final K o1, final K o2) {
        if (o1 == null) {
            return o2 == null ? 0 : -1;
        } else if (o2 == null) {
            return 1;
        }

        return ((Comparable<K>) o1).compareTo(o2);
    }",
coll_2_2,"    @Test
    public void chainedComparator_2_oe() {
        final Comparator<Integer> comp = ComparatorUtils.chainedComparator(ComparatorUtils.<Integer>naturalComparator(),
                                                                     ComparatorUtils.<Integer>naturalComparator());
        assertEquals(0, comp.compare(1, 1));
    }",ComparatorUtilsTest::chainedComparator_2_oe,"@Override
    @SuppressWarnings(""unchecked"")
    public int compare(final K o1, final K o2) {
        if (o1 == null) {
            return o2 == null ? 0 : -1;
        } else if (o2 == null) {
            return 1;
        }

        return ((Comparable<K>) o1).compareTo(o2);
    }",
coll_2_3,"    @Test
    public void chainedComparator_3_oe() {
        final Comparator<Integer> comp = ComparatorUtils.chainedComparator(ComparatorUtils.<Integer>naturalComparator(),
                                                                     ComparatorUtils.<Integer>naturalComparator());
        assertEquals(0, comp.compare(1, 1));
    }",ComparatorUtilsTest::chainedComparator_3_oe,"@Override
    @SuppressWarnings(""unchecked"")
    public int compare(final K o1, final K o2) {
        if (o1 == null) {
            return o2 == null ? 0 : -1;
        } else if (o2 == null) {
            return 1;
        }

        return ((Comparable<K>) o1).compareTo(o2);
    }",
coll_5_1,"    @Test
    public void nullLowComparator_1_oe() {
        final Comparator<Integer> comp = ComparatorUtils.nullLowComparator(null);
        assertEquals(0, comp.compare(1, 1));
    }",ComparatorUtilsTest::nullLowComparator_1_oe,"@Override
    @SuppressWarnings(""unchecked"")
    public int compare(final K o1, final K o2) {
        if (o1 == null) {
            return o2 == null ? 0 : -1;
        } else if (o2 == null) {
            return 1;
        }

        return ((Comparable<K>) o1).compareTo(o2);
    }",
