id,test_prefix,test_name,focal_methods,docstrings
commons-collections4_1,"@Test
    public void booleanComparator_oe() {
        Comparator<Boolean> comp = ComparatorUtils.booleanComparator(true);
        assertTrue(comp.compare(Boolean.TRUE, Boolean.FALSE) < 0);
        assertTrue(comp.compare(Boolean.TRUE, Boolean.TRUE) == 0);
        assertTrue(comp.compare(Boolean.FALSE, Boolean.TRUE) > 0);

        comp = ComparatorUtils.booleanComparator(false);
        assertTrue(comp.compare(Boolean.TRUE, Boolean.FALSE) > 0);
        assertTrue(comp.compare(Boolean.TRUE, Boolean.TRUE) == 0);
        assertTrue(comp.compare(Boolean.FALSE, Boolean.TRUE) < 0);
    }",ComparatorUtilsTest::booleanComparator_oe,"@Override
    @SuppressWarnings(""unchecked"")
    public int compare(final K o1, final K o2) {
        if (o1 == null) {
            return o2 == null ? 0 : -1;
        } else if (o2 == null) {
            return 1;
        }

        return ((Comparable<K>) o1).compareTo(o2);
    }",
commons-collections4_2,"@Test
    public void chainedComparator_oe() {
        final Comparator<Integer> comp = ComparatorUtils.chainedComparator(ComparatorUtils.<Integer>naturalComparator(),
                                                                     ComparatorUtils.<Integer>naturalComparator());
        assertTrue(comp.compare(1, 2) < 0);
        assertTrue(comp.compare(1, 1) == 0);
        assertTrue(comp.compare(2, 1) > 0);
    }",ComparatorUtilsTest::chainedComparator_oe,"@Override
    @SuppressWarnings(""unchecked"")
    public int compare(final K o1, final K o2) {
        if (o1 == null) {
            return o2 == null ? 0 : -1;
        } else if (o2 == null) {
            return 1;
        }

        return ((Comparable<K>) o1).compareTo(o2);
    }",
commons-collections4_5,"@Test
    public void nullLowComparator_oe() {
        final Comparator<Integer> comp = ComparatorUtils.nullLowComparator(null);
        assertTrue(comp.compare(null, 10) < 0);
        assertTrue(comp.compare(null, null) == 0);
        assertTrue(comp.compare(10, null) > 0);
    }",ComparatorUtilsTest::nullLowComparator_oe,"@Override
    @SuppressWarnings(""unchecked"")
    public int compare(final K o1, final K o2) {
        if (o1 == null) {
            return o2 == null ? 0 : -1;
        } else if (o2 == null) {
            return 1;
        }

        return ((Comparable<K>) o1).compareTo(o2);
    }",
commons-collections4_6,"@Test
    public void nullHighComparator_oe() {
        final Comparator<Integer> comp = ComparatorUtils.nullHighComparator(null);
        assertTrue(comp.compare(null, 10) > 0);
        assertTrue(comp.compare(null, null) == 0);
        assertTrue(comp.compare(10, null) < 0);
    }",ComparatorUtilsTest::nullHighComparator_oe,"@Override
    @SuppressWarnings(""unchecked"")
    public int compare(final K o1, final K o2) {
        if (o1 == null) {
            return o2 == null ? 0 : -1;
        } else if (o2 == null) {
            return 1;
        }

        return ((Comparable<K>) o1).compareTo(o2);
    }",
commons-collections4_10,"@Test
    public void testEmptyIfNull_oe() {
        assertTrue(SetUtils.emptyIfNull(null).isEmpty());

        final Set<Long> set = new HashSet<>();
        assertSame(set, SetUtils.emptyIfNull(set));
    }",SetUtilsTest::testEmptyIfNull_oe,"@Override
            public boolean isEmpty() {
                return aMinusB.isEmpty() && bMinusA.isEmpty();
            }

public static <T> Set<T> emptyIfNull(final Set<T> set) {
        return set == null ? Collections.<T>emptySet() : set;
    }","

/**
     * Returns an immutable empty set if the argument is <code>null</code>,
     * or the argument itself otherwise.
     *
     * @param <T> the element type
     * @param set the set, possibly <code>null</code>
     * @return an empty set if the argument is <code>null</code>
     */"
commons-collections4_11,"@Test
    public void testEquals_oe() {
        final Collection<String> data = Arrays.asList(""a"", ""b"", ""c"");

        final Set<String> a = new HashSet<>(data);
        final Set<String> b = new HashSet<>(data);

        assertEquals(true, a.equals(b));
        assertEquals(true, SetUtils.isEqualSet(a, b));
        a.clear();
        assertEquals(false, SetUtils.isEqualSet(a, b));
        assertEquals(false, SetUtils.isEqualSet(a, null));
        assertEquals(false, SetUtils.isEqualSet(null, b));
        assertEquals(true, SetUtils.isEqualSet(null, null));
    }",SetUtilsTest::testEquals_oe,"public List<E> asList() {
        return UnmodifiableList.unmodifiableList(setOrder);
    }

public static boolean isEqualSet(final Collection<?> set1, final Collection<?> set2) {
        if (set1 == set2) {
            return true;
        }
        if (set1 == null || set2 == null || set1.size() != set2.size()) {
            return false;
        }

        return set1.containsAll(set2);
    }","/**
     * Gets an unmodifiable view of the order of the Set.
     *
     * @return an unmodifiable list view
     */

/**
     * Tests two sets for equality as per the <code>equals()</code> contract
     * in {@link java.util.Set#equals(java.lang.Object)}.
     * <p>
     * This method is useful for implementing <code>Set</code> when you cannot
     * extend AbstractSet. The method takes Collection instances to enable other
     * collection types to use the Set implementation algorithm.
     * <p>
     * The relevant text (slightly paraphrased as this is a static method) is:
     * <blockquote>
     * <p>Two sets are considered equal if they have
     * the same size, and every member of the first set is contained in
     * the second. This ensures that the {@code equals} method works
     * properly across different implementations of the {@code Set}
     * interface.</p>
     *
     * <p>
     * This implementation first checks if the two sets are the same object:
     * if so it returns {@code true}.  Then, it checks if the two sets are
     * identical in size; if not, it returns false. If so, it returns
     * {@code a.containsAll((Collection) b)}.</p>
     * </blockquote>
     *
     * @see java.util.Set
     * @param set1  the first set, may be null
     * @param set2  the second set, may be null
     * @return whether the sets are equal by value comparison
     */"
commons-collections4_12,"@Test
    public void testHashCode_oe() {
        final Collection<String> data = Arrays.asList(""a"", ""b"", ""c"");

        final Set<String> a = new HashSet<>(data);
        final Set<String> b = new HashSet<>(data);

        assertEquals(true, a.hashCode() == b.hashCode());
        assertEquals(true, a.hashCode() == SetUtils.hashCodeForSet(a));
        assertEquals(true, b.hashCode() == SetUtils.hashCodeForSet(b));
        assertEquals(true, SetUtils.hashCodeForSet(a) == SetUtils.hashCodeForSet(b));
        a.clear();
        assertEquals(false, SetUtils.hashCodeForSet(a) == SetUtils.hashCodeForSet(b));
        assertEquals(0, SetUtils.hashCodeForSet(null));
    }",SetUtilsTest::testHashCode_oe,"public List<E> asList() {
        return UnmodifiableList.unmodifiableList(setOrder);
    }

public static <T> int hashCodeForSet(final Collection<T> set) {
        if (set == null) {
            return 0;
        }

        int hashCode = 0;
        for (final T obj : set) {
            if (obj != null) {
                hashCode += obj.hashCode();
            }
        }
        return hashCode;
    }","/**
     * Gets an unmodifiable view of the order of the Set.
     *
     * @return an unmodifiable list view
     */

/**
     * Generates a hash code using the algorithm specified in
     * {@link java.util.Set#hashCode()}.
     * <p>
     * This method is useful for implementing <code>Set</code> when you cannot
     * extend AbstractSet. The method takes Collection instances to enable other
     * collection types to use the Set implementation algorithm.
     *
     * @param <T> the element type
     * @see java.util.Set#hashCode()
     * @param set  the set to calculate the hash code for, may be null
     * @return the hash code
     */"
commons-collections4_13,"@Test
    public void testHashSet_oe()
    {
        Set<?> set1 = SetUtils.unmodifiableSet();
        assertTrue(""set is empty"", set1.isEmpty());

        Set<Integer> set2 = SetUtils.hashSet(1, 2, 2, 3);
        assertEquals(""set has 3 elements"", 3, set2.size());
        assertTrue(""set contains 1"", set2.contains(1));
        assertTrue(""set contains 2"", set2.contains(2));
        assertTrue(""set contains 3"", set2.contains(3));

        Set<String> set3 = SetUtils.hashSet(""1"", ""2"", ""2"", ""3"");
        assertEquals(""set has 3 elements"", 3, set3.size());
        assertTrue(""set contains 1"", set3.contains(""1""));
        assertTrue(""set contains 2"", set3.contains(""2""));
        assertTrue(""set contains 3"", set3.contains(""3""));

        Set<?> set4 = SetUtils.hashSet(null, null);
        assertEquals(""set has 1 element"", 1, set4.size());
        assertTrue(""set contains null"", set4.contains(null));

        Set<?> set5 = SetUtils.hashSet((Object[]) null);
        assertEquals(""set is null"", null, set5);
    }",SetUtilsTest::testHashSet_oe,"@Override
            public boolean isEmpty() {
                return aMinusB.isEmpty() && bMinusA.isEmpty();
            }

@Override
            public int size() {
                return aMinusB.size() + bMinusA.size();
            }

@Override
            public boolean contains(final Object o) {
                return a.contains(o) && !b.contains(o);
            }

public static <E> HashSet<E> hashSet(final E... items) {
        if (items == null) {
            return null;
        }
        return new HashSet<>(Arrays.asList(items));
    }","

/**
     * Creates a set from the given items. If the passed var-args argument is {@code
     * null}, then the method returns {@code null}.
     * @param <E> the element type
     * @param items the elements that make up the new set
     * @return a set
     * @since 4.3
     */"
commons-collections4_14,"@Test
    public void testNewIdentityHashSet_oe() {
        final Set<String> set = SetUtils.newIdentityHashSet();
        final String a = new String(""a"");
        set.add(a);
        set.add(new String(""b""));
        set.add(a);

        assertEquals(2, set.size());

        set.add(new String(""a""));
        assertEquals(3, set.size());

        set.remove(a);
        assertEquals(2, set.size());
    }",SetUtilsTest::testNewIdentityHashSet_oe,"@Override
            public int size() {
                return aMinusB.size() + bMinusA.size();
            }",
commons-collections4_16,"@Test
    public void testUnmodifiableSet_oe()
    {
        Set<?> set1 = SetUtils.unmodifiableSet();
        assertTrue(""set is empty"", set1.isEmpty());

        Set<Integer> set2 = SetUtils.unmodifiableSet(1, 2, 2, 3);
        assertEquals(""set has 3 elements"", 3, set2.size());
        assertTrue(""set contains 1"", set2.contains(1));
        assertTrue(""set contains 2"", set2.contains(2));
        assertTrue(""set contains 3"", set2.contains(3));

        Set<String> set3 = SetUtils.unmodifiableSet(""1"", ""2"", ""2"", ""3"");
        assertEquals(""set has 3 elements"", 3, set3.size());
        assertTrue(""set contains 1"", set3.contains(""1""));
        assertTrue(""set contains 2"", set3.contains(""2""));
        assertTrue(""set contains 3"", set3.contains(""3""));

        Set<?> set4 = SetUtils.unmodifiableSet(null, null);
        assertEquals(""set has 1 element"", 1, set4.size());
        assertTrue(""set contains null"", set4.contains(null));

        Set<?> set5 = SetUtils.unmodifiableSet((Object[]) null);
        assertEquals(""set is null"", null, set5);
    }",SetUtilsTest::testUnmodifiableSet_oe,"@Override
            public boolean isEmpty() {
                return aMinusB.isEmpty() && bMinusA.isEmpty();
            }

@Override
            public int size() {
                return aMinusB.size() + bMinusA.size();
            }

@Override
            public boolean contains(final Object o) {
                return a.contains(o) && !b.contains(o);
            }

public static <E> Set<E> unmodifiableSet(final E... items) {
        if (items == null) {
            return null;
        }
        return UnmodifiableSet.unmodifiableSet(hashSet(items));
    }","

/**
     * Creates an unmodifiable set from the given items. If the passed var-args argument is {@code
     * null}, then the method returns {@code null}.
     * @param <E> the element type
     * @param items the elements that make up the new set
     * @return a set
     * @since 4.3
     */"
