id,test_prefix,test_name,focal_methods,docstrings
commons-net_2,"public void testProxySettings_oe()
    {
        final SocketClient socketClient = new FTPClient();
        assertNull(socketClient.getProxy());
        final Proxy proxy = new Proxy(Proxy.Type.SOCKS, new InetSocketAddress(PROXY_HOST, PROXY_PORT));
        socketClient.setProxy(proxy);
        assertEquals(proxy, socketClient.getProxy());
        assertFalse(socketClient.isConnected());
    }",SocketClientTest::testProxySettings_oe,"public Proxy getProxy() {
        return connProxy;
    }

public boolean isConnected()
    {
        if (_socket_ == null) {
            return false;
        }

        return _socket_.isConnected();
    }","/**
     * Gets the proxy for use with all the connections.
     * @return the current proxy for connections.
     */

/**
     * Returns true if the client is currently connected to a server.
     * <p>
     * Delegates to {@link Socket#isConnected()}
     * @return True if the client is currently connected to a server,
     *         false otherwise.
     */"
commons-net_3,"public void testAddresses_oe() {
        final SubnetUtils utils = new SubnetUtils(""192.168.0.1/29"");
        final SubnetInfo info = utils.getInfo();
        assertTrue(info.isInRange(""192.168.0.1""));
        assertTrue(info.isInRange(""192.168.0.2""));
        assertTrue(info.isInRange(""192.168.0.3""));
        assertTrue(info.isInRange(""192.168.0.4""));
        assertTrue(info.isInRange(""192.168.0.5""));
        assertTrue(info.isInRange(""192.168.0.6""));
        assertFalse(info.isInRange(""192.168.0.7""));
        assertFalse(info.isInRange(""192.168.0.8""));
        assertFalse(info.isInRange(""10.10.2.1""));
        assertFalse(info.isInRange(""192.168.1.1""));
        assertFalse(info.isInRange(""192.168.0.255""));
    }",SubnetUtilsTest::testAddresses_oe,"public boolean isInRange(final String address) {
            return isInRange(toInteger(address));
        }","/**
         * Returns true if the parameter <code>address</code> is in the
         * range of usable endpoint addresses for this subnet. This excludes the
         * network and broadcast addresses. Use {@link SubnetUtils#setInclusiveHostCount(boolean)}
         * to change this.
         * @param address A dot-delimited IPv4 address, e.g. ""192.168.0.1""
         * @return True if in range, false otherwise
         */"
commons-net_4,"public void testCidrAddresses_oe() {
        SubnetUtils utils = new SubnetUtils(""192.168.0.1/8"");
        utils.setInclusiveHostCount(true);
        SubnetInfo info = utils.getInfo();
        assertEquals(""255.0.0.0"", info.getNetmask());
        assertEquals(16777216, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/0"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""0.0.0.0"", info.getNetmask());
        assertEquals(4294967296L, info.getAddressCountLong());

        utils = new SubnetUtils(""192.168.0.1/1"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""128.0.0.0"", info.getNetmask());
        assertEquals(2147483648L, info.getAddressCountLong());

        utils = new SubnetUtils(""192.168.0.1/9"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.128.0.0"", info.getNetmask());
        assertEquals(8388608, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/10"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.192.0.0"", info.getNetmask());
        assertEquals(4194304, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/11"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.224.0.0"", info.getNetmask());
        assertEquals(2097152, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/12"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.240.0.0"", info.getNetmask());
        assertEquals(1048576, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/13"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.248.0.0"", info.getNetmask());
        assertEquals(524288, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/14"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.252.0.0"", info.getNetmask());
        assertEquals(262144, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/15"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.254.0.0"", info.getNetmask());
        assertEquals(131072, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/16"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.255.0.0"", info.getNetmask());
        assertEquals(65536, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/17"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.255.128.0"", info.getNetmask());
        assertEquals(32768, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/18"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.255.192.0"", info.getNetmask());
        assertEquals(16384, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/19"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.255.224.0"", info.getNetmask());
        assertEquals(8192, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/20"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.255.240.0"", info.getNetmask());
        assertEquals(4096, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/21"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.255.248.0"", info.getNetmask());
        assertEquals(2048, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/22"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.255.252.0"", info.getNetmask());
        assertEquals(1024, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/23"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.255.254.0"", info.getNetmask());
        assertEquals(512, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/24"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.255.255.0"", info.getNetmask());
        assertEquals(256, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/25"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.255.255.128"", info.getNetmask());
        assertEquals(128, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/26"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.255.255.192"", info.getNetmask());
        assertEquals(64, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/27"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.255.255.224"", info.getNetmask());
        assertEquals(32, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/28"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.255.255.240"", info.getNetmask());
        assertEquals(16, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/29"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.255.255.248"", info.getNetmask());
        assertEquals(8, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/30"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.255.255.252"", info.getNetmask());
        assertEquals(4, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/31"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.255.255.254"", info.getNetmask());
        assertEquals(2, info.getAddressCount());

        utils = new SubnetUtils(""192.168.0.1/32"");
        utils.setInclusiveHostCount(true);
        info = utils.getInfo();
        assertEquals(""255.255.255.255"", info.getNetmask());
        assertEquals(1, info.getAddressCount());

    }",SubnetUtilsTest::testCidrAddresses_oe,"public String getNetmask() {
            return format(toArray(netmask));
        }

@Deprecated
        public int getAddressCount() {
            final long countLong = getAddressCountLong();
            if (countLong > Integer.MAX_VALUE) {
                throw new RuntimeException(""Count is larger than an integer: "" + countLong);
            }
            // N.B. cannot be negative
            return (int)countLong;
        }

public long getAddressCountLong() {
            final long b = broadcastLong();
            final long n = networkLong();
            final long count = b - n + (isInclusiveHostCount() ? 1 : -1);
            return count < 0 ? 0 : count;
        }","

/**
         * Get the count of available addresses.
         * Will be zero for CIDR/31 and CIDR/32 if the inclusive flag is false.
         * @return the count of addresses, may be zero.
         * @throws RuntimeException if the correct count is greater than {@code Integer.MAX_VALUE}
         * @deprecated (3.4) use {@link #getAddressCountLong()} instead
         */

/**
         * Get the count of available addresses.
         * Will be zero for CIDR/31 and CIDR/32 if the inclusive flag is false.
         * @return the count of addresses, may be zero.
         * @since 3.4
         */"
commons-net_5,"public void testNET675_oe() {
        final SubnetUtils utils = new SubnetUtils(""192.168.0.15/32"");
        utils.setInclusiveHostCount(true);
        final SubnetInfo info = utils.getInfo();
        assertTrue(info.isInRange(""192.168.0.15""));
    }",SubnetUtilsTest::testNET675_oe,"public boolean isInRange(final String address) {
            return isInRange(toInteger(address));
        }","/**
         * Returns true if the parameter <code>address</code> is in the
         * range of usable endpoint addresses for this subnet. This excludes the
         * network and broadcast addresses. Use {@link SubnetUtils#setInclusiveHostCount(boolean)}
         * to change this.
         * @param address A dot-delimited IPv4 address, e.g. ""192.168.0.1""
         * @return True if in range, false otherwise
         */"
commons-net_6,"public void testNET679_oe() {
        final SubnetUtils utils = new SubnetUtils(""10.213.160.0/16"");
        utils.setInclusiveHostCount(true);
        final SubnetInfo info = utils.getInfo();
        assertTrue(info.isInRange(""10.213.0.0""));
        assertTrue(info.isInRange(""10.213.255.255""));
    }",SubnetUtilsTest::testNET679_oe,"public boolean isInRange(final String address) {
            return isInRange(toInteger(address));
        }","/**
         * Returns true if the parameter <code>address</code> is in the
         * range of usable endpoint addresses for this subnet. This excludes the
         * network and broadcast addresses. Use {@link SubnetUtils#setInclusiveHostCount(boolean)}
         * to change this.
         * @param address A dot-delimited IPv4 address, e.g. ""192.168.0.1""
         * @return True if in range, false otherwise
         */"
commons-net_7,"public void testInvalidMasks_oe() {
        try {
            new SubnetUtils(""192.168.0.1/33"");
            fail(""Should have thrown IllegalArgumentException"");
        } catch (final IllegalArgumentException expected) {
        }
    }",SubnetUtilsTest::testInvalidMasks_oe,,
commons-net_8,"public void testNET428_31_oe() {
        final SubnetUtils subnetUtils = new SubnetUtils(""1.2.3.4/31"");
        assertEquals(0, subnetUtils.getInfo().getAddressCount());
        final String[] address = subnetUtils.getInfo().getAllAddresses();
        assertNotNull(address);
        assertEquals(0, address.length);
    }",SubnetUtilsTest::testNET428_31_oe,"public final SubnetInfo getInfo() { return new SubnetInfo(); }

public String[] getAllAddresses() {
            final int ct = getAddressCount();
            final String[] addresses = new String[ct];
            if (ct == 0) {
                return addresses;
            }
            for (int add = low(), j=0; add <= high(); ++add, ++j) {
                addresses[j] = format(toArray(add));
            }
            return addresses;
        }","/**
     * Return a {@link SubnetInfo} instance that contains subnet-specific statistics
     * @return new instance
     */

"
commons-net_9,"public void testNET428_32_oe() {
        final SubnetUtils subnetUtils = new SubnetUtils(""1.2.3.4/32"");
        assertEquals(0, subnetUtils.getInfo().getAddressCount());
        final String[] address = subnetUtils.getInfo().getAllAddresses();
        assertNotNull(address);
        assertEquals(0, address.length);
    }",SubnetUtilsTest::testNET428_32_oe,"public final SubnetInfo getInfo() { return new SubnetInfo(); }

public String[] getAllAddresses() {
            final int ct = getAddressCount();
            final String[] addresses = new String[ct];
            if (ct == 0) {
                return addresses;
            }
            for (int add = low(), j=0; add <= high(); ++add, ++j) {
                addresses[j] = format(toArray(add));
            }
            return addresses;
        }","/**
     * Return a {@link SubnetInfo} instance that contains subnet-specific statistics
     * @return new instance
     */

"
commons-net_10,"public void testParseSimpleNetmask_oe() {
        final String address = ""192.168.0.1"";
        final String masks[] = new String[] { ""255.0.0.0"", ""255.255.0.0"", ""255.255.255.0"", ""255.255.255.248"" };
        final String bcastAddresses[] = new String[] { ""192.255.255.255"", ""192.168.255.255"", ""192.168.0.255"",
                ""192.168.0.7"" };
        final String lowAddresses[] = new String[] { ""192.0.0.1"", ""192.168.0.1"", ""192.168.0.1"", ""192.168.0.1"" };
        final String highAddresses[] = new String[] { ""192.255.255.254"", ""192.168.255.254"", ""192.168.0.254"",
                ""192.168.0.6"" };
        final String nextAddresses[] = new String[] { ""192.168.0.2"", ""192.168.0.2"", ""192.168.0.2"",
                ""192.168.0.2"" };
        final String previousAddresses[] = new String[] { ""192.168.0.0"", ""192.168.0.0"", ""192.168.0.0"",
                ""192.168.0.0"" };
        final String networkAddresses[] = new String[] { ""192.0.0.0"", ""192.168.0.0"", ""192.168.0.0"", ""192.168.0.0"" };
        final String cidrSignatures[] = new String[] { ""192.168.0.1/8"", ""192.168.0.1/16"", ""192.168.0.1/24"",
                ""192.168.0.1/29"" };
        final int usableAddresses[] = new int[] { 16777214, 65534, 254, 6 };

        for (int i = 0; i < masks.length; ++i) {
            final SubnetUtils utils = new SubnetUtils(address, masks[i]);
            final SubnetInfo info = utils.getInfo();
            assertEquals(bcastAddresses[i], info.getBroadcastAddress());
            assertEquals(cidrSignatures[i], info.getCidrSignature());
            assertEquals(lowAddresses[i], info.getLowAddress());
            assertEquals(highAddresses[i], info.getHighAddress());
            assertEquals(nextAddresses[i], info.getNextAddress());
            assertEquals(previousAddresses[i], info.getPreviousAddress());
            assertEquals(networkAddresses[i], info.getNetworkAddress());
            assertEquals(usableAddresses[i], info.getAddressCount());
        }
    }",SubnetUtilsTest::testParseSimpleNetmask_oe,"public String getBroadcastAddress() {
            return format(toArray(broadcast));
        }

public String getCidrSignature() {
            return format(toArray(address)) + ""/"" + pop(netmask);
        }

public String getLowAddress() {
            return format(toArray(low()));
        }

public String getHighAddress() {
            return format(toArray(high()));
        }

public String getNextAddress() {
            return format(toArray(address + 1));
        }

public String getPreviousAddress() {
            return format(toArray(address - 1));
        }

public String getNetworkAddress() {
            return format(toArray(network));
        }

@Deprecated
        public int getAddressCount() {
            final long countLong = getAddressCountLong();
            if (countLong > Integer.MAX_VALUE) {
                throw new RuntimeException(""Count is larger than an integer: "" + countLong);
            }
            // N.B. cannot be negative
            return (int)countLong;
        }","

/**
         * Return the low address as a dotted IP address.
         * Will be zero for CIDR/31 and CIDR/32 if the inclusive flag is false.
         *
         * @return the IP address in dotted format, may be ""0.0.0.0"" if there is no valid address
         */

/**
         * Return the high address as a dotted IP address.
         * Will be zero for CIDR/31 and CIDR/32 if the inclusive flag is false.
         *
         * @return the IP address in dotted format, may be ""0.0.0.0"" if there is no valid address
         */

/**
         * Get the count of available addresses.
         * Will be zero for CIDR/31 and CIDR/32 if the inclusive flag is false.
         * @return the count of addresses, may be zero.
         * @throws RuntimeException if the correct count is greater than {@code Integer.MAX_VALUE}
         * @deprecated (3.4) use {@link #getAddressCountLong()} instead
         */"
commons-net_11,"public void testParseSimpleNetmaskExclusive_oe() {
        final String address = ""192.168.15.7"";
        final String masks[] = new String[] { ""255.255.255.252"", ""255.255.255.254"", ""255.255.255.255"" };
        final String bcast[] = new String[] { ""192.168.15.7"", ""192.168.15.7"", ""192.168.15.7"" };
        final String netwk[] = new String[] { ""192.168.15.4"", ""192.168.15.6"", ""192.168.15.7"" };
        final String lowAd[] = new String[] { ""192.168.15.5"", ""0.0.0.0"", ""0.0.0.0"" };
        final String highA[] = new String[] { ""192.168.15.6"", ""0.0.0.0"", ""0.0.0.0"" };
        final String cidrS[] = new String[] { ""192.168.15.7/30"", ""192.168.15.7/31"", ""192.168.15.7/32"" };
        final int usableAd[] = new int[] { 2, 0, 0 };

        for (int i = 0; i < masks.length; ++i) {
            final SubnetUtils utils = new SubnetUtils(address, masks[i]);
            utils.setInclusiveHostCount(false);
            final SubnetInfo info = utils.getInfo();
            assertEquals(""ci "" + masks[i], cidrS[i], info.getCidrSignature());
            assertEquals(""bc "" + masks[i], bcast[i], info.getBroadcastAddress());
            assertEquals(""nw "" + masks[i], netwk[i], info.getNetworkAddress());
            assertEquals(""ac "" + masks[i], usableAd[i], info.getAddressCount());
            assertEquals(""lo "" + masks[i], lowAd[i], info.getLowAddress());
            assertEquals(""hi "" + masks[i], highA[i], info.getHighAddress());
        }
    }",SubnetUtilsTest::testParseSimpleNetmaskExclusive_oe,"public String getCidrSignature() {
            return format(toArray(address)) + ""/"" + pop(netmask);
        }

public String getBroadcastAddress() {
            return format(toArray(broadcast));
        }

public String getNetworkAddress() {
            return format(toArray(network));
        }

@Deprecated
        public int getAddressCount() {
            final long countLong = getAddressCountLong();
            if (countLong > Integer.MAX_VALUE) {
                throw new RuntimeException(""Count is larger than an integer: "" + countLong);
            }
            // N.B. cannot be negative
            return (int)countLong;
        }

public String getLowAddress() {
            return format(toArray(low()));
        }

public String getHighAddress() {
            return format(toArray(high()));
        }","

/**
         * Get the count of available addresses.
         * Will be zero for CIDR/31 and CIDR/32 if the inclusive flag is false.
         * @return the count of addresses, may be zero.
         * @throws RuntimeException if the correct count is greater than {@code Integer.MAX_VALUE}
         * @deprecated (3.4) use {@link #getAddressCountLong()} instead
         */

/**
         * Return the low address as a dotted IP address.
         * Will be zero for CIDR/31 and CIDR/32 if the inclusive flag is false.
         *
         * @return the IP address in dotted format, may be ""0.0.0.0"" if there is no valid address
         */

/**
         * Return the high address as a dotted IP address.
         * Will be zero for CIDR/31 and CIDR/32 if the inclusive flag is false.
         *
         * @return the IP address in dotted format, may be ""0.0.0.0"" if there is no valid address
         */"
