id,test_prefix,test_name,focal_method,docstring
bean_1_1,"    public void testAddProperty1_1_oe() {
        dynaClass.add(testProperty);
        final DynaProperty dynaProperty = dynaClass.getDynaProperty(testProperty);
        <ASSERTION_HOLE>;
    }",LazyDynaClassTestCase::testAddProperty1_1_oe,"public String getName() {
        return (this.name);
    }","/**
     * Get the name of this property.
     * @return the name of the property
     */"
bean_1_2,"    public void testAddProperty1_2_oe() {
        dynaClass.add(testProperty);
        final DynaProperty dynaProperty = dynaClass.getDynaProperty(testProperty);
        <ASSERTION_HOLE>;
    }",LazyDynaClassTestCase::testAddProperty1_2_oe,"public Class<?> getType() {
        return (this.type);
    }","/**
     * <p>Gets the Java class representing the data type of the underlying property
     * values.</p>
     *
     * <p>There are issues with serializing primitive class types on certain JVM versions
     * (including java 1.3).
     * Therefore, this field <strong>must not be serialized using the standard methods</strong>.</p>
     *
     * <p><strong>Please leave this field as <code>transient</code></strong></p>
     *
     * @return the property type
     */"
bean_2_1,"    public void testAddProperty2_1_oe() {
        dynaClass.add(testProperty, String.class);
        final DynaProperty dynaProperty = dynaClass.getDynaProperty(testProperty);
        <ASSERTION_HOLE>;
    }",LazyDynaClassTestCase::testAddProperty2_1_oe,"public String getName() {
        return (this.name);
    }","/**
     * Get the name of this property.
     * @return the name of the property
     */"
bean_2_2,"    public void testAddProperty2_2_oe() {
        dynaClass.add(testProperty, String.class);
        final DynaProperty dynaProperty = dynaClass.getDynaProperty(testProperty);
        <ASSERTION_HOLE>;
    }",LazyDynaClassTestCase::testAddProperty2_2_oe,"public Class<?> getType() {
        return (this.type);
    }","/**
     * <p>Gets the Java class representing the data type of the underlying property
     * values.</p>
     *
     * <p>There are issues with serializing primitive class types on certain JVM versions
     * (including java 1.3).
     * Therefore, this field <strong>must not be serialized using the standard methods</strong>.</p>
     *
     * <p><strong>Please leave this field as <code>transient</code></strong></p>
     *
     * @return the property type
     */"
bean_7_1,"    public void testAddPropertyRestricted1_1_oe() {
        dynaClass.setRestricted(true);
        <ASSERTION_HOLE>;
    }",LazyDynaClassTestCase::testAddPropertyRestricted1_1_oe,"public boolean isRestricted() {
        return restricted;
    }","/**
     * <p>Is this DynaClass currently restricted.</p>
     * <p>If restricted, no changes to the existing registration of
     *  property names, data types, readability, or writeability are allowed.</p>
     *
     * @return <code>true</code> if this Mutable {@link DynaClass} is restricted,
     * otherwise <code>false</code>
     */"
bean_8_1,"    public void testAddPropertyRestricted2_1_oe() {
        dynaClass.setRestricted(true);
        <ASSERTION_HOLE>;
    }",LazyDynaClassTestCase::testAddPropertyRestricted2_1_oe,"public boolean isRestricted() {
        return restricted;
    }","/**
     * <p>Is this DynaClass currently restricted.</p>
     * <p>If restricted, no changes to the existing registration of
     *  property names, data types, readability, or writeability are allowed.</p>
     *
     * @return <code>true</code> if this Mutable {@link DynaClass} is restricted,
     * otherwise <code>false</code>
     */"
bean_9_1,"    public void testAddPropertyRestricted3_1_oe() {
        dynaClass.setRestricted(true);
        <ASSERTION_HOLE>;
    }",LazyDynaClassTestCase::testAddPropertyRestricted3_1_oe,"public boolean isRestricted() {
        return restricted;
    }","/**
     * <p>Is this DynaClass currently restricted.</p>
     * <p>If restricted, no changes to the existing registration of
     *  property names, data types, readability, or writeability are allowed.</p>
     *
     * @return <code>true</code> if this Mutable {@link DynaClass} is restricted,
     * otherwise <code>false</code>
     */"
bean_10_1,"    public void testGetPropertyDoesntExist1_1_oe() {
        dynaClass.setReturnNull(false);
        <ASSERTION_HOLE>;
    }",LazyDynaClassTestCase::testGetPropertyDoesntExist1_1_oe,"public boolean isReturnNull() {
        return returnNull;
    }","/**
     * Should this DynaClass return a <code>null</code> from
     * the <code>getDynaProperty(name)</code> method if the property
     * doesn't exist.
     *
     * @return <code>true</code> if a <code>null</code> {@link DynaProperty}
     * should be returned if the property doesn't exist, otherwise
     * <code>false</code> if a new {@link DynaProperty} should be created.
     */"
bean_10_2,"    public void testGetPropertyDoesntExist1_2_oe() {
        dynaClass.setReturnNull(false);
        final DynaProperty dynaProperty = dynaClass.getDynaProperty(testProperty);
        <ASSERTION_HOLE>;
    }",LazyDynaClassTestCase::testGetPropertyDoesntExist1_2_oe,"public String getName() {
        return (this.name);
    }","/**
     * Get the name of this property.
     * @return the name of the property
     */"
bean_10_3,"    public void testGetPropertyDoesntExist1_3_oe() {
        dynaClass.setReturnNull(false);
        final DynaProperty dynaProperty = dynaClass.getDynaProperty(testProperty);
        <ASSERTION_HOLE>;
    }",LazyDynaClassTestCase::testGetPropertyDoesntExist1_3_oe,"public Class<?> getType() {
        return (this.type);
    }","/**
     * <p>Gets the Java class representing the data type of the underlying property
     * values.</p>
     *
     * <p>There are issues with serializing primitive class types on certain JVM versions
     * (including java 1.3).
     * Therefore, this field <strong>must not be serialized using the standard methods</strong>.</p>
     *
     * <p><strong>Please leave this field as <code>transient</code></strong></p>
     *
     * @return the property type
     */"
