id,test_prefix,test_name,mut_class,method_under_test,mut_docstring,mut_method_definition
lang_left_556_5,"@Test
    public void testAbbreviate_StringStringIntInt_5_oe() {

        assertThrows( IllegalArgumentException.class, () -> StringUtils.abbreviate(""abcdefghij"", ""::"", 0, 2), ""StringUtils.abbreviate expecting IllegalArgumentException"");
    }",StringUtilsTest::testAbbreviate_StringStringIntInt_5_oe,org.apache.commons.lang3.StringUtils,"abbreviate(final String str, final int maxWidth)","/**
     * <p>Abbreviates a String using ellipses. This will turn
     * ""Now is the time for all good men"" into ""Now is the time for...""</p>
     *
     * <p>Specifically:</p>
     * <ul>
     *   <li>If the number of characters in {@code str} is less than or equal to
     *       {@code maxWidth}, return {@code str}.</li>
     *   <li>Else abbreviate it to {@code (substring(str, 0, max-3) + ""..."")}.</li>
     *   <li>If {@code maxWidth} is less than {@code 4}, throw an
     *       {@code IllegalArgumentException}.</li>
     *   <li>In no case will it return a String of length greater than
     *       {@code maxWidth}.</li>
     * </ul>
     *
     * <pre>
     * StringUtils.abbreviate(null, *)      = null
     * StringUtils.abbreviate("""", 4)        = """"
     * StringUtils.abbreviate(""abcdefg"", 6) = ""abc...""
     * StringUtils.abbreviate(""abcdefg"", 7) = ""abcdefg""
     * StringUtils.abbreviate(""abcdefg"", 8) = ""abcdefg""
     * StringUtils.abbreviate(""abcdefg"", 4) = ""a...""
     * StringUtils.abbreviate(""abcdefg"", 3) = IllegalArgumentException
     * </pre>
     *
     * @param str  the String to check, may be null
     * @param maxWidth  maximum length of result String, must be at least 4
     * @return abbreviated String, {@code null} if null String input
     * @throws IllegalArgumentException if the width is too small
     * @since 2.0
     */","public static String abbreviate(final String str, final int maxWidth) {
        return abbreviate(str, ""..."", 0, maxWidth);
    }"
lang_left_2312_1,"@Test
    public void testNullLhs_1_oe() {
        assertThrows(NullPointerException.class, () -> new DiffResult(null, SIMPLE_FALSE, SIMPLE_TRUE.diff(SIMPLE_FALSE).getDiffs(), SHORT_STYLE));
    }",DiffResultTest::testNullLhs_1_oe,org.apache.commons.lang3.builder.DiffResult,getDiffs(),"/**
     * <p>
     * Returns an unmodifiable list of {@code Diff}s. The list may be empty if
     * there were no differences between the objects.
     * </p>
     *
     * @return an unmodifiable list of {@code Diff}s
     */","public List<Diff<?>> getDiffs() {
        return Collections.unmodifiableList(diffList);
    }"
lang_left_2313_1,"@Test
    public void testNullRhs_1_oe() {
        assertThrows(NullPointerException.class, () -> new DiffResult(SIMPLE_TRUE, null, SIMPLE_TRUE.diff(SIMPLE_FALSE).getDiffs(), SHORT_STYLE));
    }",DiffResultTest::testNullRhs_1_oe,org.apache.commons.lang3.builder.DiffResult,getDiffs(),"/**
     * <p>
     * Returns an unmodifiable list of {@code Diff}s. The list may be empty if
     * there were no differences between the objects.
     * </p>
     *
     * @return an unmodifiable list of {@code Diff}s
     */","public List<Diff<?>> getDiffs() {
        return Collections.unmodifiableList(diffList);
    }"
lang_left_2314_1,"@Test
    public void testNullList_1_oe() {
        assertThrows(NullPointerException.class, () -> new DiffResult(SIMPLE_TRUE, SIMPLE_FALSE, null, SHORT_STYLE));
    }",DiffResultTest::testNullList_1_oe,,,,
lang_left_2596_1,"@DefaultLocale(language = ""de"")
    @Test
    public void testLANG799_DE_FAIL_1_oe() {
        assertThrows(ParseException.class, () -> DateUtils.parseDate(""Wed, 09 Apr 2008 23:55:38 GMT"", ""EEE, dd MMM yyyy HH:mm:ss zzz""));
    }",DateUtilsTest::testLANG799_DE_FAIL_1_oe,org.apache.commons.lang3.time.DateUtils,"parseDate(final String str, final String... parsePatterns)","/**
     * <p>Parses a string representing a date by trying a variety of different parsers.</p>
     *
     * <p>The parse will try each parse pattern in turn.
     * A parse is only deemed successful if it parses the whole of the input string.
     * If no parse patterns match, a ParseException is thrown.</p>
     * The parser will be lenient toward the parsed date.
     *
     * @param str  the date to parse, not null
     * @param parsePatterns  the date format patterns to use, see SimpleDateFormat, not null
     * @return the parsed date
     * @throws IllegalArgumentException if the date string or pattern array is null
     * @throws ParseException if none of the date patterns were suitable (or there were none)
     */","public static Date parseDate(final String str, final String... parsePatterns) throws ParseException {
        return parseDate(str, null, parsePatterns);
    }"
lang_left_2597_1,"@DefaultLocale(language = ""en"")
    @Test
    public void testLANG799_EN_FAIL_1_oe() {
        assertThrows(ParseException.class, () -> DateUtils.parseDate(""Mi, 09 Apr 2008 23:55:38 GMT"", ""EEE, dd MMM yyyy HH:mm:ss zzz""));
    }",DateUtilsTest::testLANG799_EN_FAIL_1_oe,org.apache.commons.lang3.time.DateUtils,"parseDate(final String str, final String... parsePatterns)","/**
     * <p>Parses a string representing a date by trying a variety of different parsers.</p>
     *
     * <p>The parse will try each parse pattern in turn.
     * A parse is only deemed successful if it parses the whole of the input string.
     * If no parse patterns match, a ParseException is thrown.</p>
     * The parser will be lenient toward the parsed date.
     *
     * @param str  the date to parse, not null
     * @param parsePatterns  the date format patterns to use, see SimpleDateFormat, not null
     * @return the parsed date
     * @throws IllegalArgumentException if the date string or pattern array is null
     * @throws ParseException if none of the date patterns were suitable (or there were none)
     */","public static Date parseDate(final String str, final String... parsePatterns) throws ParseException {
        return parseDate(str, null, parsePatterns);
    }"
lang_left_2839_5,"@Test
    public void testBiPredicateAnd_5_oe() throws Throwable {
        assertThrows(NullPointerException.class, () -> assertFalse(FailableBiPredicate.falsePredicate().and(null).test(null, null)));
    }",FailableFunctionsTest::testBiPredicateAnd_5_oe,org.apache.commons.lang3.Functions.FailableBiPredicate,"test(O1 object1, O2 object2)","/**
         * Tests the predicate.
         *
         * @param object1 the first object to test the predicate on
         * @param object2 the second object to test the predicate on
         * @return the predicate's evaluation
         * @throws T if the predicate fails
         */","boolean test(O1 object1, O2 object2) throws T;"
lang_left_2839_6,"@Test
    public void testBiPredicateAnd_6_oe() throws Throwable {
        assertThrows(NullPointerException.class, () -> assertTrue(FailableBiPredicate.truePredicate().and(null).test(null, null)));
    }",FailableFunctionsTest::testBiPredicateAnd_6_oe,org.apache.commons.lang3.Functions.FailableBiPredicate,"test(O1 object1, O2 object2)","/**
         * Tests the predicate.
         *
         * @param object1 the first object to test the predicate on
         * @param object2 the second object to test the predicate on
         * @return the predicate's evaluation
         * @throws T if the predicate fails
         */","boolean test(O1 object1, O2 object2) throws T;"
lang_left_2841_5,"@Test
    public void testBiPredicateOr_5_oe() throws Throwable {
        assertThrows(NullPointerException.class, () -> assertFalse(FailableBiPredicate.falsePredicate().or(null).test(null, null)));
    }",FailableFunctionsTest::testBiPredicateOr_5_oe,org.apache.commons.lang3.Functions.FailableBiPredicate,"test(O1 object1, O2 object2)","/**
         * Tests the predicate.
         *
         * @param object1 the first object to test the predicate on
         * @param object2 the second object to test the predicate on
         * @return the predicate's evaluation
         * @throws T if the predicate fails
         */","boolean test(O1 object1, O2 object2) throws T;"
lang_left_2841_6,"@Test
    public void testBiPredicateOr_6_oe() throws Throwable {
        assertThrows(NullPointerException.class, () -> assertTrue(FailableBiPredicate.truePredicate().or(null).test(null, null)));
    }",FailableFunctionsTest::testBiPredicateOr_6_oe,org.apache.commons.lang3.Functions.FailableBiPredicate,"test(O1 object1, O2 object2)","/**
         * Tests the predicate.
         *
         * @param object1 the first object to test the predicate on
         * @param object2 the second object to test the predicate on
         * @return the predicate's evaluation
         * @throws T if the predicate fails
         */","boolean test(O1 object1, O2 object2) throws T;"
