id,test_prefix,test_name,mut_class,method_under_test,mut_docstring,mut_method_definition
vali_97_37,"    public void testCompare_37_oe() {
        int sameTime = 124522;
        int testDate = 20050823;
        Calendar diffHour    = createCalendar(GMT, testDate, 115922);    // same date, different time
        Calendar diffMin     = createCalendar(GMT, testDate, 124422);    // same date, different time
        Calendar diffSec     = createCalendar(GMT, testDate, 124521);    // same date, different time

        Calendar value       = createCalendar(GMT, testDate, sameTime);   // test value
        Calendar cal20050824 = createCalendar(GMT, 20050824, sameTime);   // +1 day
        Calendar cal20050822 = createCalendar(GMT, 20050822, sameTime);   // -1 day

        Calendar cal20050830 = createCalendar(GMT, 20050830, sameTime);   // +1 week
        Calendar cal20050816 = createCalendar(GMT, 20050816, sameTime);   // -1 week

        Calendar cal20050901 = createCalendar(GMT, 20050901, sameTime);   // +1 month
        Calendar cal20050801 = createCalendar(GMT, 20050801, sameTime);   // same month
        Calendar cal20050731 = createCalendar(GMT, 20050731, sameTime);   // -1 month

        Calendar cal20051101 = createCalendar(GMT, 20051101, sameTime);   // +1 quarter (Feb Start)
        Calendar cal20051001 = createCalendar(GMT, 20051001, sameTime);   // +1 quarter
        Calendar cal20050701 = createCalendar(GMT, 20050701, sameTime);   // same quarter
        Calendar cal20050630 = createCalendar(GMT, 20050630, sameTime);   // -1 quarter

        Calendar cal20060101 = createCalendar(GMT, 20060101, sameTime);   // +1 year
        Calendar cal20050101 = createCalendar(GMT, 20050101, sameTime);   // same year
        Calendar cal20041231 = createCalendar(GMT, 20041231, sameTime);   // -1 year








        try {
            calValidator.compare(value, value,  -1);
        } catch (IllegalArgumentException e) {
            assertEquals(""check message"", ""Invalid field: -1"", e.getMessage());
    }
    }",CalendarValidatorTest::testCompare_37_oe,org.apache.commons.validator.Field,getMessage(String key),"/**
     * Retrieve a message object.
     * @since Validator 1.1.4
     * @param key Validation key.
     * @return A validation message for a specified validator.
     */","public Msg getMessage(String key) {
        return getMsgMap().get(key);
    }"
vali_216_2,"    public void testMissingRegex_2_oe() {

        try {
            new RegexValidator((String)null);
        } catch (IllegalArgumentException e) {
            assertEquals(""Single Null"", ""Regular expression[0] is missing"", e.getMessage());
    }
    }",RegexValidatorTest::testMissingRegex_2_oe,org.apache.commons.validator.Field,getMessage(String key),"/**
     * Retrieve a message object.
     * @since Validator 1.1.4
     * @param key Validation key.
     * @return A validation message for a specified validator.
     */","public Msg getMessage(String key) {
        return getMsgMap().get(key);
    }"
vali_216_4,"    public void testMissingRegex_4_oe() {

        try {
            new RegexValidator((String)null);
        } catch (IllegalArgumentException e) {
        }

        try {
            new RegexValidator("""");
        } catch (IllegalArgumentException e) {
            assertEquals(""Single Zero Length"", ""Regular expression[0] is missing"", e.getMessage());
    }
    }",RegexValidatorTest::testMissingRegex_4_oe,org.apache.commons.validator.Field,getMessage(String key),"/**
     * Retrieve a message object.
     * @since Validator 1.1.4
     * @param key Validation key.
     * @return A validation message for a specified validator.
     */","public Msg getMessage(String key) {
        return getMsgMap().get(key);
    }"
vali_216_6,"    public void testMissingRegex_6_oe() {

        try {
            new RegexValidator((String)null);
        } catch (IllegalArgumentException e) {
        }

        try {
            new RegexValidator("""");
        } catch (IllegalArgumentException e) {
        }

        try {
            new RegexValidator((String[])null);
        } catch (IllegalArgumentException e) {
            assertEquals(""Null Array"", ""Regular expressions are missing"", e.getMessage());
    }
    }",RegexValidatorTest::testMissingRegex_6_oe,org.apache.commons.validator.Field,getMessage(String key),"/**
     * Retrieve a message object.
     * @since Validator 1.1.4
     * @param key Validation key.
     * @return A validation message for a specified validator.
     */","public Msg getMessage(String key) {
        return getMsgMap().get(key);
    }"
vali_216_8,"    public void testMissingRegex_8_oe() {

        try {
            new RegexValidator((String)null);
        } catch (IllegalArgumentException e) {
        }

        try {
            new RegexValidator("""");
        } catch (IllegalArgumentException e) {
        }

        try {
            new RegexValidator((String[])null);
        } catch (IllegalArgumentException e) {
        }

        try {
            new RegexValidator(new String[0]);
        } catch (IllegalArgumentException e) {
            assertEquals(""Zero Length Array"", ""Regular expressions are missing"", e.getMessage());
    }
    }",RegexValidatorTest::testMissingRegex_8_oe,org.apache.commons.validator.Field,getMessage(String key),"/**
     * Retrieve a message object.
     * @since Validator 1.1.4
     * @param key Validation key.
     * @return A validation message for a specified validator.
     */","public Msg getMessage(String key) {
        return getMsgMap().get(key);
    }"
vali_216_10,"    public void testMissingRegex_10_oe() {

        try {
            new RegexValidator((String)null);
        } catch (IllegalArgumentException e) {
        }

        try {
            new RegexValidator("""");
        } catch (IllegalArgumentException e) {
        }

        try {
            new RegexValidator((String[])null);
        } catch (IllegalArgumentException e) {
        }

        try {
            new RegexValidator(new String[0]);
        } catch (IllegalArgumentException e) {
        }

        String[] expressions = new String[] {""ABC"", null};
        try {
            new RegexValidator(expressions);
        } catch (IllegalArgumentException e) {
            assertEquals(""Array has Null"", ""Regular expression[1] is missing"", e.getMessage());
    }
    }",RegexValidatorTest::testMissingRegex_10_oe,org.apache.commons.validator.Field,getMessage(String key),"/**
     * Retrieve a message object.
     * @since Validator 1.1.4
     * @param key Validation key.
     * @return A validation message for a specified validator.
     */","public Msg getMessage(String key) {
        return getMsgMap().get(key);
    }"
vali_216_12,"    public void testMissingRegex_12_oe() {

        try {
            new RegexValidator((String)null);
        } catch (IllegalArgumentException e) {
        }

        try {
            new RegexValidator("""");
        } catch (IllegalArgumentException e) {
        }

        try {
            new RegexValidator((String[])null);
        } catch (IllegalArgumentException e) {
        }

        try {
            new RegexValidator(new String[0]);
        } catch (IllegalArgumentException e) {
        }

        String[] expressions = new String[] {""ABC"", null};
        try {
            new RegexValidator(expressions);
        } catch (IllegalArgumentException e) {
        }

        expressions = new String[] {"""", ""ABC""};
        try {
            new RegexValidator(expressions);
        } catch (IllegalArgumentException e) {
            assertEquals(""Array has Zero Length"", ""Regular expression[0] is missing"", e.getMessage());
    }
    }",RegexValidatorTest::testMissingRegex_12_oe,org.apache.commons.validator.Field,getMessage(String key),"/**
     * Retrieve a message object.
     * @since Validator 1.1.4
     * @param key Validation key.
     * @return A validation message for a specified validator.
     */","public Msg getMessage(String key) {
        return getMsgMap().get(key);
    }"
vali_291_6,"    public void testInvalidLength_6_oe() {

        try {
            routine.calculate(""12345678"");
        } catch (Exception e) {
            assertEquals(""calculate() Lth 8"", ""Invalid ISBN Length = 8"", e.getMessage());
    }
    }",ISBNCheckDigitTest::testInvalidLength_6_oe,org.apache.commons.validator.Field,getMessage(String key),"/**
     * Retrieve a message object.
     * @since Validator 1.1.4
     * @param key Validation key.
     * @return A validation message for a specified validator.
     */","public Msg getMessage(String key) {
        return getMsgMap().get(key);
    }"
vali_291_8,"    public void testInvalidLength_8_oe() {

        try {
            routine.calculate(""12345678"");
        } catch (Exception e) {
        }

        try {
            routine.calculate(""1234567890"");
        } catch (Exception e) {
            assertEquals(""calculate() Lth 10"", ""Invalid ISBN Length = 10"", e.getMessage());
    }
    }",ISBNCheckDigitTest::testInvalidLength_8_oe,org.apache.commons.validator.Field,getMessage(String key),"/**
     * Retrieve a message object.
     * @since Validator 1.1.4
     * @param key Validation key.
     * @return A validation message for a specified validator.
     */","public Msg getMessage(String key) {
        return getMsgMap().get(key);
    }"
vali_291_10,"    public void testInvalidLength_10_oe() {

        try {
            routine.calculate(""12345678"");
        } catch (Exception e) {
        }

        try {
            routine.calculate(""1234567890"");
        } catch (Exception e) {
        }

        try {
            routine.calculate(""12345678901"");
        } catch (Exception e) {
            assertEquals(""calculate() Lth 11"", ""Invalid ISBN Length = 11"", e.getMessage());
    }
    }",ISBNCheckDigitTest::testInvalidLength_10_oe,org.apache.commons.validator.Field,getMessage(String key),"/**
     * Retrieve a message object.
     * @since Validator 1.1.4
     * @param key Validation key.
     * @return A validation message for a specified validator.
     */","public Msg getMessage(String key) {
        return getMsgMap().get(key);
    }"
