id,test_prefix,test_name
commons-collections4_3,"@Test
    public void max_oe() {
        final Comparator<Integer> reversed =
                ComparatorUtils.reversedComparator(ComparatorUtils.<Integer>naturalComparator());

        assertEquals(Integer.valueOf(10), ComparatorUtils.max(1, 10, null));
        assertEquals(Integer.valueOf(10), ComparatorUtils.max(10, -10, null));

        assertEquals(Integer.valueOf(1), ComparatorUtils.max(1, 10, reversed));
        assertEquals(Integer.valueOf(-10), ComparatorUtils.max(10, -10, reversed));

        try {
            ComparatorUtils.max(1, null, null);
            fail(""expecting NullPointerException"");
        } catch (final NullPointerException npe) {
            // expected
        }

        try {
            ComparatorUtils.max(null, 10, null);
            fail(""expecting NullPointerException"");
        } catch (final NullPointerException npe) {
            // expected
        }
    }",ComparatorUtilsTest::max_oe
commons-collections4_4,"@Test
    public void min_oe() {
        final Comparator<Integer> reversed =
                ComparatorUtils.reversedComparator(ComparatorUtils.<Integer>naturalComparator());

        assertEquals(Integer.valueOf(1), ComparatorUtils.min(1, 10, null));
        assertEquals(Integer.valueOf(-10), ComparatorUtils.min(10, -10, null));

        assertEquals(Integer.valueOf(10), ComparatorUtils.min(1, 10, reversed));
        assertEquals(Integer.valueOf(10), ComparatorUtils.min(10, -10, reversed));

        try {
            ComparatorUtils.min(1, null, null);
            fail(""expecting NullPointerException"");
        } catch (final NullPointerException npe) {
            // expected
        }

        try {
            ComparatorUtils.min(null, 10, null);
            fail(""expecting NullPointerException"");
        } catch (final NullPointerException npe) {
            // expected
        }
    }",ComparatorUtilsTest::min_oe
commons-collections4_7,"@Test
    public void difference_oe() {
        final SetView<Integer> set = SetUtils.difference(setA, setB);
        assertEquals(2, set.size());
        assertTrue(set.contains(1));
        assertTrue(set.contains(2));
        for (final Integer i : setB) {
            assertFalse(set.contains(i));
        }

        final Set<Integer> set2 = SetUtils.difference(setA, SetUtils.<Integer>emptySet());
        assertEquals(setA, set2);

        try {
            SetUtils.difference(setA, null);
            fail(""Expecting NullPointerException"");
        } catch (final NullPointerException npe) {
            // expected
        }

        try {
            SetUtils.difference(null, setA);
            fail(""Expecting NullPointerException"");
        } catch (final NullPointerException npe) {
            // expected
        }
    }",SetUtilsTest::difference_oe
commons-collections4_8,"@Test
    public void disjunction_oe() {
        final SetView<Integer> set = SetUtils.disjunction(setA, setB);
        assertEquals(4, set.size());
        assertTrue(set.contains(1));
        assertTrue(set.contains(2));
        assertTrue(set.contains(6));
        assertTrue(set.contains(7));
        assertFalse(set.contains(3));
        assertFalse(set.contains(4));
        assertFalse(set.contains(5));

        final Set<Integer> set2 = SetUtils.disjunction(setA, SetUtils.<Integer>emptySet());
        assertEquals(setA, set2);

        try {
            SetUtils.disjunction(setA, null);
            fail(""Expecting NullPointerException"");
        } catch (final NullPointerException npe) {
            // expected
        }

        try {
            SetUtils.disjunction(null, setA);
            fail(""Expecting NullPointerException"");
        } catch (final NullPointerException npe) {
            // expected
        }
    }",SetUtilsTest::disjunction_oe
commons-collections4_9,"@Test
    public void intersection_oe() {
        final SetView<Integer> set = SetUtils.intersection(setA, setB);
        assertEquals(3, set.size());
        assertTrue(set.contains(3));
        assertTrue(set.contains(4));
        assertTrue(set.contains(5));
        assertFalse(set.contains(1));
        assertFalse(set.contains(2));
        assertFalse(set.contains(6));
        assertFalse(set.contains(7));

        final Set<Integer> set2 = SetUtils.intersection(setA, SetUtils.<Integer>emptySet());
        assertEquals(SetUtils.<Integer>emptySet(), set2);

        try {
            SetUtils.intersection(setA, null);
            fail(""Expecting NullPointerException"");
        } catch (final NullPointerException npe) {
            // expected
        }

        try {
            SetUtils.intersection(null, setA);
            fail(""Expecting NullPointerException"");
        } catch (final NullPointerException npe) {
            // expected
        }
    }",SetUtilsTest::intersection_oe
commons-collections4_15,"@Test
    public void testpredicatedSet_oe() {
        final Predicate<Object> predicate = new Predicate<Object>() {
            @Override
            public boolean evaluate(final Object o) {
                return o instanceof String;
            }
        };
        final Set<Object> set = SetUtils.predicatedSet(new HashSet<>(), predicate);
        assertTrue(""returned object should be a PredicatedSet"", set instanceof PredicatedSet);
        try {
            SetUtils.predicatedSet(new HashSet<>(), null);
            fail(""Expecting NullPointerException for null predicate."");
        } catch (final NullPointerException ex) {
            // expected
        }
        try {
            SetUtils.predicatedSet(null, predicate);
            fail(""Expecting NullPointerException for null set."");
        } catch (final NullPointerException ex) {
            // expected
        }
    }",SetUtilsTest::testpredicatedSet_oe
commons-collections4_18,"@Test
    public void union_oe() {
        final SetView<Integer> set = SetUtils.union(setA, setB);
        assertEquals(7, set.size());
        assertTrue(set.containsAll(setA));
        assertTrue(set.containsAll(setB));

        final Set<Integer> set2 = SetUtils.union(setA, SetUtils.<Integer>emptySet());
        assertEquals(setA, set2);

        try {
            SetUtils.union(setA, null);
            fail(""Expecting NullPointerException"");
        } catch (final NullPointerException npe) {
            // expected
        }

        try {
            SetUtils.union(null, setA);
            fail(""Expecting NullPointerException"");
        } catch (final NullPointerException npe) {
            // expected
        }
    }",SetUtilsTest::union_oe
commons-collections4_25,"@Test
    public void testPredicatedList_oe() {
        final Predicate<Object> predicate = new Predicate<Object>() {
            @Override
            public boolean evaluate(final Object o) {
                return o instanceof String;
            }
        };
        final List<Object> list = ListUtils.predicatedList(new ArrayList<>(), predicate);
        assertTrue(""returned object should be a PredicatedList"", list instanceof PredicatedList);
        try {
            ListUtils.predicatedList(new ArrayList<>(), null);
            fail(""Expecting IllegalArgumentException for null predicate."");
        } catch (final NullPointerException ex) {
            // expected
        }
        try {
            ListUtils.predicatedList(null, predicate);
            fail(""Expecting IllegalArgumentException for null list."");
        } catch (final NullPointerException ex) {
            // expected
        }
    }",ListUtilsTest::testPredicatedList_oe
commons-collections4_32,"@Test
    public void testRetainAll_oe() {
        final List<String> sub = new ArrayList<>();
        sub.add(a);
        sub.add(b);
        sub.add(x);

        final List<String> retained = ListUtils.retainAll(fullList, sub);
        assertTrue(retained.size() == 2);
        sub.remove(x);
        assertTrue(retained.equals(sub));
        fullList.retainAll(sub);
        assertTrue(retained.equals(fullList));

        try {
            ListUtils.retainAll(null, null);
            fail(""expecting NullPointerException"");
        } catch(final NullPointerException npe){} // this is what we want
    }",ListUtilsTest::testRetainAll_oe
commons-collections4_33,"@Test
    public void testRemoveAll_oe() {
        final List<String> sub = new ArrayList<>();
        sub.add(a);
        sub.add(b);
        sub.add(x);

        final List<String> remainder = ListUtils.removeAll(fullList, sub);
        assertTrue(remainder.size() == 3);
        fullList.removeAll(sub);
        assertTrue(remainder.equals(fullList));

        try {
            ListUtils.removeAll(null, null);
            fail(""expecting NullPointerException"");
        } catch(final NullPointerException npe) {} // this is what we want
    }",ListUtilsTest::testRemoveAll_oe
