classname,method,docstring,method_definition
org.jsoup.UncheckedIOException,ioException(),,"public IOException ioException() {
        return (IOException) getCause();
    }"
org.jsoup.HttpStatusException,getStatusCode(),,"public int getStatusCode() {
        return statusCode;
    }"
org.jsoup.HttpStatusException,getUrl(),,"public String getUrl() {
        return url;
    }"
org.jsoup.Connection.Method,hasBody(),"/**
         * Check if this HTTP method has/needs a request body
         * @return if body needed
         */","public final boolean hasBody() {
            return hasBody;
        }"
org.jsoup.Connection,newRequest(),"/**
     Creates a new request, using this Connection as the session-state and to initialize the connection settings (which may then be independently on the returned Connection.Request object).
     @return a new Connection object, with a shared Cookie Store and initialized settings from this Connection and Request
     @since 1.14.1
     */",Connection newRequest();
org.jsoup.Connection,url(URL url),"/**
     * Set the request URL to fetch. The protocol must be HTTP or HTTPS.
     * @param url URL to connect to
     * @return this Connection, for chaining
     */",Connection url(URL url);
org.jsoup.Connection,url(String url),"/**
     * Set the request URL to fetch. The protocol must be HTTP or HTTPS.
     * @param url URL to connect to
     * @return this Connection, for chaining
     */",Connection url(String url);
org.jsoup.Connection,proxy(@Nullable Proxy proxy),"/**
     * Set the proxy to use for this request. Set to <code>null</code> to disable a previously set proxy.
     * @param proxy proxy to use
     * @return this Connection, for chaining
     */",Connection proxy(@Nullable Proxy proxy);
org.jsoup.Connection,"proxy(String host, int port)","/**
     * Set the HTTP proxy to use for this request.
     * @param host the proxy hostname
     * @param port the proxy port
     * @return this Connection, for chaining
     */","Connection proxy(String host, int port);"
org.jsoup.Connection,userAgent(String userAgent),"/**
     * Set the request user-agent header.
     * @param userAgent user-agent to use
     * @return this Connection, for chaining
     * @see org.jsoup.helper.HttpConnection#DEFAULT_UA
     */",Connection userAgent(String userAgent);
org.jsoup.Connection,timeout(int millis),"/**
     * Set the total request timeout duration. If a timeout occurs, an {@link java.net.SocketTimeoutException} will be thrown.
     * <p>The default timeout is <b>30 seconds</b> (30,000 millis). A timeout of zero is treated as an infinite timeout.
     * <p>Note that this timeout specifies the combined maximum duration of the connection time and the time to read
     * the full response.
     * @param millis number of milliseconds (thousandths of a second) before timing out connects or reads.
     * @return this Connection, for chaining
     * @see #maxBodySize(int)
     */",Connection timeout(int millis);
