id,test_prefix,test_name,mut_class,method_under_test,mut_docstring,mut_method_definition
rng_1_1,"    @Test
    void testCurrentThrowsForNullRandomSource_1_oe() {
        Assertions.assertThrows(IllegalArgumentException.class, () -> ThreadLocalRandomSource.current(null));
    }
",ThreadLocalRandomSourceTest::testCurrentThrowsForNullRandomSource_1_oe,org.apache.commons.rng.simple.ThreadLocalRandomSource,current(RandomSource source),"/**
     * Returns the current thread's copy of the given {@code source}. If there is no
     * value for the current thread, it is first initialized to the value returned
     * by {@link RandomSource#create()}.
     *
     * <p>Note if the {@code source} requires additional arguments then it is not
     * supported.
     *
     * @param source the source
     * @return the current thread's value of the {@code source}.
     * @throws IllegalArgumentException if the source is null or the source requires arguments
     */","public static UniformRandomProvider current(RandomSource source) {
        ThreadLocal<UniformRandomProvider> rng = SOURCES.get(source);
        // Implement double-checked locking:
        // https://en.wikipedia.org/wiki/Double-checked_locking#Usage_in_Java
        if (rng == null) {
            // Do the checks on the source here since it is an edge case
            // and the EnumMap handles null (returning null).
            if (source == null) {
                throw new IllegalArgumentException(""Random source is null"");
            }

            synchronized (SOURCES) {
                rng = SOURCES.get(source);
                if (rng == null) {
                    rng = new ThreadLocalRng(source);
                    SOURCES.put(source, rng);
                }
            }
        }
        return rng.get();
    }"
rng_2_1,"    @Test
    void testCurrentThrowsForRandomSourceWithDataArguments_1_oe() {
        Assertions.assertThrows(IllegalArgumentException.class, () -> ThreadLocalRandomSource.current(RandomSource.TWO_CMRES_SELECT));
    }
",ThreadLocalRandomSourceTest::testCurrentThrowsForRandomSourceWithDataArguments_1_oe,org.apache.commons.rng.simple.ThreadLocalRandomSource,current(RandomSource source),"/**
     * Returns the current thread's copy of the given {@code source}. If there is no
     * value for the current thread, it is first initialized to the value returned
     * by {@link RandomSource#create()}.
     *
     * <p>Note if the {@code source} requires additional arguments then it is not
     * supported.
     *
     * @param source the source
     * @return the current thread's value of the {@code source}.
     * @throws IllegalArgumentException if the source is null or the source requires arguments
     */","public static UniformRandomProvider current(RandomSource source) {
        ThreadLocal<UniformRandomProvider> rng = SOURCES.get(source);
        // Implement double-checked locking:
        // https://en.wikipedia.org/wiki/Double-checked_locking#Usage_in_Java
        if (rng == null) {
            // Do the checks on the source here since it is an edge case
            // and the EnumMap handles null (returning null).
            if (source == null) {
                throw new IllegalArgumentException(""Random source is null"");
            }

            synchronized (SOURCES) {
                rng = SOURCES.get(source);
                if (rng == null) {
                    rng = new ThreadLocalRng(source);
                    SOURCES.put(source, rng);
                }
            }
        }
        return rng.get();
    }"
rng_5_1,"    @Test
    void testNextLongInRangeThrows_1_oe() {
         UniformRandomProvider rng1 = new JDKRandomWrapper(new Random(5675767L));
        Assertions.assertThrows(IllegalArgumentException.class, () -> rng1.nextLong(0));
    }
",JDKRandomWrapperTest::testNextLongInRangeThrows_1_oe,org.apache.commons.rng.UniformRandomProvider,nextLong(),"/**
     * Generates a {@code long} value.
     *
     * @return the next random value.
     */",long nextLong();
rng_6_1,"    @ParameterizedTest
    @MethodSource(""getProvidersTestData"")
    void testUnsupportedSeedType_1_oe(ProvidersList.Data data) {
         byte seed = 123;
        Assertions.assertThrows(UnsupportedOperationException.class, () -> data.getSource().create(seed, data.getArgs()));
    }
",ProvidersCommonParametricTest::testUnsupportedSeedType_1_oe,org.apache.commons.rng.simple.internal.ProviderBuilder.RandomSourceInternal,getArgs(),"/**
         * Gets the parameter types of the data needed to build the generator.
         *
         * @return the data needed to build the generator.
         */","Class<?>[] getArgs() {
            return args;
        }"
rng_9_1,"    @ParameterizedTest
    @MethodSource(""getProvidersTestData"")
    void testCreateMethodThrowsWithIncorrectArguments_1_oe(ProvidersList.Data data) {
         RandomSource originalSource = data.getSource();
         Object[] originalArgs = data.getArgs();
        if (originalArgs == null) {
            // Try passing arguments to a provider that does not require them
            int arg1 = 123;
            double arg2 = 456.0;
            Assertions.assertThrows(IllegalArgumentException.class, () -> originalSource.create(arg1, arg2), () -> ""Source does not require arguments: "" + originalSource);
    }
    }
",ProvidersCommonParametricTest::testCreateMethodThrowsWithIncorrectArguments_1_oe,org.apache.commons.rng.simple.RandomSource,create(),"/**
     * Creates a random number generator with a random seed.
     *
     * <p>Usage example:</p>
     * <pre><code>
     *  UniformRandomProvider rng = RandomSource.MT.create();
     * </code></pre>
     * <p>or, if a {@link RestorableUniformRandomProvider ""save/restore""} functionality is needed,</p>
     * <pre><code>
     *  RestorableUniformRandomProvider rng = RandomSource.MT.create();
     * </code></pre>
     *
     * <p>This method will raise an exception if the generator requires arguments in addition
     * to a seed (e.g. {@link #TWO_CMRES_SELECT}).</p>
     *
     * @return the RNG.
     * @throws IllegalArgumentException if the generator requires arguments in addition
     * to a seed.
     *
     * @see #create(Object,Object[])
     * @since 1.4
     */","public RestorableUniformRandomProvider create() {
        return ProviderBuilder.create(getInternalIdentifier());
    }"
rng_9_2,"    @ParameterizedTest
    @MethodSource(""getProvidersTestData"")
    void testCreateMethodThrowsWithIncorrectArguments_2_oe(ProvidersList.Data data) {
         RandomSource originalSource = data.getSource();
         Object[] originalArgs = data.getArgs();
        if (originalArgs == null) {
            // Try passing arguments to a provider that does not require them
            int arg1 = 123;
            double arg2 = 456.0;
            // removed other assertion
        } else {
            // Try no arguments for a provider that does require them
            Assertions.assertThrows(IllegalArgumentException.class, () -> originalSource.create(), () -> ""Source requires arguments: "" + originalSource);
    }
    }
",ProvidersCommonParametricTest::testCreateMethodThrowsWithIncorrectArguments_2_oe,org.apache.commons.rng.simple.RandomSource,create(),"/**
     * Creates a random number generator with a random seed.
     *
     * <p>Usage example:</p>
     * <pre><code>
     *  UniformRandomProvider rng = RandomSource.MT.create();
     * </code></pre>
     * <p>or, if a {@link RestorableUniformRandomProvider ""save/restore""} functionality is needed,</p>
     * <pre><code>
     *  RestorableUniformRandomProvider rng = RandomSource.MT.create();
     * </code></pre>
     *
     * <p>This method will raise an exception if the generator requires arguments in addition
     * to a seed (e.g. {@link #TWO_CMRES_SELECT}).</p>
     *
     * @return the RNG.
     * @throws IllegalArgumentException if the generator requires arguments in addition
     * to a seed.
     *
     * @see #create(Object,Object[])
     * @since 1.4
     */","public RestorableUniformRandomProvider create() {
        return ProviderBuilder.create(getInternalIdentifier());
    }"
rng_11_2,"    @ParameterizedTest
    @MethodSource(""getProvidersTestData"")
    void testUnrestorable_2_oe(ProvidersList.Data data) {
         RandomSource originalSource = data.getSource();
         Object originalSeed = data.getSeed();
         Object[] originalArgs = data.getArgs();
        // Create two generators of the same type as the one being tested.
         UniformRandomProvider rng1 = originalSource.create(originalSeed, originalArgs);
         UniformRandomProvider rng2 = RandomSource.unrestorable(originalSource.create(originalSeed, originalArgs));

        // Ensure that they generate the same values.
        // removed other assertion

        // Cast must work.
         RestorableUniformRandomProvider restorable = (RestorableUniformRandomProvider) rng1;
        // Cast must fail.
        Assertions.assertThrows(ClassCastException.class, () -> { RestorableUniformRandomProvider dummy = (RestorableUniformRandomProvider) rng2; });
    }
",ProvidersCommonParametricTest::testUnrestorable_2_oe,org.apache.commons.rng.simple.RandomSource,create(),"/**
     * Creates a random number generator with a random seed.
     *
     * <p>Usage example:</p>
     * <pre><code>
     *  UniformRandomProvider rng = RandomSource.MT.create();
     * </code></pre>
     * <p>or, if a {@link RestorableUniformRandomProvider ""save/restore""} functionality is needed,</p>
     * <pre><code>
     *  RestorableUniformRandomProvider rng = RandomSource.MT.create();
     * </code></pre>
     *
     * <p>This method will raise an exception if the generator requires arguments in addition
     * to a seed (e.g. {@link #TWO_CMRES_SELECT}).</p>
     *
     * @return the RNG.
     * @throws IllegalArgumentException if the generator requires arguments in addition
     * to a seed.
     *
     * @see #create(Object,Object[])
     * @since 1.4
     */","public RestorableUniformRandomProvider create() {
        return ProviderBuilder.create(getInternalIdentifier());
    }"
rng_28_1,"    @ParameterizedTest
    @EnumSource
    void testCannotConvertUnsupportedSeed_1_oe(NativeSeedType nativeSeedType) {
         int size = 3;
        for ( Object input : UNSUPPORTED_SEEDS) {
            Assertions.assertThrows(UnsupportedOperationException.class, () -> nativeSeedType.convertSeed(input, size));
    }
    }
",NativeSeedTypeParametricTest::testCannotConvertUnsupportedSeed_1_oe,org.apache.commons.rng.simple.internal.ProviderBuilder.RandomSourceInternal,convertSeed(Object seed),,"@Override
            protected Object convertSeed(Object seed) {
                // Allow seeding with primitives to generate a good seed
                if (seed instanceof Integer) {
                    return createMswsSeed((Integer) seed);
                } else if (seed instanceof Long) {
                    return createMswsSeed((Long) seed);
                }
                // Other types (e.g. the native long[]) are handled by the default conversion
                return super.convertSeed(seed);
            }"
rng_29_1,"    @Test
    void testConvertSeedToBytesUsingNullThrows_1_oe() {
        Assertions.assertThrows(UnsupportedOperationException.class, () -> NativeSeedType.convertSeedToBytes(null));
    }
",NativeSeedTypeTest::testConvertSeedToBytesUsingNullThrows_1_oe,org.apache.commons.rng.simple.internal.NativeSeedType,convertSeedToBytes(Object seed),"/**
     * Converts the input seed from any of the supported seed types to bytes.
     *
     * @param seed Input seed.
     * @return the seed bytes.
     * @throws UnsupportedOperationException if the {@code seed} type is invalid.
     */","public static byte[] convertSeedToBytes(Object seed) {
        if (seed instanceof Integer) {
            return NumberFactory.makeByteArray((Integer) seed);
        } else if (seed instanceof Long) {
            return NumberFactory.makeByteArray((Long) seed);
        } else if (seed instanceof int[]) {
            return NumberFactory.makeByteArray((int[]) seed);
        } else if (seed instanceof long[]) {
            return NumberFactory.makeByteArray((long[]) seed);
        } else if (seed instanceof byte[]) {
            return (byte[]) seed;
        }

        throw new UnsupportedOperationException(UNRECOGNISED_SEED + seed);
    }"
rng_33_1,"    @ParameterizedTest
    @EnumSource
    void testCannotConvertUnsupportedSeed_1_oe(RandomSourceInternal randomSourceInternal) {
        for ( Object input : UNSUPPORTED_SEEDS) {
            Assertions.assertThrows(UnsupportedOperationException.class, () -> randomSourceInternal.convertSeed(input), () -> input.getClass() + "" input seed was not rejected as unsupported"");
    }
    }
",RandomSourceInternalParametricTest::testCannotConvertUnsupportedSeed_1_oe,org.apache.commons.rng.simple.internal.ProviderBuilder.RandomSourceInternal,convertSeed(Object seed),,"@Override
            protected Object convertSeed(Object seed) {
                // Allow seeding with primitives to generate a good seed
                if (seed instanceof Integer) {
                    return createMswsSeed((Integer) seed);
                } else if (seed instanceof Long) {
                    return createMswsSeed((Long) seed);
                }
                // Other types (e.g. the native long[]) are handled by the default conversion
                return super.convertSeed(seed);
            }"
