id,test_prefix,test_name
jexl_521_4,"    @Test
    public void testFunctorOne_4_oe() throws Exception {
        final JexlContext ctxt = new MapContext();
        ctxt.set(""value"", 1000);

        // create a class foo1 with a ctor whose body gets a value
        // from the context to initialize its value
        final ClassCreator cctor = new ClassCreator(jexl, base);
        cctor.setSeed(1);
        cctor.setCtorBody(""value = (Integer) ctxt.get(\""value\"") + 10;"");
        Class<?> foo1 = cctor.createClass(true);
        // removed other assertion
        // removed other assertion
        Object result = cctor.newInstance(foo1, ctxt);
        // removed other assertion
        jexl.setClassLoader(cctor.getClassLoader());
        cctor.clear();

        // check we can invoke that ctor using its name or class
        final JexlScript script = jexl.createScript(""(c)->{ new(c).value; }"");
        result = script.execute(ctxt, foo1);
        Assert.assertEquals(1010, result);
    }
",ClassCreatorTest::testFunctorOne_4_oe
jexl_521_5,"    @Test
    public void testFunctorOne_5_oe() throws Exception {
        final JexlContext ctxt = new MapContext();
        ctxt.set(""value"", 1000);

        // create a class foo1 with a ctor whose body gets a value
        // from the context to initialize its value
        final ClassCreator cctor = new ClassCreator(jexl, base);
        cctor.setSeed(1);
        cctor.setCtorBody(""value = (Integer) ctxt.get(\""value\"") + 10;"");
        Class<?> foo1 = cctor.createClass(true);
        // removed other assertion
        // removed other assertion
        Object result = cctor.newInstance(foo1, ctxt);
        // removed other assertion
        jexl.setClassLoader(cctor.getClassLoader());
        cctor.clear();

        // check we can invoke that ctor using its name or class
        final JexlScript script = jexl.createScript(""(c)->{ new(c).value; }"");
        result = script.execute(ctxt, foo1);
        // removed other assertion
        result = script.execute(ctxt, foo1.getName());
        Assert.assertEquals(1010, result);
    }
",ClassCreatorTest::testFunctorOne_5_oe
jexl_521_6,"    @Test
    public void testFunctorOne_6_oe() throws Exception {
        final JexlContext ctxt = new MapContext();
        ctxt.set(""value"", 1000);

        // create a class foo1 with a ctor whose body gets a value
        // from the context to initialize its value
        final ClassCreator cctor = new ClassCreator(jexl, base);
        cctor.setSeed(1);
        cctor.setCtorBody(""value = (Integer) ctxt.get(\""value\"") + 10;"");
        Class<?> foo1 = cctor.createClass(true);
        // removed other assertion
        // removed other assertion
        Object result = cctor.newInstance(foo1, ctxt);
        // removed other assertion
        jexl.setClassLoader(cctor.getClassLoader());
        cctor.clear();

        // check we can invoke that ctor using its name or class
        final JexlScript script = jexl.createScript(""(c)->{ new(c).value; }"");
        result = script.execute(ctxt, foo1);
        // removed other assertion
        result = script.execute(ctxt, foo1.getName());
        // removed other assertion

        // re-create foo1 with a different body!
        cctor.setSeed(1);
        cctor.setCtorBody(""value = (Integer) ctxt.get(\""value\"") + 99;"");
        final Class<?> foo11 = cctor.createClass(true);
        Assert.assertEquals(""foo1"", foo1.getSimpleName());
    }
",ClassCreatorTest::testFunctorOne_6_oe
jexl_521_7,"    @Test
    public void testFunctorOne_7_oe() throws Exception {
        final JexlContext ctxt = new MapContext();
        ctxt.set(""value"", 1000);

        // create a class foo1 with a ctor whose body gets a value
        // from the context to initialize its value
        final ClassCreator cctor = new ClassCreator(jexl, base);
        cctor.setSeed(1);
        cctor.setCtorBody(""value = (Integer) ctxt.get(\""value\"") + 10;"");
        Class<?> foo1 = cctor.createClass(true);
        // removed other assertion
        // removed other assertion
        Object result = cctor.newInstance(foo1, ctxt);
        // removed other assertion
        jexl.setClassLoader(cctor.getClassLoader());
        cctor.clear();

        // check we can invoke that ctor using its name or class
        final JexlScript script = jexl.createScript(""(c)->{ new(c).value; }"");
        result = script.execute(ctxt, foo1);
        // removed other assertion
        result = script.execute(ctxt, foo1.getName());
        // removed other assertion

        // re-create foo1 with a different body!
        cctor.setSeed(1);
        cctor.setCtorBody(""value = (Integer) ctxt.get(\""value\"") + 99;"");
        final Class<?> foo11 = cctor.createClass(true);
        // removed other assertion
        Assert.assertNotSame(foo11, foo1);
    }
",ClassCreatorTest::testFunctorOne_7_oe
jexl_521_8,"    @Test
    public void testFunctorOne_8_oe() throws Exception {
        final JexlContext ctxt = new MapContext();
        ctxt.set(""value"", 1000);

        // create a class foo1 with a ctor whose body gets a value
        // from the context to initialize its value
        final ClassCreator cctor = new ClassCreator(jexl, base);
        cctor.setSeed(1);
        cctor.setCtorBody(""value = (Integer) ctxt.get(\""value\"") + 10;"");
        Class<?> foo1 = cctor.createClass(true);
        // removed other assertion
        // removed other assertion
        Object result = cctor.newInstance(foo1, ctxt);
        // removed other assertion
        jexl.setClassLoader(cctor.getClassLoader());
        cctor.clear();

        // check we can invoke that ctor using its name or class
        final JexlScript script = jexl.createScript(""(c)->{ new(c).value; }"");
        result = script.execute(ctxt, foo1);
        // removed other assertion
        result = script.execute(ctxt, foo1.getName());
        // removed other assertion

        // re-create foo1 with a different body!
        cctor.setSeed(1);
        cctor.setCtorBody(""value = (Integer) ctxt.get(\""value\"") + 99;"");
        final Class<?> foo11 = cctor.createClass(true);
        // removed other assertion
        // removed other assertion
        foo1 = foo11;
        result = cctor.newInstance(foo1, ctxt);
        Assert.assertEquals(foo1, result.getClass());
    }
",ClassCreatorTest::testFunctorOne_8_oe
jexl_521_9,"    @Test
    public void testFunctorOne_9_oe() throws Exception {
        final JexlContext ctxt = new MapContext();
        ctxt.set(""value"", 1000);

        // create a class foo1 with a ctor whose body gets a value
        // from the context to initialize its value
        final ClassCreator cctor = new ClassCreator(jexl, base);
        cctor.setSeed(1);
        cctor.setCtorBody(""value = (Integer) ctxt.get(\""value\"") + 10;"");
        Class<?> foo1 = cctor.createClass(true);
        // removed other assertion
        // removed other assertion
        Object result = cctor.newInstance(foo1, ctxt);
        // removed other assertion
        jexl.setClassLoader(cctor.getClassLoader());
        cctor.clear();

        // check we can invoke that ctor using its name or class
        final JexlScript script = jexl.createScript(""(c)->{ new(c).value; }"");
        result = script.execute(ctxt, foo1);
        // removed other assertion
        result = script.execute(ctxt, foo1.getName());
        // removed other assertion

        // re-create foo1 with a different body!
        cctor.setSeed(1);
        cctor.setCtorBody(""value = (Integer) ctxt.get(\""value\"") + 99;"");
        final Class<?> foo11 = cctor.createClass(true);
        // removed other assertion
        // removed other assertion
        foo1 = foo11;
        result = cctor.newInstance(foo1, ctxt);
        // removed other assertion
        // drum rolll....
        jexl.setClassLoader(foo1.getClassLoader());
        result = script.execute(ctxt, foo1.getName());
        // tada!
        Assert.assertEquals(1099, result);
    }
",ClassCreatorTest::testFunctorOne_9_oe
jexl_523_3,"    @Test
    public void testMany_3_oe() throws Exception {
        // abort test if class creator can not run
        if (!ClassCreator.canRun) {
            return;
        }
        int pass = 0;
        int gced = -1;
        final ReferenceQueue<Object> queue = new ReferenceQueue<Object>();
        final List<Reference<?>> stuff = new ArrayList<Reference<?>>();
        // keeping a reference on methods prevent classes from being GCed
//        List<Object> mm = new ArrayList<Object>();
        final JexlExpression expr = jexl.createExpression(""foo.value"");
        final JexlExpression newx = jexl.createExpression(""foo = new(clazz)"");
        final JexlEvalContext context = new JexlEvalContext();
        final JexlOptions options = context.getEngineOptions();
        options.setStrict(false);
        options.setSilent(true);

        final ClassCreator cctor = new ClassCreator(jexl, base);
        for (int i = 0; i < LOOPS && gced < 0; ++i) {
            cctor.setSeed(i);
            Class<?> clazz;
            if (pass == 0) {
                clazz = cctor.createClass();
            } else {
                clazz = cctor.getClassInstance();
                if (clazz == null) {
                    // removed other assertion
                    break;
                }
            }
            // this code verifies the assumption that holding a strong reference to a method prevents
            // its owning class from being GCed
//          Method m = clazz.getDeclaredMethod(""getValue"", new Class<?>[0]);
//          mm.add(m);
            // we should not be able to create foox since it is unknown to the JEXL classloader
            context.set(""clazz"", cctor.getClassName());
            context.set(""foo"", null);
            Object z = newx.evaluate(context);
            // removed other assertion
            // check with the class itself
            context.set(""clazz"", clazz);
            z = newx.evaluate(context);
            Assert.assertNotNull(clazz + "": class "" + i + "" could not be instantiated on pass "" + pass, z);
    }
    }
",ClassCreatorTest::testMany_3_oe
jexl_523_4,"    @Test
    public void testMany_4_oe() throws Exception {
        // abort test if class creator can not run
        if (!ClassCreator.canRun) {
            return;
        }
        int pass = 0;
        int gced = -1;
        final ReferenceQueue<Object> queue = new ReferenceQueue<Object>();
        final List<Reference<?>> stuff = new ArrayList<Reference<?>>();
        // keeping a reference on methods prevent classes from being GCed
//        List<Object> mm = new ArrayList<Object>();
        final JexlExpression expr = jexl.createExpression(""foo.value"");
        final JexlExpression newx = jexl.createExpression(""foo = new(clazz)"");
        final JexlEvalContext context = new JexlEvalContext();
        final JexlOptions options = context.getEngineOptions();
        options.setStrict(false);
        options.setSilent(true);

        final ClassCreator cctor = new ClassCreator(jexl, base);
        for (int i = 0; i < LOOPS && gced < 0; ++i) {
            cctor.setSeed(i);
            Class<?> clazz;
            if (pass == 0) {
                clazz = cctor.createClass();
            } else {
                clazz = cctor.getClassInstance();
                if (clazz == null) {
                    // removed other assertion
                    break;
                }
            }
            // this code verifies the assumption that holding a strong reference to a method prevents
            // its owning class from being GCed
//          Method m = clazz.getDeclaredMethod(""getValue"", new Class<?>[0]);
//          mm.add(m);
            // we should not be able to create foox since it is unknown to the JEXL classloader
            context.set(""clazz"", cctor.getClassName());
            context.set(""foo"", null);
            Object z = newx.evaluate(context);
            // removed other assertion
            // check with the class itself
            context.set(""clazz"", clazz);
            z = newx.evaluate(context);
            // removed other assertion
            Assert.assertEquals(new Integer(i), expr.evaluate(context));
    }
    }
",ClassCreatorTest::testMany_4_oe
jexl_523_5,"    @Test
    public void testMany_5_oe() throws Exception {
        // abort test if class creator can not run
        if (!ClassCreator.canRun) {
            return;
        }
        int pass = 0;
        int gced = -1;
        final ReferenceQueue<Object> queue = new ReferenceQueue<Object>();
        final List<Reference<?>> stuff = new ArrayList<Reference<?>>();
        // keeping a reference on methods prevent classes from being GCed
//        List<Object> mm = new ArrayList<Object>();
        final JexlExpression expr = jexl.createExpression(""foo.value"");
        final JexlExpression newx = jexl.createExpression(""foo = new(clazz)"");
        final JexlEvalContext context = new JexlEvalContext();
        final JexlOptions options = context.getEngineOptions();
        options.setStrict(false);
        options.setSilent(true);

        final ClassCreator cctor = new ClassCreator(jexl, base);
        for (int i = 0; i < LOOPS && gced < 0; ++i) {
            cctor.setSeed(i);
            Class<?> clazz;
            if (pass == 0) {
                clazz = cctor.createClass();
            } else {
                clazz = cctor.getClassInstance();
                if (clazz == null) {
                    // removed other assertion
                    break;
                }
            }
            // this code verifies the assumption that holding a strong reference to a method prevents
            // its owning class from being GCed
//          Method m = clazz.getDeclaredMethod(""getValue"", new Class<?>[0]);
//          mm.add(m);
            // we should not be able to create foox since it is unknown to the JEXL classloader
            context.set(""clazz"", cctor.getClassName());
            context.set(""foo"", null);
            Object z = newx.evaluate(context);
            // removed other assertion
            // check with the class itself
            context.set(""clazz"", clazz);
            z = newx.evaluate(context);
            // removed other assertion
            // removed other assertion
            // with the proper class loader, attempt to create an instance from the class name
            jexl.setClassLoader(cctor.getClassLoader());
            z = newx.evaluate(context);
            Assert.assertEquals(z.getClass(), clazz);
    }
    }
",ClassCreatorTest::testMany_5_oe
jexl_523_6,"    @Test
    public void testMany_6_oe() throws Exception {
        // abort test if class creator can not run
        if (!ClassCreator.canRun) {
            return;
        }
        int pass = 0;
        int gced = -1;
        final ReferenceQueue<Object> queue = new ReferenceQueue<Object>();
        final List<Reference<?>> stuff = new ArrayList<Reference<?>>();
        // keeping a reference on methods prevent classes from being GCed
//        List<Object> mm = new ArrayList<Object>();
        final JexlExpression expr = jexl.createExpression(""foo.value"");
        final JexlExpression newx = jexl.createExpression(""foo = new(clazz)"");
        final JexlEvalContext context = new JexlEvalContext();
        final JexlOptions options = context.getEngineOptions();
        options.setStrict(false);
        options.setSilent(true);

        final ClassCreator cctor = new ClassCreator(jexl, base);
        for (int i = 0; i < LOOPS && gced < 0; ++i) {
            cctor.setSeed(i);
            Class<?> clazz;
            if (pass == 0) {
                clazz = cctor.createClass();
            } else {
                clazz = cctor.getClassInstance();
                if (clazz == null) {
                    // removed other assertion
                    break;
                }
            }
            // this code verifies the assumption that holding a strong reference to a method prevents
            // its owning class from being GCed
//          Method m = clazz.getDeclaredMethod(""getValue"", new Class<?>[0]);
//          mm.add(m);
            // we should not be able to create foox since it is unknown to the JEXL classloader
            context.set(""clazz"", cctor.getClassName());
            context.set(""foo"", null);
            Object z = newx.evaluate(context);
            // removed other assertion
            // check with the class itself
            context.set(""clazz"", clazz);
            z = newx.evaluate(context);
            // removed other assertion
            // removed other assertion
            // with the proper class loader, attempt to create an instance from the class name
            jexl.setClassLoader(cctor.getClassLoader());
            z = newx.evaluate(context);
            // removed other assertion
            Assert.assertEquals(new Integer(i), expr.evaluate(context));
    }
    }
",ClassCreatorTest::testMany_6_oe
