id,test_prefix,test_name
lang_59_2,"    @Test
    public void testLANG807_2_oe() {
        final IllegalArgumentException ex =
                // removed other assertion
        final String msg = ex.getMessage();
        assertTrue(msg.contains(""start""), ""Message ("" + msg + "") must contain 'start'"");
    }
",RandomStringUtilsTest::testLANG807_2_oe
lang_59_3,"    @Test
    public void testLANG807_3_oe() {
        final IllegalArgumentException ex =
                // removed other assertion
        final String msg = ex.getMessage();
        // removed other assertion
        assertTrue(msg.contains(""end""), ""Message ("" + msg + "") must contain 'end'"");
    }
",RandomStringUtilsTest::testLANG807_3_oe
lang_78_1,"    @TestFactory
    public Stream<DynamicTest> simpleStreamForEachFailing_1_oe() {
        final List<String> input = Arrays.asList(""1"", ""2"", ""3"", ""4"", ""5"", ""6"");

        return Stream.of(

                dynamicTest(""IllegalArgumentException"", () -> {
                    final IllegalArgumentException ise = new IllegalArgumentException();
                    final Executable testMethod = () -> Functions.stream(input)
                            .forEach(asIntConsumer(ise));
                    final IllegalArgumentException thrown = assertThrows(IllegalArgumentException.class, testMethod);
    }
    }
",StreamsTest::simpleStreamForEachFailing_1_oe
lang_78_2,"    @TestFactory
    public Stream<DynamicTest> simpleStreamForEachFailing_2_oe() {
        final List<String> input = Arrays.asList(""1"", ""2"", ""3"", ""4"", ""5"", ""6"");

        return Stream.of(

                dynamicTest(""IllegalArgumentException"", () -> {
                    final IllegalArgumentException ise = new IllegalArgumentException();
                    final Executable testMethod = () -> Functions.stream(input)
                            .forEach(asIntConsumer(ise));
                    // removed other assertion
                    assertThat(thrown.getMessage(), is(nullValue()));
    }
    }
",StreamsTest::simpleStreamForEachFailing_2_oe
lang_78_3,"    @TestFactory
    public Stream<DynamicTest> simpleStreamForEachFailing_3_oe() {
        final List<String> input = Arrays.asList(""1"", ""2"", ""3"", ""4"", ""5"", ""6"");

        return Stream.of(

                dynamicTest(""IllegalArgumentException"", () -> {
                    final IllegalArgumentException ise = new IllegalArgumentException();
                    final Executable testMethod = () -> Functions.stream(input)
                            .forEach(asIntConsumer(ise));
                    // removed other assertion
                    // removed other assertion
                }),

                dynamicTest(""OutOfMemoryError"", () -> {
                    final OutOfMemoryError oome = new OutOfMemoryError();
                    final Executable oomeTestMethod = () -> Functions.stream(input)
                            .forEach(asIntConsumer(oome));
                    final OutOfMemoryError oomeThrown = assertThrows(OutOfMemoryError.class, oomeTestMethod);
    }
    }
",StreamsTest::simpleStreamForEachFailing_3_oe
lang_78_4,"    @TestFactory
    public Stream<DynamicTest> simpleStreamForEachFailing_4_oe() {
        final List<String> input = Arrays.asList(""1"", ""2"", ""3"", ""4"", ""5"", ""6"");

        return Stream.of(

                dynamicTest(""IllegalArgumentException"", () -> {
                    final IllegalArgumentException ise = new IllegalArgumentException();
                    final Executable testMethod = () -> Functions.stream(input)
                            .forEach(asIntConsumer(ise));
                    // removed other assertion
                    // removed other assertion
                }),

                dynamicTest(""OutOfMemoryError"", () -> {
                    final OutOfMemoryError oome = new OutOfMemoryError();
                    final Executable oomeTestMethod = () -> Functions.stream(input)
                            .forEach(asIntConsumer(oome));
                    // removed other assertion
                    assertThat(oomeThrown.getMessage(), is(nullValue()));
    }
    }
",StreamsTest::simpleStreamForEachFailing_4_oe
lang_78_5,"    @TestFactory
    public Stream<DynamicTest> simpleStreamForEachFailing_5_oe() {
        final List<String> input = Arrays.asList(""1"", ""2"", ""3"", ""4"", ""5"", ""6"");

        return Stream.of(

                dynamicTest(""IllegalArgumentException"", () -> {
                    final IllegalArgumentException ise = new IllegalArgumentException();
                    final Executable testMethod = () -> Functions.stream(input)
                            .forEach(asIntConsumer(ise));
                    // removed other assertion
                    // removed other assertion
                }),

                dynamicTest(""OutOfMemoryError"", () -> {
                    final OutOfMemoryError oome = new OutOfMemoryError();
                    final Executable oomeTestMethod = () -> Functions.stream(input)
                            .forEach(asIntConsumer(oome));
                    // removed other assertion
                    // removed other assertion
                }),

                dynamicTest(""SAXException"", () -> {
                    final SAXException se = new SAXException();
                    final Executable seTestMethod = () -> Functions.stream(input)
                            .forEach(asIntConsumer(se));
                    final UndeclaredThrowableException seThrown = assertThrows(UndeclaredThrowableException.class, seTestMethod);
    }
    }
",StreamsTest::simpleStreamForEachFailing_5_oe
lang_78_6,"    @TestFactory
    public Stream<DynamicTest> simpleStreamForEachFailing_6_oe() {
        final List<String> input = Arrays.asList(""1"", ""2"", ""3"", ""4"", ""5"", ""6"");

        return Stream.of(

                dynamicTest(""IllegalArgumentException"", () -> {
                    final IllegalArgumentException ise = new IllegalArgumentException();
                    final Executable testMethod = () -> Functions.stream(input)
                            .forEach(asIntConsumer(ise));
                    // removed other assertion
                    // removed other assertion
                }),

                dynamicTest(""OutOfMemoryError"", () -> {
                    final OutOfMemoryError oome = new OutOfMemoryError();
                    final Executable oomeTestMethod = () -> Functions.stream(input)
                            .forEach(asIntConsumer(oome));
                    // removed other assertion
                    // removed other assertion
                }),

                dynamicTest(""SAXException"", () -> {
                    final SAXException se = new SAXException();
                    final Executable seTestMethod = () -> Functions.stream(input)
                            .forEach(asIntConsumer(se));
                    // removed other assertion
                    assertAll( () -> assertThat(seThrown.getMessage(), is(nullValue())), () -> assertThat(seThrown.getCause(), is(equalTo(se))) );
    }
    }
",StreamsTest::simpleStreamForEachFailing_6_oe
lang_79_1,"    @TestFactory
    public Stream<DynamicTest> simpleStreamFilterFailing_1_oe() {
        final List<String> input = Arrays.asList(""1"", ""2"", ""3"", ""4"", ""5"", ""6"");
        final List<Integer> output = Functions.stream(input)
                .map(Integer::valueOf)
                .filter(asIntPredicate(null))
                .collect(Collectors.toList());
        assertEvenNumbers(output);

        return Stream.of(

                dynamicTest(""IllegalArgumentException"", () -> {
                    final IllegalArgumentException iae = new IllegalArgumentException(""Invalid argument: "" + 5);
                    final Executable testMethod = () -> Functions.stream(input)
                            .map(Integer::valueOf)
                            .filter(asIntPredicate(iae))
                            .collect(Collectors.toList());
                    final IllegalArgumentException thrown = assertThrows(IllegalArgumentException.class, testMethod);
    }
    }
",StreamsTest::simpleStreamFilterFailing_1_oe
lang_79_2,"    @TestFactory
    public Stream<DynamicTest> simpleStreamFilterFailing_2_oe() {
        final List<String> input = Arrays.asList(""1"", ""2"", ""3"", ""4"", ""5"", ""6"");
        final List<Integer> output = Functions.stream(input)
                .map(Integer::valueOf)
                .filter(asIntPredicate(null))
                .collect(Collectors.toList());
        assertEvenNumbers(output);

        return Stream.of(

                dynamicTest(""IllegalArgumentException"", () -> {
                    final IllegalArgumentException iae = new IllegalArgumentException(""Invalid argument: "" + 5);
                    final Executable testMethod = () -> Functions.stream(input)
                            .map(Integer::valueOf)
                            .filter(asIntPredicate(iae))
                            .collect(Collectors.toList());
                    // removed other assertion
                    assertThat(thrown.getMessage(), is(equalTo(""Invalid argument: "" + 5)));
    }
    }
",StreamsTest::simpleStreamFilterFailing_2_oe
